playername,playerid,vsname,vsid,date,Play
J_Hammel,4538,Y Molina,7007,2016-04-19,Yadier Molina flied out to right (Fly). Matt Holliday out at home.
J_Hammel,4538,E Andrus,8709,2016-07-16,Elvis Andrus grounded into a double play to third (Grounder). Nomar Mazara out at second.
J_Hammel,4538,R Nolasco,3830,2016-08-10,Ricky Nolasco grounded out to catcher (Grounder).
J_Hammel,4538,A Hechavarria,1045,2016-06-26,Adeiny Hechavarria flied out to right (Fly).
J_Hammel,4538,R Flores,1116,2016-08-16,Ramon Flores grounded into a double play to pitcher (Grounder). Scooter Gennett out at second.
J_Hammel,4538,J Jaso,5887,2016-05-13,John Jaso grounded into a double play to second (Grounder). Francisco Liriano out at second.
J_Hammel,4538,A Rendon,1286,2016-06-15,Anthony Rendon grounded out to shortstop (Grounder).
J_Hammel,4538,D Dietrich,1054,2016-08-02,Derek Dietrich grounded out to first (Grounder).
J_Hammel,4538,J Pacheco,2677,2016-04-14,Jordan Pacheco flied out to center (Fly).
J_Hammel,4538,J Votto,4314,2016-04-14,Joey Votto lined out to first (Liner).
J_Hammel,4538,W Castillo,3256,2016-04-08,Welington Castillo struck out swinging.
J_Hammel,4538,R Flores,1116,2016-07-22,Ramon Flores flied out to third (Fly).
J_Hammel,4538,K Wong,1253,2016-06-21,Kolten Wong grounded into a double play to second (Grounder). Brandon Moss out at second.
J_Hammel,4538,J Lamb,1332,2016-04-08,Jake Lamb flied out to second (Fly).
J_Hammel,4538,K Wong,1253,2016-04-19,Kolten Wong struck out looking.
J_Hammel,4538,C Yelich,1147,2016-06-26,Christian Yelich struck out swinging.
J_Hammel,4538,D Peralta,2136,2016-04-08,David Peralta fouled out to third (Fly).
J_Hammel,4538,R Tejada,5519,2016-04-19,Ruben Tejada struck out swinging.
J_Hammel,4538,W Ramos,1433,2016-06-15,Wilson Ramos grounded out to pitcher (Grounder). Ryan Zimmerman advanced to 3B.
J_Hammel,4538,A McCutchen,9847,2016-08-31,Andrew McCutchen grounded into a double play to third (Grounder). Josh Harrison out at second.
J_Hammel,4538,A Wilkins,1125,2016-07-22,Andy Wilkins grounded out to third (Grounder).
J_Hammel,4538,C Carter,9911,2016-05-19,Chris Carter struck out swinging.
J_Hammel,4538,K Calhoun,1120,2016-08-10,Kole Calhoun grounded out to second (Grounder).
J_Hammel,4538,J Peralta,1738,2016-06-21,Jhonny Peralta fouled out to first (Fly).
J_Hammel,4538,D Navarro,3179,2016-07-27,Dioner Navarro flied out to center (Fly). Todd Frazier advanced to 3B.
J_Hammel,4538,A Wainwright,2233,2016-06-21,Adam Wainwright lined out to shortstop (Liner).
J_Hammel,4538,B Revere,4712,2016-05-07,Ben Revere grounded out to second (Grounder). Jose Lobaton advanced to 3B.
J_Hammel,4538,B Phillips,791&,2016-04-14,Brandon Phillips flied out to second (Fly).
J_Hammel,4538,J Villar,1007,2016-07-22,Jonathan Villar struck out looking.
J_Hammel,4538,R Grichuk,1024,2016-05-24,Randal Grichuk grounded into a double play to third (Grounder). Matt Adams out at third.
J_Hammel,4538,J Peralta,1738,2016-09-13,Jhonny Peralta flied out to left (Fly).
J_Hammel,4538,K Calhoun,1120,2016-08-10,Kole Calhoun struck out swinging.
J_Hammel,4538,B Hamilton,1019,2016-04-14,Billy Hamilton picked off.
J_Hammel,4538,J Peraza,1359,2016-09-19,Jose Peraza was caught stealing.
J_Hammel,4538,D Murphy,4316,2016-06-15,Daniel Murphy grounded out to second (Grounder).
J_Hammel,4538,S Rodriguez,6589,2016-08-31,Sean Rodriguez lined out to third (Liner).
J_Hammel,4538,S Tolleson,1048,2016-07-16,Shawn Tolleson struck out swinging.
J_Hammel,4538,G Polanco,1290,2016-08-31,Gregory Polanco struck out swinging.
J_Hammel,4538,J Mercer,6547,2016-08-31,Jordy Mercer flied out to right (Fliner (Fly)).
J_Hammel,4538,S Piscotty,1336,2016-09-13,Stephen Piscotty struck out swinging.
J_Hammel,4538,J Shuck,6677,2016-07-27,J.B. Shuck flied out to left (Fliner (Fly)).
J_Hammel,4538,A Rendon,1286,2016-06-15,Anthony Rendon flied out to right (Fliner (Liner)).
J_Hammel,4538,T Barnhart,1020,2016-04-14,Tucker Barnhart lined out to second (Liner).
J_Hammel,4538,J Lamb,1332,2016-06-04,Jake Lamb grounded out to first (Grounder).
J_Hammel,4538,F Freeman,5361,2016-07-07,Freddie Freeman struck out swinging.
J_Hammel,4538,R Tejada,5519,2016-04-19,Ruben Tejada flied out to first (Fly).
J_Hammel,4538,M Adams,9393,2016-09-13,Matt Adams flied out to left (Fly).
J_Hammel,4538,J Bell,1314,2016-08-31,Josh Bell flied out to left (Fliner (Fly)).
J_Hammel,4538,Y Molina,7007,2016-06-21,Yadier Molina grounded out to first (Grounder). Stephen Piscotty advanced to 3B.
J_Hammel,4538,S Brito,1294,2016-04-08,Socrates Brito flied out to right (Fliner (Fly)). Jean Segura advanced to 3B.
J_Hammel,4538,J Peterson,1232,2016-07-07,Jace Peterson reached on fielder's choice to shortstop (Grounder). Lucas Harrell out at second.
J_Hammel,4538,B Boyer,2237,2016-08-16,Blaine Boyer reached on fielder's choice to second (Grounder). Martin Maldonado out at second.
J_Hammel,4538,T Flowers,9134,2016-07-07,Tyler Flowers struck out swinging.
J_Hammel,4538,K Nieuwenhuis,6400,2016-08-16,Kirk Nieuwenhuis struck out swinging.
