playername,playerid,vsname,vsid,date,Play
J_Hoffman,1743,D Santana,1034,2016-10-01,Domingo Santana struck out swinging.
J_Hoffman,1743,J Lobaton,4243,2016-08-26,Jose Lobaton grounded into a double play to second (Grounder). Anthony Rendon scored. Ryan Zimmerman advanced to 3B. Danny Espinosa out at second.
J_Hoffman,1743,J Soler,1422,2016-08-20,Jorge Soler flied out to center (Fly).
J_Hoffman,1743,S Gennett,1033,2016-10-01,Scooter Gennett struck out swinging.
J_Hoffman,1743,J Werth,1327,2016-08-26,Jayson Werth lined out to third (Liner).
J_Hoffman,1743,C Carter,9911,2016-10-01,Chris Carter struck out swinging.
J_Hoffman,1743,C Owings,1003,2016-09-14,Chris Owings struck out swinging.
J_Hoffman,1743,R Zimmerman,4220,2016-08-26,Ryan Zimmerman grounded out to third (Grounder).
J_Hoffman,1743,R Segedin,1144,2016-08-31,Rob Segedin reached on fielder's choice to second (Grounder). Andrew Toles out at second.
J_Hoffman,1743,K Bryant,1542,2016-08-20,Kris Bryant flied out to center (Fly).
J_Hoffman,1743,J Reddick,3892,2016-08-31,Josh Reddick fouled out to third (Fly).
J_Hoffman,1743,B Norris,9492,2016-08-31,Bud Norris grounded out to pitcher (Grounder).
J_Hoffman,1743,M Maldonado,6887,2016-10-01,Martin Maldonado struck out swinging.
J_Hoffman,1743,B Zobrist,7435,2016-08-20,Ben Zobrist flied out to right (Fly).
J_Hoffman,1743,P O'Brien,1328,2016-09-14,Peter O'Brien struck out swinging.
J_Hoffman,1743,W Difo,1432,2016-08-26,Wilmer Difo flied out to center (Fliner (Liner)).
J_Hoffman,1743,J Villar,1007,2016-10-01,Jonathan Villar flied out to left (Fly).
J_Hoffman,1743,A Gonzalez,1908,2016-08-31,Adrian Gonzalez grounded out to shortstop (Grounder).
J_Hoffman,1743,C Seager,1362,2016-08-31,Corey Seager grounded out to shortstop (Grounder).
J_Hoffman,1743,D Santana,1034,2016-10-01,Domingo Santana struck out looking.
J_Hoffman,1743,C Utley,1679,2016-08-31,Chase Utley grounded out to pitcher (Grounder).
J_Hoffman,1743,Y Grandal,1136,2016-08-31,Yasmani Grandal flied out to center (Fly).
J_Hoffman,1743,S Brito,1294,2016-09-14,Socrates Brito grounded out to first (Grounder).
J_Hoffman,1743,M Reed,1322,2016-10-01,Michael Reed grounded out to third (Grounder).
J_Hoffman,1743,A Russell,1410,2016-08-20,Addison Russell grounded out to second (Grounder).
J_Hoffman,1743,R Zimmerman,4220,2016-08-26,Ryan Zimmerman struck out looking.
J_Hoffman,1743,C Seager,1362,2016-08-31,Corey Seager flied out to left (Fly).
J_Hoffman,1743,J Turner,5235,2016-08-31,Justin Turner flied out to right (Fliner (Liner)).
J_Hoffman,1743,D Espinosa,9219,2016-08-26,Danny Espinosa reached on fielder's choice to shortstop (Grounder). Anthony Rendon out at second.
J_Hoffman,1743,P Goldschmidt,9218,2016-09-14,Paul Goldschmidt lined out to second (Liner).
J_Hoffman,1743,J Werth,1327,2016-08-26,Jayson Werth flied out to left (Fly).
J_Hoffman,1743,M Szczur,1125,2016-08-20,Matt Szczur flied out to center (Fliner (Fly)).
J_Hoffman,1743,W Peralta,7738,2016-10-01,Wily Peralta grounded out to second (Grounder).
J_Hoffman,1743,J Soler,1422,2016-08-20,Jorge Soler struck out looking.
J_Hoffman,1743,R Braun,3410,2016-10-01,Ryan Braun grounded out to third (Grounder).
J_Hoffman,1743,A Gonzalez,1908,2016-08-31,Adrian Gonzalez flied out to left (Fly).
J_Hoffman,1743,J Reddick,3892,2016-09-23,Josh Reddick out on a dropped third strike.
J_Hoffman,1743,Y Tomas,1717,2016-09-14,Yasmany Tomas struck out swinging.
J_Hoffman,1743,B Harper,1157,2016-08-26,Bryce Harper grounded out to shortstop (Grounder).
J_Hoffman,1743,Y Tomas,1717,2016-09-14,Yasmany Tomas flied out to right (Fly).
J_Hoffman,1743,B Harper,1157,2016-08-26,Bryce Harper flied out to left (Fliner (Fly)).
J_Hoffman,1743,C Seager,1362,2016-09-23,Corey Seager flied out to center (Fliner (Liner)).
J_Hoffman,1743,B Crawford,5343,2016-09-27,Brandon Crawford grounded out to catcher (Grounder).
J_Hoffman,1743,D Span,8347,2016-09-27,Denard Span grounded out to shortstop (Grounder).
J_Hoffman,1743,B Posey,9166,2016-09-27,Buster Posey walked.
J_Hoffman,1743,D Norris,6867,2016-09-08,Derek Norris advanced on a stolen base to 2B.
J_Hoffman,1743,H Pence,8252,2016-09-27,Hunter Pence walked. Buster Posey advanced to 2B.
J_Hoffman,1743,J Turner,5235,2016-09-23,Justin Turner singled to third (Grounder).
J_Hoffman,1743,J Panik,1193,2016-09-27,Joe Panik doubled to right (Fliner (Fly)). Angel Pagan scored.
J_Hoffman,1743,A Rendon,1286,2016-08-26,Anthony Rendon walked.
J_Hoffman,1743,D Fowler,4062,2016-08-20,Dexter Fowler walked.
J_Hoffman,1743,J Lobaton,4243,2016-08-26,Jose Lobaton walked. Danny Espinosa advanced to 2B.
J_Hoffman,1743,J Turner,5235,2016-08-31,Justin Turner walked.
J_Hoffman,1743,L Sardinas,1315,2016-09-08,Luis Sardinas singled to center (Grounder). Derek Norris scored.
J_Hoffman,1743,R Braun,3410,2016-10-01,Ryan Braun singled to center (Grounder).
J_Hoffman,1743,B Harper,1157,2016-08-26,Bryce Harper doubled to right (Fliner (Liner)).
J_Hoffman,1743,J Reddick,3892,2016-08-31,Josh Reddick singled to left (Fliner (Liner)).
J_Hoffman,1743,J Lamb,1332,2016-09-14,Jake Lamb reached on fielder's choice and error to first (Grounder). Chris Owings scored on error. Error by Tom Murphy.
J_Hoffman,1743,D Murphy,4316,2016-08-26,Daniel Murphy grounded out to first (Grounder). Trea Turner scored.
J_Hoffman,1743,M Montgomery,4869,2016-08-20,Mike Montgomery reached on error to first (Grounder). Mike Montgomery advanced to 2B. Error by Ryan Raburn.
J_Hoffman,1743,T Jankowski,1376,2016-09-08,Travis Jankowski advanced on a wild pitch to 3B.
J_Hoffman,1743,W Myers,1004,2016-09-08,Wil Myers singled to left (Liner). Jon Jay advanced to 3B. Wil Myers advanced to 2B.
J_Hoffman,1743,B Shipley,1515,2016-09-14,Braden Shipley singled to right (Fliner (Liner)).
J_Hoffman,1743,B Drury,1161,2016-09-14,Brandon Drury doubled to left (Fliner (Liner)). Jake Lamb scored.
J_Hoffman,1743,D Espinosa,9219,2016-08-26,Danny Espinosa walked. Ryan Zimmerman advanced to 2B.
J_Hoffman,1743,L Sardinas,1315,2016-09-08,Luis Sardinas walked.
J_Hoffman,1743,K Bryant,1542,2016-08-20,Kris Bryant singled to right (Grounder). Dexter Fowler scored.
J_Hoffman,1743,D Fowler,4062,2016-08-20,Dexter Fowler advanced on error to 3B. Error by Jeff Hoffman.
J_Hoffman,1743,K Bryant,1542,2016-08-20,Kris Bryant homered (Fly). Mike Montgomery scored. Dexter Fowler scored.
J_Hoffman,1743,T Turner,1625,2016-08-26,Trea Turner singled to shortstop (Grounder). Trea Turner advanced to 2B on error. Error by Cristhian Adames.
