playername,playerid,vsname,vsid,date,Play
J_Hughes,9325,S Gennett,1033,2016-09-03,Scooter Gennett grounded into a double play to second (Grounder). Keon Broxton out at second.
J_Hughes,9325,B Phillips,791&,2016-05-01,Brandon Phillips flied out to second (Fly).
J_Hughes,9325,C Carter,9911,2016-09-20,Chris Carter grounded into a double play to third (Grounder). Jonathan Villar scored. Orlando Arcia out at second.
J_Hughes,9325,A Cabrera,4962,2016-06-07,Asdrubal Cabrera non-force gdp to first (Grounder). Curtis Granderson out at second.
J_Hughes,9325,J Lobaton,4243,2016-09-25,Jose Lobaton flied out to left (Fliner (Liner)).
J_Hughes,9325,M Holliday,1873,2016-05-07,Matt Holliday lined out to shortstop (Liner).
J_Hughes,9325,P Gosselin,1095,2016-05-25,Phil Gosselin grounded out to shortstop (Grounder).
J_Hughes,9325,N Ahmed,1214,2016-05-25,Nick Ahmed grounded out to third (Grounder).
J_Hughes,9325,R Braun,3410,2016-07-20,Ryan Braun flied out to shortstop (Fliner (Fly)).
J_Hughes,9325,J Pederson,1189,2016-06-24,Joc Pederson flied out to center (Fliner (Liner)).
J_Hughes,9325,J Werth,1327,2016-07-17,Jayson Werth flied out to second (Fly).
J_Hughes,9325,S Gennett,1033,2016-07-20,Scooter Gennett grounded out to pitcher (Grounder).
J_Hughes,9325,A Duvall,1095,2016-05-11,Adam Duvall was caught stealing.
J_Hughes,9325,M Carpenter,8090,2016-05-07,Matt Carpenter grounded out to second (Grounder).
J_Hughes,9325,B Harper,1157,2016-07-17,Bryce Harper struck out swinging.
J_Hughes,9325,E Suarez,1255,2016-05-01,Eugenio Suarez reached on fielder's choice to third (Grounder). Joey Votto out at third. Jay Bruce advanced to 2B.
J_Hughes,9325,T Holt,1139,2016-09-17,Tyler Holt grounded out to pitcher (Grounder).
J_Hughes,9325,B Belt,1026,2016-06-22,Brandon Belt flied out to second (Fliner (Fly)).
J_Hughes,9325,T Holt,1139,2016-05-11,Tyler Holt struck out swinging.
J_Hughes,9325,W Ramos,1433,2016-07-17,Wilson Ramos flied out to right (Fliner (Fly)).
J_Hughes,9325,J Peraza,1359,2016-09-09,Jose Peraza reached on fielder's choice to third (Grounder). Hernan Iribarren out at second.
J_Hughes,9325,E Aybar,4082,2016-08-03,Erick Aybar grounded out to first (Grounder).
J_Hughes,9325,C Yelich,1147,2016-06-02,Christian Yelich struck out swinging.
J_Hughes,9325,M Prado,3312,2016-06-02,Martin Prado flied out to center (Fly).
J_Hughes,9325,Y Escobar,4191,2016-06-05,Yunel Escobar lined out to shortstop (Liner).
J_Hughes,9325,J Pederson,1189,2016-06-27,Joc Pederson grounded out to shortstop (Grounder).
J_Hughes,9325,W Contreras,1160,2016-08-29,Willson Contreras flied out to center (Fliner (Fly)).
J_Hughes,9325,J Lucroy,7870,2016-07-29,Jonathan Lucroy reached on fielder's choice to third (Grounder). Jonathan Villar out at home.
J_Hughes,9325,M Pina,2829,2016-09-22,Manny Pina flied out to first (Fly).
J_Hughes,9325,D Lee,1872,2016-07-26,Dae-Ho Lee grounded out to third (Grounder).
J_Hughes,9325,A Gonzalez,1908,2016-06-27,Adrian Gonzalez grounded out to second (Grounder).
J_Hughes,9325,E Aybar,4082,2016-05-16,Erick Aybar flied out to left (Fliner (Fly)).
J_Hughes,9325,M Gonzalez,5497,2016-08-24,Marwin Gonzalez grounded out to second (Grounder).
J_Hughes,9325,C Perez,1064,2016-06-05,Carlos Perez grounded out to shortstop (Grounder).
J_Hughes,9325,J Pacheco,2677,2016-05-11,Jordan Pacheco struck out swinging.
J_Hughes,9325,B Zobrist,7435,2016-08-29,Ben Zobrist grounded out to second (Grounder).
J_Hughes,9325,K Bryant,1542,2016-05-14,Kris Bryant struck out swinging.
J_Hughes,9325,C Utley,1679,2016-08-13,Chase Utley reached on fielder's choice to second (Grounder). A.J. Ellis advanced to 3B. Julio Urias out at second.
J_Hughes,9325,J Turner,5235,2016-06-27,Justin Turner flied out to center (Fliner (Liner)).
J_Hughes,9325,F Freeman,5361,2016-05-18,Freddie Freeman grounded out to first (Grounder).
J_Hughes,9325,A Russell,1410,2016-05-04,Addison Russell singled to first (Grounder). Javier Baez out at home. Addison Russell advanced to 2B.
J_Hughes,9325,A Almora Jr.,1410,2016-06-18,Albert Almora grounded out to shortstop (Grounder).
J_Hughes,9325,J Heyward,4940,2016-08-29,Jason Heyward grounded out to second (Grounder). Jorge Soler advanced to 2B.
J_Hughes,9325,A Russell,1410,2016-07-09,Addison Russell flied out to second (Fly).
J_Hughes,9325,J Francoeur,4792,2016-05-18,Jeff Francoeur grounded out to third (Grounder).
J_Hughes,9325,T Hernandez,1306,2016-08-24,Teoscar Hernandez struck out looking.
J_Hughes,9325,M Maldonado,6887,2016-09-03,Martin Maldonado sacrificed to first (Bunt Grounder). Orlando Arcia advanced to 3B.
J_Hughes,9325,M Ozuna,1032,2016-08-20,Marcell Ozuna struck out swinging.
J_Hughes,9325,C Carter,9911,2016-07-29,Chris Carter fouled out to first (Fly).
J_Hughes,9325,J Baez,1297,2016-07-09,Javier Baez struck out swinging.
J_Hughes,9325,A Beltre,639&,2016-05-28,Adrian Beltre flied out to shortstop (Fly).
J_Hughes,9325,R Segedin,1144,2016-08-13,Rob Segedin struck out swinging.
J_Hughes,9325,J Realmuto,1173,2016-08-20,J.T. Realmuto struck out swinging.
J_Hughes,9325,J Heyward,4940,2016-09-28,Jason Heyward flied out to shortstop (Fly).
J_Hughes,9325,P Fielder,4613,2016-05-28,Prince Fielder grounded out to second (Grounder). Ian Desmond advanced to 3B.
J_Hughes,9325,R Cabrera,1032,2016-08-07,Ramon Cabrera flied out to center (Fly). Eugenio Suarez advanced to 3B.
J_Hughes,9325,I Suzuki,1101,2016-08-20,Ichiro Suzuki grounded out to second (Grounder).
J_Hughes,9325,M Carpenter,8090,2016-09-05,Matt Carpenter grounded out to second (Grounder).
J_Hughes,9325,J Heyward,4940,2016-08-30,Jason Heyward grounded out to first (Grounder).
J_Hughes,9325,C Granderson,4747,2016-06-16,Curtis Granderson flied out to left (Fliner (Fly)).
J_Hughes,9325,A Rizzo,3473,2016-08-30,Anthony Rizzo struck out swinging.
J_Hughes,9325,T Pham,2967,2016-09-05,Tommy Pham grounded out to second (Grounder).
J_Hughes,9325,S Piscotty,1336,2016-09-06,Stephen Piscotty struck out swinging.
J_Hughes,9325,J Elmore,7290,2016-07-29,Jake Elmore sacrificed to third (Bunt Grounder). Jonathan Villar advanced to 3B.
J_Hughes,9325,K Bryant,1542,2016-07-09,Kris Bryant grounded out to shortstop (Grounder).
J_Hughes,9325,A Ramirez,5133,2016-08-10,Alexei Ramirez flied out to shortstop (Fly).
J_Hughes,9325,K Wong,1253,2016-09-05,Kolten Wong grounded out to first (Grounder).
J_Hughes,9325,J Gyorko,1081,2016-09-05,Jedd Gyorko grounded out to shortstop (Grounder).
J_Hughes,9325,A Diaz,1593,2016-07-07,Aledmys Diaz fouled out to first (Fly).
J_Hughes,9325,G Garcia,1095,2016-09-05,Greg Garcia grounded out to shortstop (Grounder).
J_Hughes,9325,C Blackmon,7859,2016-05-21,Charlie Blackmon flied out to center (Fliner (Fly)).
J_Hughes,9325,C Hernandez,1055,2016-09-12,Cesar Hernandez reached on fielder's choice to second (Grounder). Jorge Alfaro out at second.
