playername,playerid,vsname,vsid,date,Play
J_Jones,1481,D Robertson,8241,2016-08-31,JaCoby Jones doubled to right (Fliner (Fly)).
J_Jones,1481,C Sale,1060,2016-08-31,JaCoby Jones doubled to center (Fliner (Liner)).
J_Jones,1481,J Turner,1018,2016-08-30,JaCoby Jones singled to right (Grounder). Justin Upton scored.
J_Jones,1481,M Tonkin,1031,2016-09-20,JaCoby Jones singled to left (Liner).
J_Jones,1481,P Light,1342,2016-09-20,JaCoby Jones struck out swinging.
J_Jones,1481,Z Britton,3240,2016-09-10,JaCoby Jones struck out swinging.
J_Jones,1481,C Sale,1060,2016-09-05,JaCoby Jones grounded out to shortstop (Grounder).
J_Jones,1481,C Sale,1060,2016-09-05,JaCoby Jones struck out swinging.
J_Jones,1481,D Gee,7396,2016-09-02,JaCoby Jones grounded out to third (Grounder).
J_Jones,1481,D Duffy,3542,2016-09-02,JaCoby Jones struck out swinging.
J_Jones,1481,H Santiago,4026,2016-09-20,JaCoby Jones struck out swinging.
J_Jones,1481,D Duffy,3542,2016-09-02,JaCoby Jones struck out swinging.
J_Jones,1481,A Ranaudo,1142,2016-08-30,JaCoby Jones flied out to first (Fly).
J_Jones,1481,C Sale,1060,2016-08-31,JaCoby Jones struck out swinging.
J_Jones,1481,D Jennings,8073,2016-09-06,JaCoby Jones struck out swinging.
