playername,playerid,vsname,vsid,date,Play
J_Kipnis,9776,K Barraclough,1371,2016-09-04,Jason Kipnis singled to center (Grounder). Rajai Davis scored. Coco Crisp scored. Carlos Santana advanced to 3B.
J_Kipnis,9776,J Quintana,1142,2016-06-17,Jason Kipnis doubled to center (Fliner (Liner)). Michael Martinez scored.
J_Kipnis,9776,A Morgan,1258,2016-04-29,Jason Kipnis homered (Fly). Rajai Davis scored.
J_Kipnis,9776,J Lamb,8493,2016-05-16,Jason Kipnis singled to center (Liner). Jose Ramirez scored. Rajai Davis scored.
J_Kipnis,9776,J Zimmermann,4505,2016-06-24,Jason Kipnis tripled to right (Fliner (Liner)). Chris Gimenez scored. Rajai Davis scored.
J_Kipnis,9776,C Tillman,5279,2016-05-29,Jason Kipnis homered (Fly).
J_Kipnis,9776,I Kennedy,6986,2016-10-02,Jason Kipnis doubled to right (Liner). Carlos Santana advanced to 3B.
J_Kipnis,9776,R Porcello,2717,2016-05-22,Jason Kipnis singled to right (Fliner (Liner)). Juan Uribe scored. Rajai Davis scored. Carlos Santana advanced to 3B.
J_Kipnis,9776,B Farmer,1481,2016-09-26,Jason Kipnis doubled to center (Fliner (Fly)). Carlos Santana scored.
J_Kipnis,9776,I Kennedy,6986,2016-09-21,Jason Kipnis doubled to center (Fliner (Liner)). Carlos Santana scored.
J_Kipnis,9776,A Chapman,1023,2016-07-09,Jason Kipnis walked.
J_Kipnis,9776,J Eickhoff,1266,2016-04-30,Jason Kipnis singled to center (Fliner (Liner)). Lonnie Chisenhall scored.
J_Kipnis,9776,S Gray,1276,2016-07-31,Jason Kipnis singled to right (Grounder). Tyler Naquin scored. Abraham Almonte scored. Roberto Perez advanced to 2B.
J_Kipnis,9776,J Fernandez,1153,2016-09-03,Jason Kipnis homered (Fliner (Fly)). Coco Crisp scored.
J_Kipnis,9776,D Smyly,1176,2016-06-20,Jason Kipnis singled to left (Grounder). Yan Gomes scored. Rajai Davis advanced to 2B.
J_Kipnis,9776,T Skaggs,1019,2016-08-12,Jason Kipnis doubled to left (Fliner (Fly)). Rajai Davis scored.
J_Kipnis,9776,T Milone,7608,2016-04-25,Jason Kipnis singled to center (Liner). Rajai Davis scored. Jason Kipnis advanced to 2B on error. Error by Kurt Suzuki.
J_Kipnis,9776,A Simon,2155,2016-05-17,Jason Kipnis singled to center (Grounder). Rajai Davis scored. Carlos Santana scored.
J_Kipnis,9776,I Nova,1994,2016-07-07,Jason Kipnis doubled to right (Fliner (Liner)). Carlos Santana advanced to 3B.
J_Kipnis,9776,F Rivero,1207,2016-07-26,Jason Kipnis doubled to right (Fliner (Fly)).
J_Kipnis,9776,C Sabathia,404&,2016-08-06,Jason Kipnis homered (Fly).
J_Kipnis,9776,D Fister,9425,2016-05-11,Jason Kipnis singled to left (Liner). Lonnie Chisenhall scored.
J_Kipnis,9776,I Nova,1994,2016-07-07,Jason Kipnis homered (Fly).
J_Kipnis,9776,D Holland,4141,2016-08-28,Jason Kipnis singled to right (Fliner (Liner)). Abraham Almonte scored.
J_Kipnis,9776,J Weaver,4235,2016-08-14,Jason Kipnis homered (Fliner (Fly)).
J_Kipnis,9776,J Shields,7059,2016-06-18,Jason Kipnis doubled to left (Fliner (Fly)). Carlos Santana advanced to 3B.
J_Kipnis,9776,R Nolasco,3830,2016-04-26,Jason Kipnis homered (Fliner (Fly)).
J_Kipnis,9776,I Kennedy,6986,2016-07-20,Jason Kipnis homered (Fly).
J_Kipnis,9776,M Stroman,1343,2016-08-21,Jason Kipnis singled to right (Grounder). Carlos Santana advanced to 2B.
J_Kipnis,9776,C Green,1555,2016-07-08,Jason Kipnis homered (Fliner (Fly)).
J_Kipnis,9776,M Harvey,1171,2016-04-16,Jason Kipnis doubled to center (Fliner (Liner)). Rajai Davis scored.
J_Kipnis,9776,T Sipp,8280,2016-05-11,Jason Kipnis singled to right (Liner).
J_Kipnis,9776,T May,6398,2016-05-15,Jason Kipnis homered (Fly).
J_Kipnis,9776,T Rogers,1344,2016-07-16,Jason Kipnis singled to center (Liner). Tyler Naquin scored. Carlos Santana advanced to 2B.
J_Kipnis,9776,B Colon,375&,2016-04-15,Jason Kipnis doubled to center (Fliner (Liner)). Rajai Davis scored.
J_Kipnis,9776,J Grilli,521&,2016-08-19,Jason Kipnis walked.
J_Kipnis,9776,E Araujo,1285,2016-04-29,Jason Kipnis walked.
J_Kipnis,9776,C Young,3196,2016-06-05,Jason Kipnis tripled to center (Fliner (Fly)).
J_Kipnis,9776,H Santiago,4026,2016-09-10,Jason Kipnis singled to right (Fliner (Liner)). Rajai Davis advanced to 3B.
J_Kipnis,9776,J Biagini,1319,2016-07-01,Jason Kipnis was hit by a pitch.
J_Kipnis,9776,M Tonkin,1031,2016-08-02,Jason Kipnis singled to right (Grounder). Carlos Santana advanced to 2B.
J_Kipnis,9776,M Fulmer,1321,2016-09-28,Jason Kipnis doubled to right (Fliner (Liner)).
J_Kipnis,9776,C Rodon,1613,2016-08-18,Jason Kipnis reached on error to first (Grounder). Rajai Davis advanced to 2B on error. Error by Jose Abreu.
J_Kipnis,9776,R Dickey,1245,2016-06-30,Jason Kipnis singled to right (Fliner (Liner)). Carlos Santana advanced to 2B.
J_Kipnis,9776,T Duffey,1375,2016-07-16,Jason Kipnis walked. Carlos Santana advanced to 2B.
J_Kipnis,9776,E Volquez,3990,2016-10-01,Jason Kipnis singled to right (Liner). Carlos Santana advanced to 2B.
J_Kipnis,9776,N Karns,1263,2016-06-09,Jason Kipnis walked. Carlos Santana advanced to 2B.
J_Kipnis,9776,J Biagini,1319,2016-07-02,Jason Kipnis reached on dropped third strike (wp).
J_Kipnis,9776,E Volquez,3990,2016-06-03,Jason Kipnis walked. Carlos Santana advanced to 2B.
J_Kipnis,9776,M Fiers,7754,2016-09-05,Jason Kipnis singled to right (Grounder).
J_Kipnis,9776,B Flynn,1202,2016-07-19,Jason Kipnis sacrifice fielder's choice to catcher (Bunt Grounder). Erik Gonzalez advanced to 3B. Rajai Davis advanced to 2B.
J_Kipnis,9776,M Purke,1283,2016-05-23,Jason Kipnis singled to right (Liner). Chris Gimenez scored. Rajai Davis advanced to 3B.
J_Kipnis,9776,D Gee,7396,2016-09-22,Jason Kipnis was hit by a pitch.
J_Kipnis,9776,S Solis,1145,2016-08-09,Jason Kipnis doubled to left (Fliner (Fly)).
J_Kipnis,9776,B Hardy,6499,2016-09-28,Jason Kipnis walked. Rajai Davis advanced to 2B.
J_Kipnis,9776,J Peralta,2332,2016-04-21,Jason Kipnis singled to center (Liner).
J_Kipnis,9776,W Miley,8779,2016-06-07,Jason Kipnis walked.
J_Kipnis,9776,J Fields,5070,2016-05-10,Jason Kipnis tripled to center (Fly).
J_Kipnis,9776,J Diaz,3397,2016-05-18,Jason Kipnis walked.
J_Kipnis,9776,B Colon,375&,2016-04-15,Jason Kipnis doubled to left (Fliner (Fly)).
J_Kipnis,9776,T Duffey,1375,2016-09-09,Jason Kipnis was hit by a pitch.
J_Kipnis,9776,J Quintana,1142,2016-09-13,Jason Kipnis doubled to center (Fliner (Liner)).
J_Kipnis,9776,J Happ,7410,2016-07-03,Jason Kipnis doubled to right (Liner).
J_Kipnis,9776,M Tanaka,1576,2016-07-10,Jason Kipnis singled to center (Grounder).
J_Kipnis,9776,E Ramirez,1031,2016-04-13,Jason Kipnis homered (Fly).
J_Kipnis,9776,D Fister,9425,2016-05-11,Jason Kipnis singled to center (Liner).
J_Kipnis,9776,N Goody,1368,2016-08-06,Jason Kipnis singled to right (Liner). Rajai Davis scored.
J_Kipnis,9776,E Volquez,3990,2016-06-03,Jason Kipnis advanced on a wild pitch to 3B.
J_Kipnis,9776,C Archer,6345,2016-04-14,Jason Kipnis walked.
J_Kipnis,9776,J Quintana,1142,2016-09-13,Jason Kipnis doubled to right (Liner).
J_Kipnis,9776,I Kennedy,6986,2016-06-15,Jason Kipnis reached on error to right (Fliner (Fly)). Jason Kipnis advanced to 2B. Error by Reymond Fuentes.
J_Kipnis,9776,L Jackson,1175,2016-06-01,Jason Kipnis walked.
J_Kipnis,9776,J Alvarez,5358,2016-08-11,Jason Kipnis singled to center (Grounder). Abraham Almonte scored. Roberto Perez advanced to 3B.
J_Kipnis,9776,J Quintana,1142,2016-09-24,Jason Kipnis singled to right (Liner).
J_Kipnis,9776,J Valdez,1447,2016-08-14,Jason Kipnis walked. Abraham Almonte advanced to 3B. Roberto Perez advanced to 2B.
J_Kipnis,9776,H Santiago,4026,2016-06-10,Jason Kipnis singled to right (Fliner (Liner)).
J_Kipnis,9776,D Fister,9425,2016-05-11,Jason Kipnis singled to center (Liner).
J_Kipnis,9776,A Sanchez,3284,2016-04-23,Jason Kipnis singled to center (Grounder).
J_Kipnis,9776,M Pineda,5372,2016-08-05,Jason Kipnis singled to right (Liner).
J_Kipnis,9776,M Fulmer,1321,2016-09-28,Jason Kipnis walked.
J_Kipnis,9776,C Sale,1060,2016-04-09,Jason Kipnis singled to right (Grounder).
J_Kipnis,9776,D Bundy,1291,2016-07-22,Jason Kipnis singled to right (Liner).
J_Kipnis,9776,B Flynn,1202,2016-07-19,Jason Kipnis singled to center (Fliner (Liner)).
J_Kipnis,9776,W Miley,8779,2016-04-19,Jason Kipnis singled to shortstop (Grounder).
J_Kipnis,9776,M Fulmer,1321,2016-05-05,Jason Kipnis singled to right (Fliner (Liner)).
J_Kipnis,9776,H Santiago,4026,2016-08-29,Jason Kipnis walked.
J_Kipnis,9776,M Fulmer,1321,2016-09-16,Jason Kipnis singled to center (Liner).
J_Kipnis,9776,I Kennedy,6986,2016-10-02,Jason Kipnis was hit by a pitch.
J_Kipnis,9776,Z Duke,3840,2016-04-09,Jason Kipnis singled to center (Fliner (Liner)).
J_Kipnis,9776,A Reed,1058,2016-04-15,Jason Kipnis singled to right (Liner).
J_Kipnis,9776,A Wimmers,1139,2016-08-30,Jason Kipnis walked.
J_Kipnis,9776,M Fiers,7754,2016-05-09,Jason Kipnis walked.
J_Kipnis,9776,J Zimmermann,4505,2016-06-24,Jason Kipnis tripled to center (Fliner (Fly)). Carlos Santana scored.
J_Kipnis,9776,D Robertson,8241,2016-06-19,Jason Kipnis sacrificed to third (Bunt Grounder). Rajai Davis advanced to 3B.
J_Kipnis,9776,J Fernandez,1153,2016-09-03,Jason Kipnis singled to center (Grounder). Coco Crisp advanced to 3B.
J_Kipnis,9776,P Dean,1135,2016-08-31,Jason Kipnis walked.
J_Kipnis,9776,J Quintana,1142,2016-09-24,Jason Kipnis advanced on a stolen base to 2B.
J_Kipnis,9776,C Rodon,1613,2016-09-14,Jason Kipnis advanced on a stolen base to 2B.
J_Kipnis,9776,M Fulmer,1321,2016-09-16,Jason Kipnis walked.
J_Kipnis,9776,V Worley,6435,2016-07-24,Jason Kipnis walked.
J_Kipnis,9776,B Rodgers,1339,2016-09-08,Jason Kipnis walked. Carlos Santana advanced to 2B.
J_Kipnis,9776,R Dickey,1245,2016-06-30,Jason Kipnis walked.
J_Kipnis,9776,A Ranaudo,1142,2016-08-17,Jason Kipnis hit a sacrifice fly to left (Fly). Brandon Guyer scored.
J_Kipnis,9776,J Peralta,2332,2016-04-21,Jason Kipnis advanced on a stolen base to 2B.
J_Kipnis,9776,H Santiago,4026,2016-09-10,Jason Kipnis walked.
J_Kipnis,9776,I Kennedy,6986,2016-05-07,Jason Kipnis walked.
J_Kipnis,9776,I Krol,1006,2016-06-29,Jason Kipnis was hit by a pitch.
J_Kipnis,9776,J Chacin,2608,2016-08-11,Jason Kipnis walked.
J_Kipnis,9776,J De La Cruz,1282,2016-06-29,Jason Kipnis advanced on a stolen base to 2B.
J_Kipnis,9776,Z Putnam,9080,2016-05-25,Jason Kipnis singled to right (Grounder).
J_Kipnis,9776,B Brach,6627,2016-07-23,Jason Kipnis singled to center (Grounder).
J_Kipnis,9776,J Eickhoff,1266,2016-04-30,Jason Kipnis hit a sacrifice fly to left (Fly). Lonnie Chisenhall scored.
J_Kipnis,9776,J Chacin,2608,2016-08-11,Jason Kipnis advanced on a stolen base to 2B.
J_Kipnis,9776,J Alvarez,5358,2016-06-10,Jason Kipnis singled to left (Liner).
J_Kipnis,9776,B Farmer,1481,2016-05-03,Jason Kipnis singled to shortstop (Grounder). Tyler Naquin advanced to 3B. Carlos Santana advanced to 2B.
J_Kipnis,9776,D Gee,7396,2016-07-19,Jason Kipnis advanced on a stolen base to 2B.
J_Kipnis,9776,D Alvarez,1423,2016-08-26,Jason Kipnis singled to second (Fliner (Liner)).
J_Kipnis,9776,C Buchholz,3543,2016-04-06,Jason Kipnis walked.
J_Kipnis,9776,M Marksberry,1508,2016-06-27,Jason Kipnis homered (Fly).
J_Kipnis,9776,S Geltz,8402,2016-04-14,Jason Kipnis advanced on a stolen base to 2B.
J_Kipnis,9776,S Geltz,8402,2016-04-14,Jason Kipnis walked.
J_Kipnis,9776,D Betances,6216,2016-08-06,Jason Kipnis advanced on a stolen base to 2B.
J_Kipnis,9776,M Tonkin,1031,2016-08-04,Jason Kipnis walked.
J_Kipnis,9776,E Volquez,3990,2016-06-03,Jason Kipnis singled to right (Fliner (Liner)).
J_Kipnis,9776,Z Neal,1129,2016-07-30,Jason Kipnis walked.
J_Kipnis,9776,D Coulombe,1329,2016-07-31,Jason Kipnis hit a sacrifice fly to left (Fliner (Fly)). Abraham Almonte scored.
J_Kipnis,9776,C Green,1555,2016-07-08,Jason Kipnis singled to right (Grounder).
J_Kipnis,9776,N Ogando,1225,2016-09-03,Jason Kipnis walked. Coco Crisp advanced to 2B.
J_Kipnis,9776,N Ogando,1225,2016-09-02,Jason Kipnis walked. Tyler Naquin advanced to 3B. Carlos Santana advanced to 2B.
J_Kipnis,9776,B Farmer,1481,2016-07-05,Jason Kipnis walked. Carlos Santana advanced to 2B.
J_Kipnis,9776,A Swarzak,7466,2016-07-08,Jason Kipnis homered (Fly).
J_Kipnis,9776,K Ryan,1175,2016-04-23,Jason Kipnis walked.
J_Kipnis,9776,P Moylan,4891,2016-07-20,Jason Kipnis singled to center (Grounder). Carlos Santana advanced to 2B.
J_Kipnis,9776,A Wilson,9239,2016-04-23,Jason Kipnis singled to left (Fliner (Liner)).
J_Kipnis,9776,M Lowe,7416,2016-07-05,Jason Kipnis doubled to right (Fliner (Fly)).
J_Kipnis,9776,M Ynoa,1409,2016-06-18,Jason Kipnis lined out to shortstop (Liner).
J_Kipnis,9776,M Purke,1283,2016-06-18,Jason Kipnis struck out swinging.
J_Kipnis,9776,C Smith,4544,2016-08-23,Jason Kipnis struck out looking.
J_Kipnis,9776,J Minaya,1034,2016-09-14,Jason Kipnis grounded out to shortstop (Grounder).
J_Kipnis,9776,J Benoit,1437,2016-06-07,Jason Kipnis flied out to center (Fly).
J_Kipnis,9776,M Andriese,1202,2016-06-22,Jason Kipnis flied out to center (Fly). Carlos Santana advanced to 3B.
J_Kipnis,9776,M Ynoa,1409,2016-09-23,Jason Kipnis flied out to shortstop (Fly).
J_Kipnis,9776,K Ryan,1175,2016-04-23,Jason Kipnis grounded out to second (Grounder).
J_Kipnis,9776,K Kela,1469,2016-08-26,Jason Kipnis fouled out to third (Fly).
J_Kipnis,9776,B Boshers,8490,2016-08-01,Jason Kipnis flied out to left (Fliner (Fly)).
J_Kipnis,9776,M Givens,1043,2016-05-28,Jason Kipnis grounded out to pitcher (Fliner (Liner)).
J_Kipnis,9776,D Gee,7396,2016-07-19,Jason Kipnis lined out to second (Liner).
J_Kipnis,9776,R O'Rourke,1097,2016-08-31,Jason Kipnis struck out looking.
J_Kipnis,9776,D Jennings,8073,2016-04-08,Jason Kipnis struck out swinging.
J_Kipnis,9776,C Hamels,4972,2016-08-25,Jason Kipnis flied out to center (Fliner (Liner)).
J_Kipnis,9776,J Blevins,7841,2016-04-17,Jason Kipnis struck out swinging.
J_Kipnis,9776,M Tanaka,1576,2016-07-10,Jason Kipnis struck out swinging.
J_Kipnis,9776,L Hochevar,6943,2016-06-15,Jason Kipnis struck out swinging.
J_Kipnis,9776,W Miley,8779,2016-06-07,Jason Kipnis flied out to center (Fly).
J_Kipnis,9776,M Boyd,1544,2016-04-24,Jason Kipnis struck out swinging.
J_Kipnis,9776,M Boyd,1544,2016-04-24,Jason Kipnis grounded out to first (Grounder).
J_Kipnis,9776,T Duffey,1375,2016-08-03,Jason Kipnis flied out to center (Fly).
J_Kipnis,9776,A Griffin,1113,2016-08-27,Jason Kipnis flied out to shortstop (Fliner (Fly)).
J_Kipnis,9776,Y Ventura,1185,2016-05-06,Jason Kipnis grounded out to shortstop (Grounder).
