playername,playerid,vsname,vsid,date,Play
J_Lagares,5384,J Urias,1476,2016-05-27,Juan Lagares singled to center (Grounder). Yoenis Cespedes scored. Neil Walker scored.
J_Lagares,5384,Z Eflin,1377,2016-07-17,Juan Lagares tripled to right (Fliner (Fly)). James Loney scored.
J_Lagares,5384,G Gonzalez,7448,2016-05-23,Juan Lagares singled to right (Liner). Curtis Granderson advanced to 3B.
J_Lagares,5384,M Mariot,1083,2016-10-02,Juan Lagares walked.
J_Lagares,5384,G Gonzalez,7448,2016-05-23,Juan Lagares singled to third (Grounder). Curtis Granderson advanced to 2B.
J_Lagares,5384,P Baez,5420,2016-05-10,Juan Lagares singled to left (Liner).
J_Lagares,5384,J Garcia,8137,2016-07-26,Juan Lagares singled to shortstop (Grounder). Alejandro De Aza advanced to 3B.
J_Lagares,5384,J Lester,4930,2016-07-03,Juan Lagares doubled to right (Fliner (Liner)). Noah Syndergaard advanced to 3B.
J_Lagares,5384,M Bumgarner,5524,2016-05-01,Juan Lagares singled to left (Fliner (Liner)).
J_Lagares,5384,A Blair,1493,2016-04-24,Juan Lagares walked.
J_Lagares,5384,A Bailey,1368,2016-07-15,Juan Lagares advanced on a stolen base to 2B.
J_Lagares,5384,J Moscot,1384,2016-04-27,Juan Lagares singled to right (Liner).
J_Lagares,5384,J Chacin,2608,2016-04-23,Juan Lagares singled to center (Grounder).
J_Lagares,5384,D Jennings,8073,2016-06-01,Juan Lagares singled to right (Liner). Neil Walker advanced to 3B.
J_Lagares,5384,D Duffy,3542,2016-04-05,Juan Lagares singled to center (Liner). Travis d'Arnaud advanced to 2B.
J_Lagares,5384,G Germen,5876,2016-05-14,Juan Lagares singled to right (Liner). Kevin Plawecki advanced to 2B.
J_Lagares,5384,G Gonzalez,7448,2016-05-18,Juan Lagares singled to center (Fliner (Liner)).
J_Lagares,5384,A Wood,1378,2016-05-10,Juan Lagares singled to right (Grounder).
J_Lagares,5384,M Dunn,9948,2016-07-24,Juan Lagares walked.
J_Lagares,5384,S Solis,1145,2016-07-07,Juan Lagares walked. Yoenis Cespedes advanced to 3B. Neil Walker advanced to 2B.
J_Lagares,5384,A Conley,1445,2016-07-22,Juan Lagares was intentionally walked.
J_Lagares,5384,S Casilla,2873,2016-05-01,Juan Lagares walked.
J_Lagares,5384,E O'Flaherty,5746,2016-04-22,Juan Lagares singled to right (Grounder).
J_Lagares,5384,R Weber,1016,2016-04-23,Juan Lagares tripled to right (Fliner (Liner)). Travis d'Arnaud scored.
J_Lagares,5384,S Tuivailala,1348,2016-07-26,Juan Lagares advanced on a stolen base to 3B.
J_Lagares,5384,S Casilla,2873,2016-05-01,Juan Lagares advanced on defensive indifference to 2B.
J_Lagares,5384,J Papelbon,5975,2016-05-19,Juan Lagares struck out swinging.
J_Lagares,5384,S Okert,1358,2016-04-29,Juan Lagares singled to left (Liner). Asdrubal Cabrera scored. Kevin Plawecki advanced to 2B.
J_Lagares,5384,J Peralta,2332,2016-07-03,Juan Lagares flied out to left (Fly).
