playername,playerid,vsname,vsid,date,Play
J_Lake,4672,T Anderson,1288,2016-06-29,Junior Lake doubled to right (Fliner (Liner)). Edwin Encarnacion scored. Kevin Pillar advanced to 3B.
J_Lake,4672,J Axford,9059,2016-07-17,Junior Lake singled to center (Liner). Andrew Burns advanced to 2B.
J_Lake,4672,T Bauer,1270,2016-07-01,Junior Lake advanced on a stolen base to 2B.
J_Lake,4672,I Kennedy,6986,2016-07-06,Junior Lake doubled to center (Liner).
J_Lake,4672,G Germen,5876,2016-06-29,Junior Lake walked.
J_Lake,4672,B Pounders,1038,2016-07-05,Junior Lake balked to 3B. Troy Tulowitzki advanced to 2B.
J_Lake,4672,C Gimenez,7324,2016-07-03,Junior Lake flied out to left (Fliner (Liner)).
J_Lake,4672,J Collmenter,7312,2016-07-20,Junior Lake grounded out to shortstop (Grounder).
J_Lake,4672,D Hudson,7146,2016-07-20,Junior Lake grounded out to shortstop (Grounder).
J_Lake,4672,D Leone,1376,2016-07-19,Junior Lake grounded out to shortstop (Grounder).
J_Lake,4672,S Manaea,1587,2016-07-17,Junior Lake grounded out to shortstop (Grounder).
J_Lake,4672,S Manaea,1587,2016-07-17,Junior Lake struck out swinging.
J_Lake,4672,S Bracho,1505,2016-07-19,Junior Lake flied out to left (Fly).
J_Lake,4672,T Anderson,1288,2016-06-29,Junior Lake struck out looking.
J_Lake,4672,C Sale,1060,2016-06-26,Junior Lake grounded out to third (Grounder).
J_Lake,4672,P Corbin,9323,2016-07-20,Junior Lake grounded out to third (Grounder).
J_Lake,4672,L Hochevar,6943,2016-07-06,Junior Lake struck out swinging.
J_Lake,4672,Z Godley,1486,2016-07-19,Junior Lake struck out swinging.
J_Lake,4672,C Rodon,1613,2016-06-24,Junior Lake struck out swinging.
J_Lake,4672,C Rodon,1613,2016-06-24,Junior Lake struck out looking.
J_Lake,4672,T Bauer,1270,2016-07-01,Junior Lake grounded out to third (Grounder).
