playername,playerid,vsname,vsid,date,Play
J_Leclerc,1452,C Cron,1254,2016-09-21,C.J. Cron struck out swinging.
J_Leclerc,1452,C Dickerson,1076,2016-10-02,Corey Dickerson out on a dropped third strike.
J_Leclerc,1452,L Forsythe,7185,2016-10-02,Logan Forsythe flied out to first (Fly).
J_Leclerc,1452,E Nunez,6848,2016-07-09,Eduardo Nunez flied out to right (Fliner (Liner)).
J_Leclerc,1452,D Santana,1032,2016-07-09,Danny Santana non-force gdp to second (Grounder). Eddie Rosario scored. Juan Centeno out at second.
J_Leclerc,1452,E Longoria,9368,2016-10-02,Evan Longoria grounded out to second (Grounder).
J_Leclerc,1452,K Marte,1361,2016-09-05,Ketel Marte struck out looking.
J_Leclerc,1452,Y Gurriel,1919,2016-09-04,Yulieski Gurriel struck out looking.
J_Leclerc,1452,M Gonzalez,5497,2016-09-14,Marwin Gonzalez flied out to center (Fly). Yulieski Gurriel advanced to 3B.
J_Leclerc,1452,E Nunez,6848,2016-07-09,Eduardo Nunez grounded out to second (Grounder).
J_Leclerc,1452,S O'Malley,9629,2016-09-08,Shawn O'Malley struck out swinging.
J_Leclerc,1452,D Santana,1034,2016-09-26,Domingo Santana grounded out to third (Grounder).
J_Leclerc,1452,M Betts,1361,2016-07-06,Mookie Betts struck out swinging.
J_Leclerc,1452,M Reed,1322,2016-09-26,Michael Reed struck out swinging.
J_Leclerc,1452,R Healy,1544,2016-09-25,Ryon Healy flied out to left (Fly).
J_Leclerc,1452,J Bradley Jr.,1298,2016-07-06,Jackie Bradley Jr. grounded out to pitcher (Grounder).
J_Leclerc,1452,B Brentz,1060,2016-07-06,Bryce Brentz struck out swinging.
J_Leclerc,1452,T Shaw,1198,2016-07-06,Travis Shaw flied out to left (Fliner (Fly)).
J_Leclerc,1452,B Eibner,1136,2016-09-25,Brett Eibner flied out to right (Fly).
J_Leclerc,1452,M Olson,1434,2016-09-17,Matt Olson flied out to center (Fly).
J_Leclerc,1452,T La Stella,1237,2016-07-15,Tommy La Stella walked.
J_Leclerc,1452,M Semien,1253,2016-09-17,Marcus Semien struck out swinging.
J_Leclerc,1452,M Semien,1253,2016-09-25,Marcus Semien singled to right (Fly).
J_Leclerc,1452,M Betts,1361,2016-07-06,Mookie Betts doubled to left (Fliner (Liner)).
J_Leclerc,1452,J Baez,1297,2016-07-15,Javier Baez singled to center (Fliner (Liner)). Jason Heyward advanced to 2B.
J_Leclerc,1452,N Cruz,2434,2016-09-05,Nelson Cruz hit a sacrifice fly to right (Fly). Guillermo Heredia scored. Ben Gamel advanced to 3B.
J_Leclerc,1452,S Smith,7331,2016-09-05,Seth Smith was intentionally walked.
J_Leclerc,1452,C Rasmus,9893,2016-09-04,Colby Rasmus singled to right (Liner).
J_Leclerc,1452,F Gutierrez,3255,2016-09-05,Franklin Gutierrez hit a ground rule double (Fly). Leonys Martin scored. Seth Smith scored. Guillermo Heredia advanced to 3B.
J_Leclerc,1452,B Dozier,9810,2016-07-09,Brian Dozier walked. Danny Santana advanced to 3B. Joe Mauer advanced to 2B.
J_Leclerc,1452,J Mauer,1857,2016-07-09,Joe Mauer walked. Danny Santana advanced to 2B.
J_Leclerc,1452,R Ortega,1032,2016-09-21,Rafael Ortega walked.
J_Leclerc,1452,K Vargas,1210,2016-07-09,Kennys Vargas doubled to center (Fliner (Liner)).
J_Leclerc,1452,E Rosario,1215,2016-07-09,Eddie Rosario doubled to right (Fliner (Fly)). Kennys Vargas scored on error. Eddie Rosario advanced to 3B. Error by Shin-Soo Choo.
