playername,playerid,vsname,vsid,date,Play
J_Lester,4930,M Carpenter,8090,2016-09-25,Matt Carpenter grounded into a double play to third (Grounder). Jose Martinez advanced to 3B. Carlos Martinez out at second.
J_Lester,4930,J Peterson,1232,2016-04-29,Jace Peterson struck out looking.
J_Lester,4930,T Holt,1139,2016-04-22,Tyler Holt hit into a fielder's choice gidp to third (Grounder). Jay Bruce out at third. Adam Duvall out at second.
J_Lester,4930,A Cabrera,4962,2016-07-18,Asdrubal Cabrera grounded into a double play to third (Grounder). Neil Walker advanced to 3B. Wilmer Flores out at second.
J_Lester,4930,M Gonzalez,5497,2016-09-09,Marwin Gonzalez grounded into a double play to shortstop (Grounder). Evan Gattis out at second.
J_Lester,4930,A Bregman,1767,2016-09-09,Alex Bregman was forced out.
J_Lester,4930,D Stubbs,9328,2016-04-29,Drew Stubbs struck out swinging.
J_Lester,4930,S Rodriguez,6589,2016-05-04,Sean Rodriguez struck out swinging.
J_Lester,4930,M Williamson,1415,2016-09-02,Mac Williamson flied out to third (Fly).
J_Lester,4930,D Span,8347,2016-09-02,Denard Span grounded out to second (Grounder).
J_Lester,4930,J Peraza,1359,2016-09-20,Jose Peraza flied out to shortstop (Fly).
J_Lester,4930,J Niese,4424,2016-06-18,Jon Niese struck out swinging.
J_Lester,4930,A Pagan,2918,2016-09-02,Angel Pagan grounded out to second (Grounder).
J_Lester,4930,E Aybar,4082,2016-06-12,Erick Aybar reached on fielder's choice to third (Grounder). Adonis Garcia out at home. Erick Aybar advanced to 2B.
J_Lester,4930,J Marisnick,1133,2016-09-09,Jake Marisnick grounded out to third (Grounder).
J_Lester,4930,F Cervelli,5275,2016-05-15,Francisco Cervelli struck out swinging.
J_Lester,4930,J Francoeur,4792,2016-06-12,Jeff Francoeur struck out swinging.
J_Lester,4930,T Renda,1344,2016-09-20,Tony Renda reached on fielder's choice to shortstop (Grounder). Josh Smith out at second.
J_Lester,4930,A McCutchen,9847,2016-06-18,Andrew McCutchen was caught stealing.
J_Lester,4930,Y Cespedes,1311,2016-07-18,Yoenis Cespedes lined out to shortstop (Fliner (Liner)).
J_Lester,4930,S Schebler,1222,2016-09-20,Scott Schebler struck out looking.
J_Lester,4930,J Panik,1193,2016-09-02,Joe Panik grounded out to first (Grounder).
J_Lester,4930,G Springer,1285,2016-09-09,George Springer struck out swinging.
J_Lester,4930,B Posey,9166,2016-09-02,Buster Posey grounded out to second (Grounder).
J_Lester,4930,J Moscot,1384,2016-04-22,Jon Moscot struck out swinging.
J_Lester,4930,G Garcia,1095,2016-08-11,Greg Garcia grounded out to second (Grounder).
J_Lester,4930,J Kang,1718,2016-06-18,Jung Ho Kang grounded into a double play to shortstop (Liner). Andrew McCutchen out at second.
J_Lester,4930,D Castro,1545,2016-04-29,Daniel Castro flied out to second (Fly).
J_Lester,4930,K Davis,9112,2016-08-05,Khris Davis was caught stealing.
J_Lester,4930,C Crawford,1201,2016-06-01,Carl Crawford flied out to left (Fliner (Liner)).
J_Lester,4930,E Inciarte,4922,2016-06-12,Ender Inciarte grounded out to third (Grounder).
J_Lester,4930,J Harrison,8202,2016-06-18,Josh Harrison grounded out to shortstop (Grounder).
J_Lester,4930,R Cabrera,1032,2016-06-28,Ramon Cabrera struck out swinging.
J_Lester,4930,A Bregman,1767,2016-09-09,Alex Bregman struck out swinging.
