playername,playerid,vsname,vsid,date,Play
J_Locke,2929,A Rizzo,3473,2016-08-29,Anthony Rizzo non-force gdp to first (Grounder). Javier Baez out at home.
J_Locke,2929,D Mesoraco,5666,2016-04-10,Devin Mesoraco grounded into a double play to third (Grounder). Eugenio Suarez out at third.
J_Locke,2929,N Markakis,5930,2016-08-03,Nick Markakis grounded into a double play to shortstop (Grounder). Matt Kemp out at second.
J_Locke,2929,R Braun,3410,2016-07-20,Ryan Braun grounded into a double play to third (Grounder). Jonathan Villar advanced to 3B. Hernan Perez out at second.
J_Locke,2929,T Story,1256,2016-04-25,Trevor Story struck out swinging.
J_Locke,2929,M Adams,9393,2016-05-07,Matt Adams grounded into a double play to second (Grounder). Yadier Molina out at second.
J_Locke,2929,M Prado,3312,2016-05-30,Martin Prado grounded into a double play to shortstop (Grounder). Adeiny Hechavarria out at second.
J_Locke,2929,K Calhoun,1120,2016-06-04,Kole Calhoun flied out to right (Fliner (Fly)). Yunel Escobar out at third.
J_Locke,2929,B Hamilton,1019,2016-05-01,Billy Hamilton reached on fielder's choice to left (Fliner (Liner)). Tucker Barnhart out at third. Zack Cozart advanced to 2B.
J_Locke,2929,R Flores,1116,2016-07-20,Ramon Flores struck out swinging.
J_Locke,2929,K Johnson,2234,2016-06-15,Kelly Johnson fouled out to catcher (Fliner (Fly)).
J_Locke,2929,C Carter,9911,2016-07-20,Chris Carter struck out looking.
J_Locke,2929,T Melville,9149,2016-04-10,Timothy Melville struck out swinging.
J_Locke,2929,W Contreras,1160,2016-07-10,Willson Contreras grounded out to third (Grounder).
J_Locke,2929,J Giavotella,6740,2016-06-04,Johnny Giavotella grounded into a double play to third (Grounder). Albert Pujols out at second.
J_Locke,2929,J Nicolino,1175,2016-05-30,Justin Nicolino grounded into a double play to third (Bunt Grounder). Cole Gillespie out at second.
J_Locke,2929,J Votto,4314,2016-05-01,Joey Votto struck out swinging.
J_Locke,2929,B Zobrist,7435,2016-08-29,Ben Zobrist struck out looking.
J_Locke,2929,Z Cozart,2616,2016-04-10,Zack Cozart grounded out to shortstop (Grounder).
J_Locke,2929,D LeMahieu,9874,2016-04-25,DJ LeMahieu struck out looking.
J_Locke,2929,J Bruce,9892,2016-04-10,Jay Bruce flied out to right (Fliner (Liner)).
J_Locke,2929,Y Molina,7007,2016-05-07,Yadier Molina reached on fielder's choice to pitcher (Bunt Grounder). Matt Holliday out at third. Randal Grichuk advanced to 2B.
J_Locke,2929,J Lucroy,7870,2016-04-15,Jonathan Lucroy flied out to left (Fliner (Fly)).
J_Locke,2929,K Calhoun,1120,2016-06-04,Kole Calhoun flied out to center (Fly).
J_Locke,2929,K Broxton,9253,2016-04-15,Keon Broxton struck out swinging.
J_Locke,2929,N Hundley,3376,2016-04-25,Nick Hundley grounded out to shortstop (Grounder).
J_Locke,2929,D Ross,1551,2016-08-29,David Ross flied out to center (Fliner (Fly)).
J_Locke,2929,C Owings,1003,2016-05-25,Chris Owings grounded out to second (Grounder).
