playername,playerid,vsname,vsid,date,Play
J_Lyles,7593,J Jaso,5887,2016-05-23,John Jaso grounded into a double play to shortstop (Grounder). Jeff Locke out at second.
J_Lyles,7593,A Pagan,2918,2016-09-06,Angel Pagan grounded out to first (Grounder).
J_Lyles,7593,D Norris,6867,2016-04-08,Derek Norris flied out to left (Fliner (Liner)).
J_Lyles,7593,C Rea,1231,2016-04-08,Colin Rea grounded out to third (Grounder).
J_Lyles,7593,H Kendrick,4229,2016-04-24,Howie Kendrick grounded out to third (Grounder).
J_Lyles,7593,B Phillips,791&,2016-04-18,Brandon Phillips reached on fielder's choice to shortstop (Grounder). Joey Votto out at second.
J_Lyles,7593,A Rodriguez,1274,2016-06-22,Alex Rodriguez struck out looking.
J_Lyles,7593,T Turner,1625,2016-08-27,Trea Turner flied out to center (Fliner (Fly)).
J_Lyles,7593,J Lamb,1332,2016-09-02,Jake Lamb struck out swinging.
J_Lyles,7593,T Holt,1139,2016-04-18,Tyler Holt grounded out to second (Grounder).
J_Lyles,7593,Z Cozart,2616,2016-04-18,Zack Cozart grounded out to shortstop (Grounder).
J_Lyles,7593,J Bruce,9892,2016-04-18,Jay Bruce struck out swinging.
J_Lyles,7593,D Norris,6867,2016-04-08,Derek Norris struck out swinging.
J_Lyles,7593,A Rodriguez,1274,2016-06-22,Alex Rodriguez flied out to right (Fliner (Fly)).
J_Lyles,7593,J Bruce,9892,2016-04-18,Jay Bruce doubled to left (Fly). Jay Bruce out.
J_Lyles,7593,W Ramos,1433,2016-08-27,Wilson Ramos grounded out to third (Grounder).
J_Lyles,7593,M Kemp,5631,2016-04-08,Matt Kemp flied out to right (Fly).
J_Lyles,7593,Y Tomas,1717,2016-06-26,Yasmany Tomas struck out swinging.
J_Lyles,7593,J Pacheco,2677,2016-04-18,Jordan Pacheco grounded out to shortstop (Grounder).
J_Lyles,7593,A Altherr,1127,2016-08-14,Aaron Altherr reached on fielder's choice to third (Grounder). Jimmy Paredes out at home. Cesar Hernandez advanced to 2B.
J_Lyles,7593,A Ramirez,5133,2016-04-08,Alexei Ramirez struck out swinging.
J_Lyles,7593,P Gosselin,1095,2016-09-12,Phil Gosselin grounded out to third (Grounder).
J_Lyles,7593,B Hamilton,1019,2016-04-18,Billy Hamilton grounded out to third (Bunt Grounder).
J_Lyles,7593,G Blanco,3123,2016-04-13,Gregor Blanco grounded out to first (Grounder). Trevor Brown advanced to 3B.
J_Lyles,7593,F Galvis,6609,2016-07-09,Freddy Galvis grounded into a double play to second (Grounder). Peter Bourjos out at second.
J_Lyles,7593,K Pillar,1243,2016-06-29,Kevin Pillar struck out swinging.
J_Lyles,7593,B Belt,1026,2016-04-13,Brandon Belt flied out to left (Fly).
J_Lyles,7593,R Chirinos,3142,2016-08-09,Robinson Chirinos grounded out to shortstop (Grounder).
J_Lyles,7593,B Drury,1161,2016-06-26,Brandon Drury flied out to right (Fliner (Liner)).
J_Lyles,7593,R Zimmerman,4220,2016-08-27,Ryan Zimmerman grounded out to shortstop (Grounder).
J_Lyles,7593,J Jay,5227,2016-04-08,Jon Jay grounded out to pitcher (Grounder).
J_Lyles,7593,C Utley,1679,2016-04-24,Chase Utley grounded out to third (Grounder).
J_Lyles,7593,K Jensen,7706,2016-09-12,Kyle Jensen struck out swinging.
J_Lyles,7593,J Werth,1327,2016-08-15,Jayson Werth flied out to center (Fliner (Fly)). Trea Turner advanced to 3B.
J_Lyles,7593,B Hamilton,1019,2016-04-18,Billy Hamilton grounded out to shortstop (Grounder). Tucker Barnhart advanced to 2B.
J_Lyles,7593,A Gonzalez,1908,2016-08-31,Adrian Gonzalez flied out to center (Fly).
J_Lyles,7593,E Carrera,9048,2016-06-29,Ezequiel Carrera fouled out to first (Bunt Fly).
J_Lyles,7593,J Jaso,5887,2016-05-23,John Jaso flied out to center (Fly).
J_Lyles,7593,T Barnhart,1020,2016-04-18,Tucker Barnhart flied out to left (Fliner (Liner)).
