playername,playerid,vsname,vsid,date,Play
J_Mathis,3448,J Lackey,1507,2016-08-03,Jeff Mathis homered (Fliner (Fly)). Derek Dietrich scored.
J_Mathis,3448,M Wacha,1407,2016-07-17,Jeff Mathis singled to third (Bunt Grounder). Giancarlo Stanton scored. Derek Dietrich advanced to 2B.
J_Mathis,3448,S Strasburg,1013,2016-05-14,Jeff Mathis singled to left (Liner). Marcell Ozuna scored.
J_Mathis,3448,S Strasburg,1013,2016-05-14,Jeff Mathis doubled to center (Fliner (Liner)).
J_Mathis,3448,P Corbin,9323,2016-06-10,Jeff Mathis walked. Giancarlo Stanton advanced to 3B. Miguel Rojas advanced to 2B.
J_Mathis,3448,S Lugo,1244,2016-09-28,Jeff Mathis singled to right (Grounder).
J_Mathis,3448,J Diaz,3397,2016-08-18,Jeff Mathis reached on error to pitcher (Bunt Fly). Error by Jumbo Diaz.
J_Mathis,3448,A Asher,1356,2016-09-18,Jeff Mathis was hit by a pitch.
J_Mathis,3448,D Norris,1347,2016-06-29,Jeff Mathis singled to shortstop (Grounder).
J_Mathis,3448,M Scherzer,3137,2016-04-21,Jeff Mathis singled to left (Liner).
J_Mathis,3448,M Scherzer,3137,2016-04-21,Jeff Mathis advanced on a wild pitch to 3B.
J_Mathis,3448,J Garcia,8137,2016-07-30,Jeff Mathis doubled to center (Fliner (Liner)).
J_Mathis,3448,J Familia,5114,2016-04-12,Jeff Mathis walked.
J_Mathis,3448,J Collmenter,7312,2016-06-10,Jeff Mathis singled to right (Fliner (Fly)).
J_Mathis,3448,C Richard,3551,2016-08-27,Jeff Mathis singled to right (Fliner (Liner)).
J_Mathis,3448,C Rusin,9895,2016-08-07,Jeff Mathis singled to center (Liner).
J_Mathis,3448,J Eickhoff,1266,2016-07-21,Jeff Mathis grounded out to second (Grounder). Derek Dietrich scored. Chris Johnson advanced to 3B.
J_Mathis,3448,D Pomeranz,1142,2016-06-14,Jeff Mathis walked. Giancarlo Stanton advanced to 2B.
J_Mathis,3448,F Salas,4971,2016-09-01,Jeff Mathis singled to left (Fliner (Fly)).
J_Mathis,3448,J Williams,1137,2016-07-30,Jeff Mathis singled to center (Fly).
J_Mathis,3448,D Stumpf,1378,2016-07-21,Jeff Mathis grounded out to shortstop (Grounder).
J_Mathis,3448,A Bastardo,8844,2016-07-05,Jeff Mathis sacrificed to first (Bunt Grounder). Miguel Rojas advanced to 2B.
J_Mathis,3448,B Norris,9492,2016-05-29,Jeff Mathis struck out swinging.
J_Mathis,3448,S Gonzalez,1469,2016-07-26,Jeff Mathis struck out swinging.
J_Mathis,3448,B Boyer,2237,2016-04-29,Jeff Mathis grounded out to shortstop (Grounder).
J_Mathis,3448,K Ryan,1175,2016-06-29,Jeff Mathis flied out to left (Fly).
J_Mathis,3448,K Quackenbush,1236,2016-06-14,Jeff Mathis flied out to center (Fly).
J_Mathis,3448,J Gant,1368,2016-06-22,Jeff Mathis grounded out to shortstop (Grounder).
J_Mathis,3448,I Krol,1006,2016-06-22,Jeff Mathis struck out swinging.
J_Mathis,3448,C Anderson,6895,2016-05-11,Jeff Mathis flied out to right (Fliner (Fly)).
J_Mathis,3448,M Scherzer,3137,2016-04-21,Jeff Mathis flied out to center (Fliner (Fly)).
J_Mathis,3448,S Patton,1236,2016-06-26,Jeff Mathis flied out to right (Fly).
J_Mathis,3448,J Gray,1491,2016-08-07,Jeff Mathis struck out looking.
J_Mathis,3448,A Wilson,9239,2016-06-29,Jeff Mathis struck out swinging.
J_Mathis,3448,J Eickhoff,1266,2016-07-21,Jeff Mathis flied out to right (Fly).
J_Mathis,3448,D Straily,9460,2016-08-18,Jeff Mathis struck out swinging.
J_Mathis,3448,C Torres,7624,2016-05-11,Jeff Mathis flied out to shortstop (Fly).
J_Mathis,3448,T Roark,8753,2016-10-01,Jeff Mathis struck out looking.
J_Mathis,3448,J Eickhoff,1266,2016-07-26,Jeff Mathis struck out looking.
J_Mathis,3448,Z Davies,1318,2016-04-29,Jeff Mathis struck out swinging.
J_Mathis,3448,Z Davies,1318,2016-04-29,Jeff Mathis struck out looking.
J_Mathis,3448,M Scherzer,3137,2016-05-22,Jeff Mathis struck out looking.
J_Mathis,3448,J deGrom,1095,2016-09-01,Jeff Mathis struck out swinging.
