playername,playerid,vsname,vsid,date,Play
J_Motte,5861,L Morrison,9205,2016-07-18,Logan Morrison struck out looking.
J_Motte,5861,J Realmuto,1173,2016-06-20,J.T. Realmuto flied out to left (Fly).
J_Motte,5861,A Ramirez,5133,2016-06-12,Alexei Ramirez struck out swinging.
J_Motte,5861,B Wallace,8434,2016-06-12,Brett Wallace grounded out to first (Grounder).
J_Motte,5861,M Wieters,4298,2016-07-25,Matt Wieters flied out to left (Fly).
J_Motte,5861,R Howard,2154,2016-07-08,Ryan Howard grounded out to shortstop (Grounder).
J_Motte,5861,J Hardy,3797,2016-07-25,J.J. Hardy grounded out to shortstop (Grounder).
J_Motte,5861,G Stanton,4949,2016-06-20,Giancarlo Stanton struck out swinging.
J_Motte,5861,T Thompson,9952,2016-06-07,Trayce Thompson grounded out to shortstop (Grounder).
J_Motte,5861,S Castro,4579,2016-06-15,Starlin Castro struck out looking.
J_Motte,5861,C Gillaspie,9009,2016-05-29,Conor Gillaspie grounded into a double play to pitcher (Grounder). Gregor Blanco out at second.
J_Motte,5861,G Blanco,3123,2016-07-05,Gregor Blanco flied out to left (Fly).
J_Motte,5861,W Myers,1004,2016-06-11,Wil Myers flied out to shortstop (Fly).
J_Motte,5861,E Aybar,4082,2016-07-21,Erick Aybar grounded out to second (Grounder). Ender Inciarte scored. Anthony Recker advanced to 3B.
J_Motte,5861,J Bruce,9892,2016-05-30,Jay Bruce fouled out to third (Fly).
J_Motte,5861,M Saunders,9981,2016-06-27,Michael Saunders flied out to center (Fliner (Liner)).
J_Motte,5861,A Duvall,1095,2016-05-30,Adam Duvall grounded out to shortstop (Grounder).
J_Motte,5861,Y Solarte,5352,2016-06-04,Yangervis Solarte flied out to left (Fliner (Liner)).
J_Motte,5861,D Gregorius,6012,2016-06-21,Didi Gregorius struck out swinging.
J_Motte,5861,R Tejada,5519,2016-07-05,Ruben Tejada struck out swinging.
J_Motte,5861,T Goeddel,1318,2016-07-10,Tyler Goeddel grounded out to shortstop (Grounder).
J_Motte,5861,C Seager,1362,2016-09-23,Corey Seager struck out looking.
J_Motte,5861,C Headley,4720,2016-06-21,Chase Headley struck out swinging.
J_Motte,5861,N Markakis,5930,2016-07-21,Nick Markakis struck out swinging.
J_Motte,5861,R Goins,9807,2016-06-28,Ryan Goins grounded out to first (Grounder).
J_Motte,5861,H Kendrick,4229,2016-07-03,Howie Kendrick reached on fielder's choice to shortstop (Grounder). Trayce Thompson out at second.
J_Motte,5861,A Duvall,1095,2016-06-01,Adam Duvall struck out looking.
J_Motte,5861,J Turner,5235,2016-07-03,Justin Turner flied out to center (Fliner (Liner)).
J_Motte,5861,D Ortiz,745&,2016-05-25,David Ortiz struck out swinging.
J_Motte,5861,A Gonzalez,1908,2016-07-03,Adrian Gonzalez struck out swinging.
J_Motte,5861,B Crawford,5343,2016-09-29,Brandon Crawford flied out to center (Fly).
J_Motte,5861,K Wong,1253,2016-09-20,Kolten Wong grounded out to first (Grounder).
J_Motte,5861,R Grichuk,1024,2016-09-20,Randal Grichuk struck out swinging.
J_Motte,5861,C Asche,1199,2016-07-10,Cody Asche grounded out to first (Grounder).
J_Motte,5861,M Haniger,1427,2016-09-13,Mitch Haniger grounded out to second (Grounder).
J_Motte,5861,H Pence,8252,2016-09-29,Hunter Pence walked. Denard Span advanced to 3B. Brandon Belt advanced to 2B.
J_Motte,5861,T Thompson,9952,2016-07-03,Trayce Thompson walked.
J_Motte,5861,B Hamilton,1019,2016-06-01,Billy Hamilton advanced on a stolen base to 2B.
J_Motte,5861,B Posey,9166,2016-09-29,Buster Posey hit a sacrifice fly to left (Fliner (Fly)). Jarrett Parker scored.
J_Motte,5861,A Garcia,1377,2016-07-21,Adonis Garcia doubled to center (Fliner (Fly)).
J_Motte,5861,J Segura,5933,2016-06-24,Jean Segura advanced on a stolen base to 2B.
J_Motte,5861,O Herrera,1147,2016-07-10,Odubel Herrera walked.
J_Motte,5861,E Encarnacion,2151,2016-06-28,Edwin Encarnacion singled to shortstop (Grounder).
J_Motte,5861,E Inciarte,4922,2016-07-21,Ender Inciarte singled to left (Fliner (Liner)). Adonis Garcia advanced to 3B.
