playername,playerid,vsname,vsid,date,Play
J_Musgrove,1297,C Crisp,1572,2016-08-29,Coco Crisp struck out swinging.
J_Musgrove,1297,M Semien,1253,2016-09-20,Marcus Semien grounded into a double play to shortstop (Grounder). Joey Wendle out at second.
J_Musgrove,1297,N Mazara,1455,2016-09-03,Nomar Mazara lined out to pitcher (Liner). Robinson Chirinos out at second.
J_Musgrove,1297,B Zobrist,7435,2016-09-09,Ben Zobrist struck out swinging.
J_Musgrove,1297,S Choo,3174,2016-08-07,Shin-Soo Choo grounded out to first (Grounder).
J_Musgrove,1297,A Simmons,1084,2016-09-25,Andrelton Simmons flied out to right (Fliner (Fly)).
J_Musgrove,1297,E Encarnacion,2151,2016-08-12,Edwin Encarnacion struck out swinging.
J_Musgrove,1297,R Healy,1544,2016-08-29,Ryon Healy flied out to center (Fly).
J_Musgrove,1297,R Healy,1544,2016-08-29,Ryon Healy flied out to left (Fliner (Fly)). Stephen Vogt advanced to 3B.
J_Musgrove,1297,M Trout,1015,2016-09-25,Mike Trout grounded out to second (Grounder).
J_Musgrove,1297,M Moreland,3086,2016-08-07,Mitch Moreland flied out to right (Fly).
J_Musgrove,1297,M Saunders,9981,2016-08-12,Michael Saunders struck out swinging.
J_Musgrove,1297,R Ortega,1032,2016-09-25,Rafael Ortega grounded out to second (Grounder).
J_Musgrove,1297,J Lucroy,7870,2016-08-07,Jonathan Lucroy flied out to center (Fly).
J_Musgrove,1297,C Gomez,4881,2016-09-03,Carlos Gomez grounded out to second (Grounder). Carlos Beltran advanced to 3B. Adrian Beltre advanced to 2B.
J_Musgrove,1297,T Tulowitzki,3531,2016-08-12,Troy Tulowitzki grounded out to shortstop (Grounder).
J_Musgrove,1297,S Vogt,5000,2016-08-29,Stephen Vogt struck out swinging.
J_Musgrove,1297,R Nunez,1450,2016-09-20,Renato Nunez grounded out to shortstop (Grounder).
J_Musgrove,1297,M Upton Jr.,5015,2016-08-12,Melvin Upton Jr. struck out swinging.
J_Musgrove,1297,C Beltran,589&,2016-09-14,Carlos Beltran grounded out to shortstop (Grounder).
J_Musgrove,1297,J Thole,9689,2016-08-02,Josh Thole struck out swinging.
J_Musgrove,1297,D Ross,1551,2016-09-09,David Ross flied out to left (Fliner (Fly)).
J_Musgrove,1297,R Martin,4616,2016-08-12,Russell Martin grounded out to pitcher (Grounder).
J_Musgrove,1297,N Mazara,1455,2016-09-14,Nomar Mazara struck out swinging.
J_Musgrove,1297,T Tulowitzki,3531,2016-08-12,Troy Tulowitzki grounded out to pitcher (Grounder).
J_Musgrove,1297,S Choo,3174,2016-08-07,Shin-Soo Choo struck out looking.
J_Musgrove,1297,A Beltre,639&,2016-09-14,Adrian Beltre grounded out to second (Grounder). Carlos Beltran advanced to 3B.
J_Musgrove,1297,C Crisp,1572,2016-08-29,Coco Crisp grounded out to second (Grounder).
J_Musgrove,1297,N Mazara,1455,2016-08-07,Nomar Mazara flied out to center (Fly).
J_Musgrove,1297,J Baez,1297,2016-09-09,Javier Baez grounded out to second (Grounder).
J_Musgrove,1297,M Semien,1253,2016-08-29,Marcus Semien struck out swinging.
J_Musgrove,1297,M Upton Jr.,5015,2016-08-12,Melvin Upton Jr. flied out to right (Fly).
J_Musgrove,1297,R Odor,1228,2016-09-03,Rougned Odor grounded out to second (Grounder).
J_Musgrove,1297,T Tulowitzki,3531,2016-08-12,Troy Tulowitzki struck out looking.
J_Musgrove,1297,A Beltre,639&,2016-08-07,Adrian Beltre grounded out to third (Grounder).
J_Musgrove,1297,J Soler,1422,2016-09-09,Jorge Soler flied out to left (Fliner (Fly)).
J_Musgrove,1297,D Valencia,6364,2016-09-20,Danny Valencia struck out swinging.
J_Musgrove,1297,A Jones,6368,2016-08-18,Adam Jones grounded out to second (Grounder).
J_Musgrove,1297,D Travis,1386,2016-08-12,Devon Travis fouled out to first (Fly).
J_Musgrove,1297,C Pennington,3395,2016-09-25,Cliff Pennington struck out swinging.
J_Musgrove,1297,K Cowart,1149,2016-09-25,Kaleb Cowart struck out swinging.
J_Musgrove,1297,C Crisp,1572,2016-08-29,Coco Crisp struck out swinging.
J_Musgrove,1297,K Calhoun,1120,2016-09-25,Kole Calhoun flied out to center (Fly).
J_Musgrove,1297,J Wendle,1385,2016-09-20,Joey Wendle flied out to center (Fly).
