playername,playerid,vsname,vsid,date,Play
J_Niese,4424,D Espinosa,9219,2016-07-17,Danny Espinosa struck out swinging.
J_Niese,4424,W Castillo,3256,2016-04-22,Welington Castillo grounded into a double play to pitcher (Grounder). Paul Goldschmidt advanced to 3B. Yasmany Tomas out at second.
J_Niese,4424,M Conforto,1637,2016-06-07,Michael Conforto struck out swinging.
J_Niese,4424,B Phillips,791&,2016-05-09,Brandon Phillips grounded into a double play to second (Grounder). Billy Hamilton advanced to 3B. Joey Votto out at second.
J_Niese,4424,C Carter,9911,2016-04-16,Chris Carter grounded into a double play to shortstop (Grounder). Jonathan Lucroy out at second.
J_Niese,4424,J Realmuto,1173,2016-06-01,J.T. Realmuto struck out swinging.
J_Niese,4424,J Soler,1422,2016-05-03,Jorge Soler grounded into a double play to third (Grounder). Dexter Fowler out at second.
J_Niese,4424,G Parra,8553,2016-04-27,Gerardo Parra flied out to right (Fliner (Liner)).
J_Niese,4424,A Russell,1410,2016-07-10,Addison Russell grounded out to pitcher (Liner).
J_Niese,4424,P Goldschmidt,9218,2016-04-22,Paul Goldschmidt struck out swinging.
J_Niese,4424,N Hundley,3376,2016-04-27,Nick Hundley grounded into a double play to third (Grounder). Mark Reynolds out at second.
J_Niese,4424,S Drew,4251,2016-07-17,Stephen Drew flied out to center (Fly).
J_Niese,4424,D Santana,1034,2016-04-16,Domingo Santana grounded out to third (Grounder).
J_Niese,4424,A Diaz,1593,2016-07-04,Aledmys Diaz grounded out to pitcher (Grounder). Matt Carpenter advanced to 2B.
J_Niese,4424,K Marte,1361,2016-06-28,Ketel Marte grounded into a double play to shortstop (Grounder). Leonys Martin scored. Shawn O'Malley out at second.
J_Niese,4424,M Holliday,1873,2016-07-04,Matt Holliday grounded out to third (Grounder).
J_Niese,4424,M Cabrera,1744,2016-04-11,Miguel Cabrera grounded into a double play to shortstop (Grounder). Justin Upton out at second.
J_Niese,4424,J Martinez,6184,2016-04-11,J.D. Martinez reached on fielder's choice to third (Grounder). Miguel Cabrera advanced to 3B. Victor Martinez out at second.
J_Niese,4424,Y Tomas,1717,2016-04-22,Yasmany Tomas reached on fielder's choice to third (Grounder). Brandon Drury out at second.
J_Niese,4424,F Freeman,5361,2016-05-16,Freddie Freeman struck out swinging.
J_Niese,4424,T Jungmann,1311,2016-04-16,Taylor Jungmann struck out swinging.
J_Niese,4424,J Lester,4930,2016-06-18,Jon Lester struck out looking.
J_Niese,4424,J Baez,1297,2016-06-18,Javier Baez reached on fielder's choice to shortstop (Grounder). Ben Zobrist out at second.
J_Niese,4424,J Segura,5933,2016-04-22,Jean Segura flied out to right (Fliner (Liner)).
J_Niese,4424,T Goeddel,1318,2016-07-22,Tyler Goeddel flied out to center (Fliner (Fly)).
J_Niese,4424,V Martinez,393&,2016-04-11,Victor Martinez grounded into a double play to second (Grounder). Justin Upton out at second.
J_Niese,4424,R Grichuk,1024,2016-04-05,Randal Grichuk struck out swinging.
J_Niese,4424,D Peralta,2136,2016-04-22,David Peralta flied out to center (Fliner (Fly)).
J_Niese,4424,E Andrus,8709,2016-05-27,Elvis Andrus grounded out to third (Grounder).
J_Niese,4424,B Hamilton,1019,2016-05-09,Billy Hamilton flied out to center (Fliner (Liner)).
J_Niese,4424,D Dietrich,1054,2016-06-01,Derek Dietrich flied out to center (Fly).
J_Niese,4424,T Flowers,9134,2016-05-16,Tyler Flowers grounded into a double play to shortstop (Grounder). Kelly Johnson out at second.
J_Niese,4424,A Duvall,1095,2016-05-09,Adam Duvall grounded out to second (Grounder).
J_Niese,4424,M Ozuna,1032,2016-06-01,Marcell Ozuna struck out looking.
J_Niese,4424,N Arenado,9777,2016-04-27,Nolan Arenado flied out to right (Fly).
J_Niese,4424,R Raburn,2218,2016-05-21,Ryan Raburn struck out looking.
J_Niese,4424,G Stanton,4949,2016-06-01,Giancarlo Stanton struck out swinging.
J_Niese,4424,E Aybar,4082,2016-05-16,Erick Aybar reached on fielder's choice to third (Grounder). Tyler Flowers advanced to 3B. Chase d'Arnaud out at second.
J_Niese,4424,J Baez,1297,2016-07-10,Javier Baez struck out swinging.
J_Niese,4424,Y Molina,7007,2016-07-04,Yadier Molina grounded out to third (Grounder).
J_Niese,4424,J Lobaton,4243,2016-07-17,Jose Lobaton grounded out to third (Grounder).
J_Niese,4424,E Butler,1345,2016-04-27,Eddie Butler sacrificed to pitcher (Bunt Grounder). Nick Hundley advanced to 3B. DJ LeMahieu advanced to 2B.
J_Niese,4424,A Almora Jr.,1410,2016-06-18,Albert Almora flied out to right (Fliner (Fly)).
J_Niese,4424,J Peralta,1738,2016-07-04,Jhonny Peralta flied out to center (Fliner (Liner)).
J_Niese,4424,A Russell,1410,2016-06-18,Addison Russell struck out swinging.
J_Niese,4424,T Story,1256,2016-05-21,Trevor Story lined out to third (Liner).
J_Niese,4424,N Arenado,9777,2016-04-27,Nolan Arenado fouled out to left (Fly).
J_Niese,4424,E Suarez,1255,2016-05-09,Eugenio Suarez struck out swinging.
J_Niese,4424,R Rivera,3648,2016-06-07,Rene Rivera grounded out to third (Grounder).
J_Niese,4424,M Carpenter,8090,2016-07-04,Matt Carpenter flied out to right (Fliner (Liner)).
J_Niese,4424,A Beltre,639&,2016-05-27,Adrian Beltre grounded out to shortstop (Grounder).
J_Niese,4424,Y Cespedes,1311,2016-06-07,Yoenis Cespedes grounded out to third (Grounder).
J_Niese,4424,D Straily,9460,2016-05-09,Dan Straily grounded out to second (Grounder).
J_Niese,4424,F Freeman,5361,2016-05-16,Freddie Freeman grounded out to second (Grounder). Nick Markakis advanced to 3B.
J_Niese,4424,A Conley,1445,2016-06-01,Adam Conley struck out looking.
J_Niese,4424,T Wolters,1147,2016-05-21,Tony Wolters grounded out to first (Grounder).
J_Niese,4424,T Holt,1139,2016-05-09,Tyler Holt struck out swinging.
J_Niese,4424,Y Molina,7007,2016-04-05,Yadier Molina grounded out to shortstop (Grounder).
J_Niese,4424,P Fielder,4613,2016-05-27,Prince Fielder grounded out to first (Grounder).
J_Niese,4424,J Peralta,1738,2016-07-04,Jhonny Peralta struck out swinging.
J_Niese,4424,B Wilson,6564,2016-05-27,Bobby Wilson grounded out to second (Grounder).
J_Niese,4424,R Rivera,3648,2016-06-07,Rene Rivera reached on fielder's choice to third (Grounder). Michael Conforto out at second.
J_Niese,4424,J Parker,1162,2016-06-23,Jarrett Parker struck out swinging.
J_Niese,4424,C Yelich,1147,2016-06-01,Christian Yelich reached on fielder's choice to shortstop (Grounder). Martin Prado out at second.
J_Niese,4424,G Parra,8553,2016-05-21,Gerardo Parra grounded out to first (Grounder).
J_Niese,4424,M Holliday,1873,2016-07-04,Matt Holliday flied out to left (Fly).
J_Niese,4424,T Gosewisch,5277,2016-08-17,Tuffy Gosewisch fouled out to catcher (Fly).
J_Niese,4424,R Rivera,3648,2016-06-07,Rene Rivera grounded out to shortstop (Grounder).
J_Niese,4424,Y Molina,7007,2016-04-05,Yadier Molina struck out swinging.
J_Niese,4424,J Baez,1297,2016-05-03,Javier Baez grounded out to second (Grounder).
J_Niese,4424,B Moss,4467,2016-06-12,Brandon Moss flied out to left (Fly).
J_Niese,4424,A Rizzo,3473,2016-05-03,Anthony Rizzo fouled out to third (Fly).
J_Niese,4424,J Gyorko,1081,2016-07-04,Jedd Gyorko flied out to center (Fliner (Liner)).
J_Niese,4424,B Phillips,791&,2016-05-09,Brandon Phillips grounded out to third (Grounder).
J_Niese,4424,R Weeks Jr.,1849,2016-08-17,Rickie Weeks Jr. reached on fielder's choice to third (Grounder). Paul Goldschmidt out at second.
J_Niese,4424,D LeMahieu,9874,2016-04-27,DJ LeMahieu flied out to right (Fliner (Fly)).
J_Niese,4424,N Walker,7539,2016-06-07,Neil Walker flied out to left (Fliner (Fly)).
J_Niese,4424,I Kinsler,6195,2016-04-11,Ian Kinsler flied out to center (Fliner (Fly)).
J_Niese,4424,N Arenado,9777,2016-05-21,Nolan Arenado flied out to right (Fly).
