playername,playerid,vsname,vsid,date,Play
J_Panik,1193,A Colome,6661,2016-06-18,Joe Panik homered (Fly). Trevor Brown scored. Gregor Blanco scored.
J_Panik,1193,T Watson,3132,2016-08-16,Joe Panik doubled to left (Liner). Gregor Blanco advanced to 3B.
J_Panik,1193,J Hughes,9325,2016-06-22,Joe Panik doubled to left (Fliner (Fly)). Ramiro Pena scored. Jarrett Parker scored.
J_Panik,1193,S Miller,1019,2016-05-13,Joe Panik homered (Fly). Angel Pagan scored. Denard Span scored.
J_Panik,1193,J Cosart,1030,2016-09-24,Joe Panik singled to center (Liner). Buster Posey scored. Hunter Pence scored. Eduardo Nunez advanced to 2B.
J_Panik,1193,A Bradley,1291,2016-04-18,Joe Panik homered (Fly).
J_Panik,1193,A Blair,1493,2016-08-28,Joe Panik homered (Fly). Jarrett Parker scored.
J_Panik,1193,D Hudson,7146,2016-05-14,Joe Panik walked. Conor Gillaspie advanced to 3B. Denard Span advanced to 2B.
J_Panik,1193,J Gray,1491,2016-09-29,Joe Panik singled to left (Fliner (Fly)). Hunter Pence scored.
J_Panik,1193,M Moore,1890,2016-06-18,Joe Panik was hit by a pitch. Trevor Brown scored. Gregor Blanco advanced to 3B. Denard Span advanced to 2B.
J_Panik,1193,A Blair,1493,2016-08-28,Joe Panik homered (Fliner (Fly)).
J_Panik,1193,D Leone,1376,2016-09-09,Joe Panik singled to right (Grounder). Brandon Belt advanced to 2B.
J_Panik,1193,L Perdomo,1468,2016-09-14,Joe Panik singled to center (Liner). Brandon Crawford scored. Brandon Belt advanced to 2B.
J_Panik,1193,Y Garcia,1209,2016-04-07,Joe Panik singled to center (Fliner (Liner)). Angel Pagan scored. Joe Panik advanced to 2B.
J_Panik,1193,R Vogelsong,1011,2016-08-15,Joe Panik walked. Angel Pagan scored. Brandon Belt advanced to 3B. Brandon Crawford advanced to 2B.
J_Panik,1193,D Hernandez,4259,2016-06-25,Joe Panik singled to right (Fliner (Liner)).
J_Panik,1193,J Cosart,1030,2016-04-22,Joe Panik singled to right (Grounder). Denard Span advanced to 3B.
J_Panik,1193,B Shipley,1515,2016-09-09,Joe Panik singled to right (Liner). Hunter Pence scored. Brandon Belt advanced to 2B.
J_Panik,1193,S Strasburg,1013,2016-08-06,Joe Panik walked. Buster Posey scored. Brandon Crawford advanced to 3B. Hunter Pence advanced to 2B.
J_Panik,1193,C Anderson,6895,2016-06-13,Joe Panik tripled to right (Fly).
J_Panik,1193,C Estevez,1454,2016-05-28,Joe Panik singled to right (Grounder).
J_Panik,1193,S Kazmir,4897,2016-04-16,Joe Panik singled to center (Grounder). Denard Span scored.
J_Panik,1193,R Lopez,1640,2016-07-30,Joe Panik singled to right (Fliner (Liner)). Brandon Belt advanced to 2B.
