playername,playerid,vsname,vsid,date,Play
J_Paxton,1182,V Martinez,393&,2016-06-21,Victor Martinez grounded into a double play to third (Grounder). Cameron Maybin advanced to 3B. Miguel Cabrera out at second.
J_Paxton,1182,P Orlando,8628,2016-07-07,Paulo Orlando grounded into a double play to third (Grounder). Brett Eibner advanced to 3B. Alcides Escobar out at second.
J_Paxton,1182,C Pinder,1519,2016-09-11,Chad Pinder grounded into a double play to pitcher (Grounder). Brett Eibner out at second.
J_Paxton,1182,M Gonzalez,5497,2016-07-15,Marwin Gonzalez grounded into a double play to third (Grounder). George Springer out at second.
J_Paxton,1182,J Decker,7945,2016-06-16,Jaff Decker flied out to right (Fliner (Fly)).
J_Paxton,1182,M Cabrera,1744,2016-06-21,Miguel Cabrera grounded into a double play to shortstop (Grounder). Cameron Maybin out at second.
J_Paxton,1182,B Eibner,1136,2016-07-07,Brett Eibner lined out to shortstop (Fliner (Liner)).
J_Paxton,1182,M Napoli,3057,2016-06-06,Mike Napoli struck out swinging.
J_Paxton,1182,J Abreu,1567,2016-08-25,Jose Abreu lined out to second (Liner). Tyler Saladino out at third.
J_Paxton,1182,J Marisnick,1133,2016-09-17,Jake Marisnick grounded out to third (Grounder).
J_Paxton,1182,M Semien,1253,2016-09-11,Marcus Semien grounded into a double play to second (Grounder). Jake Smolinski out at second.
J_Paxton,1182,J Lucroy,7870,2016-09-06,Jonathan Lucroy struck out swinging.
J_Paxton,1182,R Odor,1228,2016-06-11,Rougned Odor singled to first (Grounder). Nomar Mazara out at second.
J_Paxton,1182,E Andrus,8709,2016-09-06,Elvis Andrus struck out swinging.
J_Paxton,1182,G Petit,3812,2016-08-07,Gregorio Petit struck out swinging.
J_Paxton,1182,G Springer,1285,2016-07-15,George Springer reached on fielder's choice to shortstop (Grounder). Jake Marisnick out at home.
J_Paxton,1182,C Santana,2396,2016-06-06,Carlos Santana grounded out to first (Grounder).
J_Paxton,1182,R Odor,1228,2016-09-06,Rougned Odor flied out to left (Fliner (Fly)).
J_Paxton,1182,B Brentz,1060,2016-08-01,Bryce Brentz grounded into a double play to shortstop (Grounder). Sandy Leon out at second.
J_Paxton,1182,D Pedroia,8370,2016-08-01,Dustin Pedroia grounded out to shortstop (Grounder).
J_Paxton,1182,G Cole,1312,2016-07-27,Gerrit Cole struck out swinging.
J_Paxton,1182,D Barney,2430,2016-07-22,Darwin Barney struck out swinging.
J_Paxton,1182,M Aviles,5986,2016-06-21,Mike Aviles flied out to center (Fliner (Liner)).
J_Paxton,1182,M Cabrera,1744,2016-06-21,Miguel Cabrera grounded out to shortstop (Grounder).
J_Paxton,1182,R Rua,1240,2016-06-11,Ryan Rua reached on fielder's choice to second (Grounder). Ian Desmond advanced to 3B. Rougned Odor out at second.
J_Paxton,1182,J Kang,1718,2016-07-27,Jung Ho Kang struck out swinging.
J_Paxton,1182,D Jennings,1965,2016-06-16,Desmond Jennings struck out swinging.
J_Paxton,1182,J Gyorko,1081,2016-06-26,Jedd Gyorko flied out to right (Fly).
J_Paxton,1182,S Robinson,4249,2016-08-07,Shane Robinson flied out to right (Fliner (Fly)).
J_Paxton,1182,C Casali,1251,2016-06-16,Curt Casali reached on fielder's choice to shortstop (Grounder). Jaff Decker out at second.
J_Paxton,1182,J Lake,4672,2016-07-22,Junior Lake grounded out to third (Grounder).
J_Paxton,1182,T Beckham,7949,2016-06-16,Tim Beckham grounded out to shortstop (Grounder).
J_Paxton,1182,L Valbuena,4969,2016-07-15,Luis Valbuena flied out to center (Fly).
J_Paxton,1182,J Iglesias,1023,2016-06-21,Jose Iglesias flied out to right (Fly).
J_Paxton,1182,J Gyorko,1081,2016-06-26,Jedd Gyorko flied out to center (Fly).
J_Paxton,1182,J Smolinski,5408,2016-09-11,Jake Smolinski struck out swinging.
J_Paxton,1182,A Escobar,6310,2016-07-07,Alcides Escobar flied out to right (Fly).
J_Paxton,1182,B Dozier,9810,2016-09-23,Brian Dozier flied out to center (Fly).
