playername,playerid,vsname,vsid,date,Play
J_Rogers,1177,R Ray,1148,2016-04-24,Jason Rogers tripled to left (Fliner (Fly)). David Freese scored. Starling Marte scored.
J_Rogers,1177,J Hammel,4538,2016-05-02,Jason Rogers walked. Jordy Mercer advanced to 2B.
J_Rogers,1177,J de la Rosa,2047,2016-04-26,Jason Rogers was hit by a pitch. Francisco Cervelli advanced to 2B.
J_Rogers,1177,P Corbin,9323,2016-04-22,Jason Rogers walked.
J_Rogers,1177,S Oberg,1391,2016-04-25,John Jaso advanced on a wild pitch to 2B.
J_Rogers,1177,A Chapman,1023,2016-09-26,Jason Rogers grounded out to second (Grounder).
J_Rogers,1177,T Wood,9884,2016-05-02,Jason Rogers struck out looking.
J_Rogers,1177,W Peralta,1429,2016-09-17,Jason Rogers singled to right (Liner). Pedro Florimon out at home. Jordy Mercer advanced to 2B. Jason Rogers
J_Rogers,1177,M Melancon,4264,2016-09-25,Jason Rogers grounded out to shortstop (Grounder).
J_Rogers,1177,T Cravy,1077,2016-09-04,Jason Rogers grounded out to third (Grounder).
J_Rogers,1177,P Corbin,9323,2016-04-22,Jason Rogers flied out to center (Fliner (Fly)).
J_Rogers,1177,J Gomez,9033,2016-09-14,Jason Rogers struck out swinging.
J_Rogers,1177,C Bergman,1092,2016-04-26,Jason Rogers grounded out to shortstop (Grounder).
J_Rogers,1177,T Cahill,6249,2016-05-03,Jason Rogers struck out swinging.
J_Rogers,1177,J de la Rosa,2047,2016-04-26,Jason Rogers struck out swinging.
J_Rogers,1177,T Cingrani,1255,2016-09-16,Jason Rogers reached on fielder's choice to shortstop (Grounder). Sean Rodriguez out at home. Francisco Cervelli advanced to 3B. Jordy Mercer advanced to 2B.
J_Rogers,1177,T Wood,9884,2016-06-18,Jason Rogers struck out swinging.
