playername,playerid,vsname,vsid,date,Play
J_Rondon,1414,J Eickhoff,1266,2016-08-07,Jose Rondon reached on fielder's choice and error to third (Grounder). Derek Norris advanced to 3B on error. Jose Rondon Error by Maikel Franco.
J_Rondon,1414,J Hellickson,4371,2016-08-05,Jose Rondon singled to center (Grounder). Alex Dickerson scored.
J_Rondon,1414,J Guerra,5702,2016-08-03,Jose Rondon singled to center (Fliner (Liner)). Alex Dickerson advanced to 3B. Christian Bethancourt advanced to 2B.
J_Rondon,1414,D Goforth,1216,2016-08-03,Jose Rondon reached on fielder's choice to third (Grounder). Christian Bethancourt out at second.
J_Rondon,1414,F Rivero,1207,2016-08-09,Jose Rondon grounded out to first (Grounder).
J_Rondon,1414,A DeSclafani,1305,2016-07-30,Jose Rondon struck out swinging.
J_Rondon,1414,C Kuhl,1497,2016-08-09,Jose Rondon grounded out to second (Grounder).
J_Rondon,1414,J Hellickson,4371,2016-08-05,Jose Rondon flied out to shortstop (Fly).
J_Rondon,1414,J Guerra,5702,2016-08-03,Jose Rondon grounded out to second (Grounder).
J_Rondon,1414,Z Davies,1318,2016-08-02,Jose Rondon grounded out to shortstop (Grounder).
J_Rondon,1414,B Wood,1345,2016-07-31,Jose Rondon grounded out to first (Grounder).
J_Rondon,1414,Z Davies,1318,2016-08-02,Jose Rondon batter interference to catcher (Grounder).
J_Rondon,1414,A DeSclafani,1305,2016-07-30,Jose Rondon grounded out to pitcher (Grounder).
