playername,playerid,vsname,vsid,date,Play
J_Ross,1297,K Wong,1253,2016-05-26,Kolten Wong grounded into a double play to second (Grounder). Brandon Moss out at second.
J_Ross,1297,A Hechavarria,1045,2016-04-10,Adeiny Hechavarria grounded into a double play to second (Grounder). J.T. Realmuto out at second.
J_Ross,1297,Y Molina,7007,2016-04-30,Yadier Molina grounded into a double play to second (Grounder). Matt Adams out at second.
J_Ross,1297,Y Molina,7007,2016-05-26,Yadier Molina struck out swinging.
J_Ross,1297,T Joseph,1034,2016-06-12,Tommy Joseph grounded into a double play to third (Grounder). Freddy Galvis out at second.
J_Ross,1297,I Suzuki,1101,2016-04-20,Ichiro Suzuki grounded into a double play to third (Grounder). Dee Gordon out at second.
J_Ross,1297,A Diaz,1593,2016-05-26,Aledmys Diaz grounded into a double play to second (Grounder). Jeremy Hazelbaker out at second.
J_Ross,1297,N Markakis,5930,2016-09-18,Nick Markakis struck out swinging.
J_Ross,1297,B Lawrie,5247,2016-06-07,Brett Lawrie struck out swinging.
J_Ross,1297,R Howard,2154,2016-05-31,Ryan Howard flied out to second (Fly).
J_Ross,1297,M Leake,1013,2016-05-26,Mike Leake grounded into a double play to third (Grounder). Greg Garcia out at second.
J_Ross,1297,M Kemp,5631,2016-09-18,Matt Kemp flied out to right (Fly).
J_Ross,1297,J Bruce,9892,2016-07-02,Jay Bruce struck out swinging.
J_Ross,1297,T Goeddel,1318,2016-05-31,Tyler Goeddel struck out swinging.
J_Ross,1297,A Nola,1614,2016-05-31,Aaron Nola grounded out to shortstop (Grounder).
J_Ross,1297,P Goldschmidt,9218,2016-09-29,Paul Goldschmidt flied out to center (Fly).
J_Ross,1297,M Franco,1217,2016-06-12,Maikel Franco struck out swinging.
J_Ross,1297,B Drury,1161,2016-09-29,Brandon Drury struck out swinging.
J_Ross,1297,M Holliday,1873,2016-04-30,Matt Holliday reached on fielder's choice to shortstop (Grounder). Jeremy Hazelbaker out at second.
J_Ross,1297,J Bour,9744,2016-04-10,Justin Bour flied out to center (Fly).
J_Ross,1297,T Frazier,785&,2016-06-07,Todd Frazier struck out swinging.
J_Ross,1297,J Upton,5222,2016-05-10,Justin Upton reached on fielder's choice to shortstop (Grounder). Victor Martinez advanced to 3B. Nick Castellanos out at second.
J_Ross,1297,P Bourjos,2578,2016-05-31,Peter Bourjos struck out swinging.
J_Ross,1297,M Prado,3312,2016-04-10,Martin Prado struck out looking.
J_Ross,1297,C Friedrich,7942,2016-06-17,Christian Friedrich struck out swinging.
J_Ross,1297,I Kinsler,6195,2016-05-10,Ian Kinsler flied out to shortstop (Fly).
J_Ross,1297,M Wisler,1280,2016-09-18,Matt Wisler struck out swinging.
J_Ross,1297,J Hazelbaker,9399,2016-05-26,Jeremy Hazelbaker struck out swinging.
J_Ross,1297,A Rizzo,3473,2016-05-05,Anthony Rizzo flied out to right (Fly).
J_Ross,1297,J Lamb,1332,2016-09-29,Jake Lamb struck out swinging.
J_Ross,1297,F Galvis,6609,2016-05-31,Freddy Galvis struck out swinging.
J_Ross,1297,A Hechavarria,1045,2016-05-15,Adeiny Hechavarria flied out to center (Fliner (Fly)).
J_Ross,1297,J Fernandez,1153,2016-05-21,Jose Fernandez struck out swinging.
J_Ross,1297,M Carpenter,8090,2016-04-30,Matt Carpenter flied out to right (Fliner (Liner)).
J_Ross,1297,A Cabrera,4962,2016-06-27,Asdrubal Cabrera struck out swinging.
J_Ross,1297,A Gonzalez,1908,2016-06-22,Adrian Gonzalez grounded out to first (Grounder).
J_Ross,1297,J Realmuto,1173,2016-04-20,J.T. Realmuto flied out to left (Fliner (Fly)).
J_Ross,1297,T Thompson,9952,2016-06-22,Trayce Thompson lined out to second (Liner).
J_Ross,1297,I Kinsler,6195,2016-05-10,Ian Kinsler flied out to center (Fly).
J_Ross,1297,T Goeddel,1318,2016-05-31,Tyler Goeddel struck out swinging.
J_Ross,1297,S Brito,1294,2016-09-29,Socrates Brito flied out to shortstop (Fly).
J_Ross,1297,J Loney,4556,2016-06-27,James Loney grounded out to shortstop (Liner).
J_Ross,1297,W Venable,211&,2016-06-22,Will Venable flied out to shortstop (Fliner (Liner)).
J_Ross,1297,C Rupp,1114,2016-06-12,Cameron Rupp grounded out to pitcher (Grounder).
J_Ross,1297,D Dietrich,1054,2016-05-21,Derek Dietrich struck out looking.
J_Ross,1297,M Haniger,1427,2016-09-29,Mitch Haniger grounded out to shortstop (Grounder).
J_Ross,1297,J Urias,1476,2016-06-22,Julio Urias grounded out to shortstop (Grounder).
J_Ross,1297,A Gonzalez,1908,2016-06-22,Adrian Gonzalez flied out to left (Fly).
J_Ross,1297,F Galvis,6609,2016-05-31,Freddy Galvis flied out to center (Fly).
J_Ross,1297,T Koehler,6570,2016-04-10,Tom Koehler out on a dropped third strike.
J_Ross,1297,R Ray,1148,2016-09-29,Robbie Ray struck out looking.
J_Ross,1297,D Straily,9460,2016-07-02,Dan Straily struck out looking.
J_Ross,1297,A Gonzalez,1908,2016-06-22,Adrian Gonzalez flied out to right (Fliner (Fly)). Corey Seager advanced to 3B.
J_Ross,1297,C Rupp,1114,2016-05-31,Cameron Rupp grounded out to third (Grounder).
J_Ross,1297,J Bour,9744,2016-04-20,Justin Bour flied out to left (Fly).
J_Ross,1297,J Hazelbaker,9399,2016-05-26,Jeremy Hazelbaker flied out to right (Fliner (Fly)).
J_Ross,1297,J Pederson,1189,2016-06-22,Joc Pederson struck out looking.
J_Ross,1297,T Flowers,9134,2016-09-18,Tyler Flowers flied out to center (Fly). Matt Kemp advanced to 3B.
J_Ross,1297,T Gosewisch,5277,2016-09-29,Tuffy Gosewisch reached on fielder's choice to shortstop (Grounder). Mitch Haniger out at second.
J_Ross,1297,R Tejada,5519,2016-04-30,Ruben Tejada flied out to left (Fly).
J_Ross,1297,J Bour,9744,2016-04-10,Justin Bour flied out to third (Fly).
J_Ross,1297,G Stanton,4949,2016-05-15,Giancarlo Stanton grounded out to pitcher (Grounder).
J_Ross,1297,B Drury,1161,2016-09-29,Brandon Drury grounded out to third (Grounder).
J_Ross,1297,G Stanton,4949,2016-04-20,Giancarlo Stanton flied out to left (Fly).
J_Ross,1297,J Paredes,5481,2016-06-12,Jimmy Paredes lined out to first (Liner).
J_Ross,1297,M Ozuna,1032,2016-05-21,Marcell Ozuna grounded out to third (Grounder).
J_Ross,1297,J Upton,5222,2016-05-10,Justin Upton struck out swinging.
J_Ross,1297,D Norris,6867,2016-06-17,Derek Norris struck out swinging.
J_Ross,1297,A Ramirez,5133,2016-06-17,Alexei Ramirez flied out to first (Fly).
J_Ross,1297,J Abreu,1567,2016-06-07,Jose Abreu lined out to third (Liner).
J_Ross,1297,N Castellanos,1173,2016-05-10,Nick Castellanos flied out to left (Fliner (Fly)).
J_Ross,1297,F Galvis,6609,2016-06-12,Freddy Galvis flied out to right (Fly).
J_Ross,1297,G Stanton,4949,2016-05-21,Giancarlo Stanton struck out swinging.
J_Ross,1297,D Dietrich,1054,2016-05-15,Derek Dietrich struck out swinging.
J_Ross,1297,D Fowler,4062,2016-05-05,Dexter Fowler struck out looking.
J_Ross,1297,C Hernandez,1055,2016-06-12,Cesar Hernandez grounded out to second (Grounder).
J_Ross,1297,T Saladino,1080,2016-06-07,Tyler Saladino flied out to right (Fliner (Fly)).
J_Ross,1297,M Leake,1013,2016-05-26,Mike Leake grounded out to pitcher (Grounder). Greg Garcia advanced to 2B.
J_Ross,1297,I Nova,1994,2016-09-24,Ivan Nova struck out looking.
J_Ross,1297,C Utley,1679,2016-06-22,Chase Utley flied out to center (Fliner (Liner)).
J_Ross,1297,C Asche,1199,2016-06-12,Cody Asche grounded out to shortstop (Grounder).
J_Ross,1297,W Flores,5827,2016-06-27,Wilmer Flores flied out to left (Fly).
J_Ross,1297,S Brito,1294,2016-09-29,Socrates Brito flied out to right (Fly).
J_Ross,1297,B Hamilton,1019,2016-07-02,Billy Hamilton flied out to center (Fliner (Liner)).
J_Ross,1297,B Phillips,791&,2016-07-02,Brandon Phillips flied out to right (Fly).
J_Ross,1297,M Carpenter,8090,2016-04-30,Matt Carpenter grounded out to first (Grounder).
J_Ross,1297,J Fernandez,1153,2016-05-15,Jose Fernandez sacrificed to pitcher (Bunt Grounder). J.T. Realmuto advanced to 2B.
J_Ross,1297,C Yelich,1147,2016-05-15,Christian Yelich struck out swinging.
J_Ross,1297,T Thompson,9952,2016-06-22,Trayce Thompson grounded out to third (Grounder).
J_Ross,1297,Y Molina,7007,2016-04-30,Yadier Molina flied out to shortstop (Fliner (Fly)).
J_Ross,1297,A Diaz,1593,2016-05-26,Aledmys Diaz grounded out to third (Grounder).
J_Ross,1297,G Stanton,4949,2016-05-15,Giancarlo Stanton flied out to left (Fly).
J_Ross,1297,D Gordon,8203,2016-04-10,Dee Gordon grounded out to shortstop (Grounder).
J_Ross,1297,C Owings,1003,2016-09-29,Chris Owings grounded out to pitcher (Grounder). Jean Segura advanced to 2B.
J_Ross,1297,A McCutchen,9847,2016-09-24,Andrew McCutchen struck out swinging.
J_Ross,1297,R Howard,2154,2016-05-31,Ryan Howard struck out swinging.
J_Ross,1297,Y Grandal,1136,2016-06-22,Yasmani Grandal fouled out to third (Fly).
J_Ross,1297,J Realmuto,1173,2016-04-10,J.T. Realmuto grounded out to second (Grounder).
J_Ross,1297,J Bour,9744,2016-05-15,Justin Bour grounded out to first (Grounder).
J_Ross,1297,R Kalish,6962,2016-05-05,Ryan Kalish grounded out to second (Grounder).
J_Ross,1297,J Bour,9744,2016-05-21,Justin Bour grounded out to second (Grounder).
J_Ross,1297,J Peraza,1359,2016-07-02,Jose Peraza lined out to first (Liner).
J_Ross,1297,M Prado,3312,2016-05-15,Martin Prado grounded out to shortstop (Grounder).
J_Ross,1297,A Eaton,1120,2016-06-07,Adam Eaton grounded out to third (Grounder).
J_Ross,1297,A Garcia,1377,2016-09-18,Adonis Garcia struck out swinging.
J_Ross,1297,T La Stella,1237,2016-05-05,Tommy La Stella flied out to right (Fliner (Liner)).
J_Ross,1297,T Koehler,6570,2016-04-10,Tom Koehler grounded out to second (Grounder).
J_Ross,1297,E Burriss,2917,2016-04-15,Emmanuel Burriss flied out to left (Fliner (Fly)).
J_Ross,1297,A Morgan,1258,2016-06-12,Adam Morgan struck out looking.
J_Ross,1297,B Hamilton,1019,2016-07-02,Billy Hamilton flied out to left (Fly).
J_Ross,1297,J Bell,1314,2016-09-24,Josh Bell flied out to second (Fly).
J_Ross,1297,N Walker,7539,2016-06-27,Neil Walker struck out looking.
J_Ross,1297,R Howard,2154,2016-05-31,Ryan Howard flied out to left (Fliner (Fly)).
