playername,playerid,vsname,vsid,date,Play
J_Russell,4089,J Jay,5227,2016-04-11,Jon Jay flied out to center (Fly).
J_Russell,4089,C Granderson,4747,2016-04-08,Curtis Granderson grounded out to second (Grounder).
J_Russell,4089,W Ramos,1433,2016-04-16,Wilson Ramos grounded out to shortstop (Grounder).
J_Russell,4089,J Werth,1327,2016-04-15,Jayson Werth flied out to center (Fly).
J_Russell,4089,T d'Arnaud,7739,2016-04-19,Travis d'Arnaud struck out swinging.
J_Russell,4089,L Duda,2502,2016-04-19,Lucas Duda flied out to left (Fly).
J_Russell,4089,D Wright,3787,2016-04-19,David Wright struck out swinging.
J_Russell,4089,S Drew,4251,2016-04-15,Stephen Drew singled to shortstop (Grounder).
J_Russell,4089,E Campbell,6938,2016-04-19,Eric Campbell singled to left (Grounder).
J_Russell,4089,C Heisey,3978,2016-04-16,Chris Heisey homered (Fliner (Fly)).
J_Russell,4089,D Wright,3787,2016-04-08,David Wright walked.
J_Russell,4089,C Spangenberg,1229,2016-04-11,Cory Spangenberg walked.
J_Russell,4089,N Walker,7539,2016-04-08,Neil Walker singled to right (Fliner (Liner)). David Wright scored. Yoenis Cespedes advanced to 3B. Lucas Duda advanced to 2B.
J_Russell,4089,J Votto,4314,2016-04-04,Joey Votto singled to center (Liner). Scott Schebler scored. Billy Hamilton scored. Eugenio Suarez advanced to 2B.
