playername,playerid,vsname,vsid,date,Play
J_Segura,5933,K Siegrist,8180,2016-04-25,Jean Segura homered (Fliner (Liner)). Chris Owings scored. Zack Greinke scored.
J_Segura,5933,H Neris,1180,2016-06-29,Jean Segura singled to third (Grounder). Nick Ahmed scored. Jean Segura advanced to 2B on error. Error by Andres Blanco.
J_Segura,5933,C Bergman,1092,2016-04-05,Jean Segura tripled to right (Fliner (Liner)). Yasmany Tomas scored. Nick Ahmed scored.
J_Segura,5933,B Hand,9111,2016-08-19,"Jake Lamb advanced on double steal. Paul Goldschmidt advanced to 2B, advanced to 3B on error. Error by Derek Norris."
J_Segura,5933,J Hoffman,1743,2016-09-14,Jean Segura homered (Fliner (Liner)). Braden Shipley scored.
J_Segura,5933,J Nelson,1054,2016-07-27,Jean Segura reached on fielder's choice and error to shortstop (Grounder). Phil Gosselin scored on error. Jean Segura advanced to 3B. Error by Jonathan Villar;Kirk Nieuwenhuis.
J_Segura,5933,J Eickhoff,1266,2016-06-28,Jean Segura singled to center (Liner). Nick Ahmed advanced to 3B.
J_Segura,5933,T Roark,8753,2016-09-26,Jean Segura homered (Fliner (Fly)).
J_Segura,5933,C Friedrich,7942,2016-07-05,Jean Segura tripled to left (Fly).
J_Segura,5933,A Morgan,1258,2016-06-17,Jean Segura reached on error to second (Grounder). Nick Ahmed scored on error. Robbie Ray advanced to 3B on error. Error by Cesar Hernandez.
J_Segura,5933,M Melancon,4264,2016-04-22,Jean Segura singled to first (Grounder). Rickie Weeks Jr. scored.
J_Segura,5933,S Kazmir,4897,2016-07-30,Jean Segura homered (Fly).
J_Segura,5933,J Teheran,6797,2016-08-24,Jean Segura homered (Fly).
J_Segura,5933,J Nelson,1054,2016-08-07,Jean Segura reached on error to pitcher (Grounder). Chris Owings scored on error. Archie Bradley advanced to 3B. Jean Segura advanced to 2B. Error by Jimmy Nelson.
J_Segura,5933,J de la Rosa,2047,2016-09-13,Jean Segura homered (Fly).
J_Segura,5933,M Scherzer,3137,2016-09-27,Jean Segura homered (Fly).
J_Segura,5933,A Suarez,6175,2016-07-09,Jean Segura reached on fielder's choice and error to second (Grounder). Phil Gosselin advanced to 2B on error. Error by Ramiro Pena.
J_Segura,5933,J Hoffman,1743,2016-09-14,Jean Segura homered (Fly).
J_Segura,5933,Y Gallardo,8173,2016-09-23,Jean Segura doubled to right (Fliner (Fly)). Brandon Drury scored.
J_Segura,5933,J Lackey,1507,2016-04-07,Jean Segura homered (Fly).
J_Segura,5933,K Maeda,1849,2016-06-14,Jean Segura singled to pitcher (Grounder). Michael Bourn scored on error. Jean Segura out. Error by Kenta Maeda.
J_Segura,5933,S Kazmir,4897,2016-07-30,Jean Segura doubled to left (Fliner (Liner)). Chris Owings scored.
J_Segura,5933,D Price,3184,2016-08-12,Jean Segura tripled to right (Fly).
J_Segura,5933,J de la Rosa,2047,2016-09-13,Jean Segura homered (Fly).
J_Segura,5933,K Quackenbush,1236,2016-08-19,Jean Segura singled to shortstop (Fly). Phil Gosselin advanced to 2B.
J_Segura,5933,R Stripling,1327,2016-09-18,Jean Segura singled to right (Fliner (Liner)). Yasmany Tomas advanced to 3B.
J_Segura,5933,C Estevez,1454,2016-06-24,Jean Segura doubled to left (Liner).
J_Segura,5933,D Bundy,1291,2016-09-25,Jean Segura doubled to left (Grounder).
J_Segura,5933,J Cueto,6893,2016-08-30,Jean Segura singled to right (Fliner (Liner)). Chris Owings scored. Zack Greinke advanced to 2B.
J_Segura,5933,L Perdomo,1468,2016-07-04,Jean Segura singled to left (Grounder).
J_Segura,5933,A Sanchez,1149,2016-07-19,Jean Segura singled to third (Grounder). Zack Godley advanced to 2B.
J_Segura,5933,C Torres,7624,2016-08-05,Jean Segura reached on dropped third strike (wp).
J_Segura,5933,C Bettis,1058,2016-06-26,Jean Segura singled to center (Liner). Brandon Drury scored.
J_Segura,5933,B Colon,375&,2016-08-10,Jean Segura doubled to right (Fliner (Liner)).
J_Segura,5933,P Clemens,8037,2016-08-18,Jean Segura doubled to center (Fliner (Fly)).
J_Segura,5933,C Rusin,9895,2016-05-10,Jean Segura singled to right (Grounder). Nick Ahmed scored.
J_Segura,5933,J Hellickson,4371,2016-06-20,Jean Segura doubled to left (Fliner (Liner)).
J_Segura,5933,B Morrow,9346,2016-08-19,Jean Segura singled to left (Fliner (Liner)).
J_Segura,5933,J Hammel,4538,2016-04-08,Jean Segura singled to right (Grounder).
J_Segura,5933,J Hammel,4538,2016-04-08,Jean Segura doubled to center (Fliner (Fly)).
J_Segura,5933,J Cueto,6893,2016-07-01,Jean Segura doubled to center (Fliner (Fly)).
J_Segura,5933,R Porcello,2717,2016-08-14,Jean Segura singled to left (Fliner (Fly)). Jean Segura advanced to 2B on error. Error by Andrew Benintendi.
J_Segura,5933,J Peavy,1051,2016-07-09,Jean Segura singled to center (Fliner (Liner)).
J_Segura,5933,J Lyles,7593,2016-09-02,Jean Segura singled to right (Liner).
J_Segura,5933,D Straily,9460,2016-07-22,Jean Segura singled to center (Grounder).
J_Segura,5933,C Bettis,1058,2016-05-11,Jean Segura doubled to right (Liner).
J_Segura,5933,C Villanueva,4138,2016-07-05,Jean Segura singled to left (Grounder). Jake Lamb scored.
J_Segura,5933,M Foltynewicz,1081,2016-08-22,Jean Segura doubled to left (Grounder).
J_Segura,5933,J Samardzija,3254,2016-05-13,Jean Segura singled to center (Liner). Shelby Miller scored.
J_Segura,5933,G Gonzalez,7448,2016-09-28,Chris Owings advanced on double steal to 2B.
J_Segura,5933,R Stripling,1327,2016-07-31,"Jean Segura advanced on a stolen base to 2B, advanced to 3B on error. Error by Yasmani Grandal."
J_Segura,5933,M Foltynewicz,1081,2016-08-22,Jean Segura singled to right (Grounder).
J_Segura,5933,B Stewart,1672,2016-09-07,Jean Segura reached on error to first (Grounder). Error by Rob Segedin.
J_Segura,5933,C Richard,3551,2016-10-01,Chris Owings advanced on double steal to 2B.
J_Segura,5933,R Buchter,9456,2016-09-20,Jean Segura walked.
J_Segura,5933,D Straily,9460,2016-07-22,Jean Segura was hit by a pitch.
J_Segura,5933,J Teheran,6797,2016-05-07,Jean Segura singled to right (Liner). Shelby Miller advanced to 2B.
J_Segura,5933,M Fiers,7754,2016-06-01,Jean Segura singled to left (Grounder). Brandon Drury advanced to 2B.
J_Segura,5933,V Velasquez,1118,2016-06-27,Jean Segura singled to right (Fliner (Liner)).
J_Segura,5933,J Nelson,1054,2016-07-27,Jean Segura singled to right (Fliner (Liner)). Archie Bradley scored. Jean Segura advanced to 2B on error. Error by Kirk Nieuwenhuis.
J_Segura,5933,P Clemens,8037,2016-08-18,Jean Segura advanced on a wild pitch to score. Paul Goldschmidt
J_Segura,5933,J Garcia,8137,2016-04-25,Jean Segura singled to shortstop (Liner).
J_Segura,5933,C Rusin,9895,2016-05-10,Jean Segura singled to left (Fliner (Liner)).
J_Segura,5933,L Gregerson,4090,2016-06-01,Jean Segura was hit by a pitch.
