playername,playerid,vsname,vsid,date,Play
J_Smith,3281,T White,1556,2016-05-29,Tyler White struck out swinging.
J_Smith,3281,B Buxton,1416,2016-04-17,Byron Buxton reached on fielder's choice to shortstop (Grounder). Eduardo Nunez out at third. Joe Mauer advanced to 2B.
J_Smith,3281,T Saladino,1080,2016-04-21,Tyler Saladino was caught stealing.
J_Smith,3281,S Smith,7331,2016-04-23,Seth Smith grounded out to pitcher (Grounder).
J_Smith,3281,H Kim,1871,2016-07-09,Hyun Soo Kim struck out swinging.
J_Smith,3281,N Mazara,1455,2016-05-23,Nomar Mazara flied out to center (Fliner (Fly)).
J_Smith,3281,K Kiermaier,1103,2016-05-07,Kevin Kiermaier reached on fielder's choice to shortstop (Grounder). Logan Morrison advanced to 3B. Desmond Jennings out at second.
J_Smith,3281,J Gallo,1412,2016-05-23,Joey Gallo flied out to right (Fliner (Liner)).
J_Smith,3281,M Trumbo,6876,2016-07-09,Mark Trumbo flied out to center (Fliner (Fly)).
J_Smith,3281,A Beltre,639&,2016-04-07,Adrian Beltre fouled out to third (Fly).
J_Smith,3281,A Beltre,639&,2016-05-01,Adrian Beltre hit a sacrifice fly to center (Fly). Rougned Odor scored.
J_Smith,3281,N Aoki,1307,2016-04-23,Nori Aoki grounded out to shortstop (Grounder).
J_Smith,3281,X Bogaerts,1216,2016-07-01,Xander Bogaerts grounded into a double play to third (Grounder). Dustin Pedroia out at second.
J_Smith,3281,A Jones,6368,2016-05-21,Adam Jones grounded out to shortstop (Grounder).
J_Smith,3281,J Cueto,6893,2016-09-04,Johnny Cueto struck out swinging.
J_Smith,3281,D DeShields,1137,2016-04-07,Delino DeShields struck out swinging.
J_Smith,3281,N Cruz,2434,2016-05-13,Nelson Cruz struck out looking.
J_Smith,3281,S Piscotty,1336,2016-08-11,Stephen Piscotty doubled to left (Fliner (Liner)). Matt Carpenter out at home. Stephen Piscotty advanced to 2B.
J_Smith,3281,A Duvall,1095,2016-09-30,Adam Duvall grounded out to third (Grounder).
J_Smith,3281,A Pagan,2918,2016-09-01,Angel Pagan flied out to shortstop (Fly).
J_Smith,3281,F Gutierrez,3255,2016-05-13,Franklin Gutierrez reached on fielder's choice to shortstop (Grounder). Kyle Seager out at second.
J_Smith,3281,C Gillaspie,9009,2016-09-04,Conor Gillaspie struck out looking.
J_Smith,3281,N Mazara,1455,2016-04-10,Nomar Mazara grounded out to second (Grounder).
J_Smith,3281,N Cruz,2434,2016-04-22,Nelson Cruz lined out to third (Liner).
J_Smith,3281,P Fielder,4613,2016-05-01,Prince Fielder grounded out to first (Grounder). Nomar Mazara advanced to 2B.
J_Smith,3281,A McCutchen,9847,2016-06-04,Andrew McCutchen was caught stealing.
J_Smith,3281,R Braun,3410,2016-09-15,Ryan Braun picked off.
J_Smith,3281,E Suarez,1255,2016-09-30,Eugenio Suarez struck out swinging.
J_Smith,3281,S Smith,7331,2016-05-14,Seth Smith grounded out to first (Grounder).
J_Smith,3281,E Longoria,9368,2016-07-07,Evan Longoria struck out swinging.
J_Smith,3281,E Nunez,6848,2016-09-01,Eduardo Nunez grounded out to shortstop (Grounder).
J_Smith,3281,K Broxton,9253,2016-09-15,Keon Broxton struck out swinging.
J_Smith,3281,K Seager,9785,2016-04-22,Kyle Seager fouled out to third (Fly).
J_Smith,3281,P Fielder,4613,2016-04-10,Prince Fielder flied out to left (Fly).
J_Smith,3281,S Piscotty,1336,2016-09-13,Stephen Piscotty picked off.
J_Smith,3281,M Moreland,3086,2016-07-19,Mitch Moreland flied out to center (Fliner (Liner)).
J_Smith,3281,I Desmond,6885,2016-05-01,Ian Desmond struck out swinging.
J_Smith,3281,B Belt,1026,2016-09-01,Brandon Belt struck out swinging.
J_Smith,3281,K Marte,1361,2016-05-13,Ketel Marte flied out to left (Fly).
J_Smith,3281,K Davis,9112,2016-04-11,Khris Davis grounded out to second (Grounder). Jed Lowrie advanced to 2B.
J_Smith,3281,H Perez,5751,2016-08-16,Hernan Perez reached on fielder's choice to third (Grounder). Chris Carter out at second.
J_Smith,3281,H Perez,5751,2016-09-07,Hernan Perez was caught stealing.
J_Smith,3281,D Pedroia,8370,2016-07-28,Dustin Pedroia grounded out to second (Grounder).
J_Smith,3281,J Murphy,1034,2016-04-17,JR Murphy sacrificed to first (Bunt Grounder). Eddie Rosario advanced to 2B.
J_Smith,3281,Y Alonso,2530,2016-04-11,Yonder Alonso flied out to center (Fliner (Fly)).
J_Smith,3281,H Ramirez,8001,2016-07-30,Hanley Ramirez struck out looking.
J_Smith,3281,I Desmond,6885,2016-07-20,Ian Desmond flied out to first (Fly).
J_Smith,3281,J Parker,1162,2016-09-01,Jarrett Parker struck out swinging.
J_Smith,3281,M Prado,3312,2016-08-03,Martin Prado flied out to left (Fly).
J_Smith,3281,J Lowrie,4418,2016-04-13,Jed Lowrie flied out to center (Fly).
J_Smith,3281,X Bogaerts,1216,2016-07-28,Xander Bogaerts grounded out to shortstop (Grounder).
J_Smith,3281,M Carpenter,8090,2016-09-13,Matt Carpenter flied out to right (Fliner (Fly)).
J_Smith,3281,C Crawford,1201,2016-05-19,Carl Crawford flied out to left (Fliner (Liner)).
J_Smith,3281,R Flores,1116,2016-05-04,Ramon Flores struck out looking.
J_Smith,3281,A Beltre,639&,2016-07-20,Adrian Beltre grounded out to second (Grounder).
J_Smith,3281,A Hill,6104,2016-07-30,Aaron Hill grounded out to third (Grounder).
J_Smith,3281,J Villar,1007,2016-05-04,Jonathan Villar flied out to right (Fly).
J_Smith,3281,R Braun,3410,2016-05-04,Ryan Braun reached on fielder's choice to shortstop (Grounder). Alex Presley out at second.
J_Smith,3281,E Rosario,1215,2016-04-16,Eddie Rosario flied out to right (Fliner (Fly)).
J_Smith,3281,P Orlando,8628,2016-07-26,Paulo Orlando grounded out to shortstop (Grounder).
J_Smith,3281,Y Alonso,2530,2016-08-05,Yonder Alonso grounded out to second (Grounder).
J_Smith,3281,R Rua,1240,2016-07-20,Ryan Rua flied out to first (Fly).
J_Smith,3281,P Alvarez,2495,2016-05-21,Pedro Alvarez grounded out to pitcher (Grounder).
J_Smith,3281,X Bogaerts,1216,2016-07-03,Xander Bogaerts grounded out to shortstop (Grounder).
J_Smith,3281,R Grichuk,1024,2016-05-11,Randal Grichuk grounded out to second (Grounder).
J_Smith,3281,B Eibner,1136,2016-07-26,Brett Eibner flied out to center (Fliner (Liner)).
J_Smith,3281,K Wong,1253,2016-05-11,Kolten Wong grounded out to second (Grounder).
J_Smith,3281,A Diaz,1593,2016-05-11,Aledmys Diaz struck out swinging.
J_Smith,3281,O Infante,1609,2016-04-25,Omar Infante flied out to center (Fliner (Fly)).
J_Smith,3281,B Zobrist,7435,2016-04-05,Ben Zobrist fouled out to left (Fliner (Fly)).
J_Smith,3281,J Soler,1422,2016-04-05,Jorge Soler grounded out to shortstop (Grounder).
J_Smith,3281,J Hazelbaker,9399,2016-08-13,Jeremy Hazelbaker flied out to third (Fly).
J_Smith,3281,M Cabrera,4022,2016-07-17,Melky Cabrera struck out swinging.
J_Smith,3281,B Moss,4467,2016-08-12,Brandon Moss struck out swinging.
J_Smith,3281,G Garcia,1095,2016-08-12,Greg Garcia flied out to shortstop (Fly).
J_Smith,3281,A Rosario,7125,2016-08-12,Alberto Rosario flied out to center (Fliner (Liner)).
J_Smith,3281,J Gyorko,1081,2016-08-12,Jedd Gyorko homered (Fliner (Fly)).
J_Smith,3281,T Frazier,785&,2016-07-17,Todd Frazier singled to right (Grounder).
J_Smith,3281,B Butler,7399,2016-08-05,Billy Butler walked.
J_Smith,3281,M Ozuna,1032,2016-08-03,Marcell Ozuna singled to center (Fliner (Liner)).
J_Smith,3281,M Rojas,7802,2016-08-03,Miguel Rojas singled to shortstop (Grounder). Marcell Ozuna advanced to 2B.
J_Smith,3281,S Marte,9241,2016-06-04,Starling Marte walked.
J_Smith,3281,D DeShields,1137,2016-05-01,Rougned Odor advanced on a passed ball to 2B. Passed ball by Geovany Soto.
J_Smith,3281,E Nunez,6848,2016-04-17,Eduardo Nunez was hit by a pitch.
J_Smith,3281,D DeShields,1137,2016-05-01,Delino DeShields singled to center (Fliner (Liner)).
J_Smith,3281,R Grichuk,1024,2016-09-13,Randal Grichuk walked.
J_Smith,3281,R Braun,3410,2016-09-07,Ryan Braun singled to center (Liner).
J_Smith,3281,A Jones,6368,2016-07-09,Adam Jones walked.
J_Smith,3281,C Carter,9911,2016-08-16,Chris Carter walked.
J_Smith,3281,N Aoki,1307,2016-05-13,Nori Aoki walked.
J_Smith,3281,R Rua,1240,2016-07-19,Ryan Rua singled to center (Grounder).
J_Smith,3281,S Leon,5273,2016-07-03,Sandy Leon singled to shortstop (Grounder). Jackie Bradley Jr. scored. Brock Holt advanced to 2B.
J_Smith,3281,E Adrianza,8418,2016-09-04,Ehire Adrianza was hit by a pitch. Brandon Belt advanced to 2B.
J_Smith,3281,R Odor,1228,2016-05-01,Rougned Odor singled to right (Grounder). Delino DeShields advanced to 2B.
J_Smith,3281,D Pedroia,8370,2016-07-03,Dustin Pedroia singled to left (Liner). Brock Holt scored. Sandy Leon scored. Marco Hernandez advanced to 3B. Dustin Pedroia out.
J_Smith,3281,L Morrison,9205,2016-05-07,Logan Morrison walked.
J_Smith,3281,R Cano,3269,2016-04-23,Robinson Cano was hit by a pitch.
J_Smith,3281,C Casali,1251,2016-05-07,Curt Casali walked. Kevin Kiermaier advanced to 2B.
J_Smith,3281,C Davis,9272,2016-05-21,Chris Davis singled to center (Grounder).
J_Smith,3281,C Dickerson,1076,2016-07-05,Corey Dickerson singled to center (Grounder). Brandon Guyer advanced to 3B.
J_Smith,3281,A Escobar,6310,2016-04-27,Alcides Escobar singled to right (Liner).
J_Smith,3281,R Cano,3269,2016-05-13,Robinson Cano doubled to center (Fliner (Fly)). Nori Aoki advanced to 3B.
J_Smith,3281,N Mazara,1455,2016-05-01,Nomar Mazara singled to right (Liner). Delino DeShields scored. Rougned Odor advanced to 3B.
J_Smith,3281,M Trumbo,6876,2016-05-21,Mark Trumbo walked. Chris Davis advanced to 2B.
J_Smith,3281,M Holliday,1873,2016-08-11,Matt Holliday walked.
J_Smith,3281,C Yelich,1147,2016-08-03,Christian Yelich homered (Fliner (Liner)).
J_Smith,3281,B Park,1849,2016-04-16,Byung-ho Park homered (Fly).
J_Smith,3281,S Souza Jr.,5667,2016-05-07,Steven Souza Jr. advanced on error to 2B. Error by Andrelton Simmons.
J_Smith,3281,E Andrus,8709,2016-05-23,Elvis Andrus walked.
J_Smith,3281,R Grichuk,1024,2016-08-13,Randal Grichuk homered (Fliner (Fly)). Brandon Moss scored. Jhonny Peralta scored. Jedd Gyorko scored.
J_Smith,3281,C Davis,9272,2016-07-09,Chris Davis singled to right (Grounder). Manny Machado advanced to 3B.
J_Smith,3281,T Plouffe,7462,2016-04-17,Trevor Plouffe singled to right (Liner). Byron Buxton advanced to 3B.
J_Smith,3281,O Arcia,1030,2016-04-16,Oswaldo Arcia homered (Fliner (Fly)).
J_Smith,3281,M Wieters,4298,2016-05-21,Matt Wieters homered (Fly). Chris Davis scored. Nolan Reimold scored.
