playername,playerid,vsname,vsid,date,Play
J_Soler,1422,T Watson,3132,2016-08-29,Jorge Soler homered (Fly).
J_Soler,1422,E Escobar,1033,2016-06-04,Jorge Soler hit a ground rule double (Fliner (Fly)). Anthony Rizzo scored. Ben Zobrist advanced to 3B.
J_Soler,1422,S Miller,1019,2016-04-10,Jorge Soler homered (Fly).
J_Soler,1422,A Morgan,1258,2016-05-27,Jorge Soler homered (Fly).
J_Soler,1422,S Brault,1529,2016-08-29,Jorge Soler doubled to left (Fly). Kris Bryant scored. Anthony Rizzo advanced to 3B.
J_Soler,1422,M Leake,1013,2016-04-18,Jorge Soler reached on fielder's choice and error to shortstop (Grounder). Kris Bryant scored on error. Miguel Montero advanced to 3B on error. Jorge Soler advanced to 2B. Error by Aledmys Diaz.
J_Soler,1422,C Bergman,1092,2016-04-16,Jorge Soler homered (Fly).
J_Soler,1422,A Morgan,1258,2016-05-27,Jorge Soler singled to left (Grounder). Ben Zobrist scored.
J_Soler,1422,M Wacha,1407,2016-05-24,Jorge Soler walked. Kris Bryant scored. Anthony Rizzo advanced to 3B. Ben Zobrist advanced to 2B.
J_Soler,1422,R Stephenson,1359,2016-10-02,Jorge Soler walked. Jason Heyward advanced to 2B.
J_Soler,1422,J Nelson,1054,2016-05-18,Jorge Soler advanced on a wild pitch to 3B.
J_Soler,1422,P Clemens,8037,2016-08-24,Jorge Soler doubled to right (Fliner (Fly)).
J_Soler,1422,J Weaver,4235,2016-08-09,Jorge Soler singled to left (Liner). Ben Zobrist advanced to 3B.
J_Soler,1422,A Reyes,1501,2016-09-13,Ben Zobrist advanced on a wild pitch to 2B.
J_Soler,1422,C Bettis,1058,2016-04-15,Jorge Soler walked.
J_Soler,1422,A Wainwright,2233,2016-08-12,Jorge Soler singled to center (Fliner (Liner)). Kris Bryant scored.
J_Soler,1422,A Morgan,1258,2016-06-06,Jorge Soler singled to shortstop (Grounder). Kris Bryant advanced to 3B. Anthony Rizzo advanced to 2B.
J_Soler,1422,J Weaver,4235,2016-08-09,Jorge Soler singled to first (Grounder). Anthony Rizzo scored on error. Ben Zobrist advanced to 3B on error. Jorge Soler Error by Jered Weaver.
J_Soler,1422,J Urias,1476,2016-08-27,Jorge Soler walked.
J_Soler,1422,J Peavy,1051,2016-05-20,Jorge Soler singled to center (Fliner (Liner)).
J_Soler,1422,J Marinez,5830,2016-08-16,Jorge Soler walked.
J_Soler,1422,J Niese,4424,2016-05-03,Jorge Soler singled to left (Fliner (Liner)). Tim Federowicz scored. Dexter Fowler advanced to 2B.
J_Soler,1422,J Marinez,5830,2016-08-16,Jorge Soler walked.
J_Soler,1422,Z Davies,1318,2016-09-05,Jorge Soler walked.
J_Soler,1422,C McHugh,7531,2016-09-10,Jorge Soler walked.
J_Soler,1422,A Reyes,1501,2016-09-13,Jorge Soler walked.
J_Soler,1422,A Wainwright,2233,2016-05-23,Jorge Soler was hit by a pitch.
J_Soler,1422,M Bumgarner,5524,2016-05-22,Jorge Soler walked. Ben Zobrist advanced to 2B.
J_Soler,1422,A Morgan,1258,2016-06-06,Jorge Soler singled to left (Fliner (Liner)).
