playername,playerid,vsname,vsid,date,Play
J_Soria,6941,J Abreu,1567,2016-05-21,Jose Abreu grounded into a double play to shortstop (Grounder). Dioner Navarro scored. Tyler Saladino advanced to 3B. Adam Eaton out at second.
J_Soria,6941,J Kipnis,9776,2016-06-14,Jason Kipnis flied out to third (Fly).
J_Soria,6941,C Gomez,4881,2016-04-12,Carlos Gomez grounded out to second (Grounder).
J_Soria,6941,K Davis,9112,2016-04-15,Khris Davis flied out to right (Fly).
J_Soria,6941,J Morneau,1737,2016-08-10,Justin Morneau grounded out to pitcher (Grounder).
J_Soria,6941,T Frazier,785&,2016-05-20,Todd Frazier lined out to shortstop (Liner). Adam Eaton out at third.
J_Soria,6941,T Beckham,7949,2016-08-02,Tim Beckham struck out swinging.
J_Soria,6941,T Austin,1185,2016-08-30,Tyler Austin struck out swinging.
J_Soria,6941,R Andino,4900,2016-08-23,Robert Andino flied out to center (Fliner (Liner)).
J_Soria,6941,R Martin,4616,2016-08-05,Russell Martin struck out swinging.
J_Soria,6941,K Johnson,2234,2016-05-15,Kelly Johnson reached on fielder's choice to shortstop (Grounder). Chase d'Arnaud out at third.
J_Soria,6941,T Frazier,785&,2016-05-21,Todd Frazier grounded out to third (Grounder).
J_Soria,6941,D Gordon,8203,2016-08-25,Dee Gordon grounded out to pitcher (Grounder).
J_Soria,6941,M Smith,1360,2016-05-15,Mallex Smith fouled out to catcher (Bunt Fly).
J_Soria,6941,Y Gomes,9627,2016-06-14,Yan Gomes grounded out to shortstop (Grounder).
J_Soria,6941,R Davis,3708,2016-09-20,Rajai Davis grounded out to pitcher (Grounder). Coco Crisp advanced to 3B. Abraham Almonte advanced to 2B.
J_Soria,6941,R Cano,3269,2016-05-01,Robinson Cano flied out to center (Fly).
J_Soria,6941,J Martinez,6184,2016-09-04,J.D. Martinez flied out to left (Fly).
J_Soria,6941,E Encarnacion,2151,2016-08-05,Edwin Encarnacion struck out looking.
J_Soria,6941,E Longoria,9368,2016-06-01,Evan Longoria struck out swinging.
J_Soria,6941,I Kinsler,6195,2016-08-15,Ian Kinsler flied out to right (Fly).
J_Soria,6941,G Springer,1285,2016-04-12,George Springer flied out to right (Fly).
J_Soria,6941,J Reddick,3892,2016-04-15,Josh Reddick grounded out to second (Grounder).
J_Soria,6941,M Saunders,9981,2016-08-05,Michael Saunders lined out to shortstop (Liner).
J_Soria,6941,J Profar,1081,2016-07-30,Jurickson Profar flied out to first (Fliner (Fly)).
J_Soria,6941,M Adams,9393,2016-06-29,Matt Adams grounded out to pitcher (Grounder).
J_Soria,6941,T Naquin,1335,2016-06-14,Tyler Naquin struck out swinging.
J_Soria,6941,J Upton,5222,2016-06-16,Justin Upton struck out looking.
J_Soria,6941,M Kepler,1214,2016-09-28,Max Kepler struck out swinging.
J_Soria,6941,T Plouffe,7462,2016-04-08,Trevor Plouffe struck out swinging.
J_Soria,6941,N Walker,7539,2016-04-03,Neil Walker reached on fielder's choice to second (Grounder). Yoenis Cespedes scored. Lucas Duda out at second.
J_Soria,6941,J Gallo,1412,2016-07-30,Joey Gallo struck out swinging.
J_Soria,6941,M Cabrera,4022,2016-05-21,Melky Cabrera grounded out to shortstop (Grounder).
J_Soria,6941,L Chisenhall,7571,2016-06-14,Lonnie Chisenhall reached on fielder's choice to third (Grounder). Francisco Lindor out at third. Mike Napoli advanced to 2B.
J_Soria,6941,E Andrus,8709,2016-07-23,Elvis Andrus was forced out.
J_Soria,6941,C Correa,1416,2016-04-12,Carlos Correa struck out swinging.
J_Soria,6941,L Valbuena,4969,2016-04-13,Luis Valbuena struck out swinging.
J_Soria,6941,J Ramirez,1351,2016-06-14,Jose Ramirez struck out swinging.
J_Soria,6941,J Martinez,6184,2016-09-03,J.D. Martinez struck out swinging.
J_Soria,6941,Y Molina,7007,2016-06-29,Yadier Molina grounded out to third (Grounder).
J_Soria,6941,C Yelich,1147,2016-08-23,Christian Yelich grounded out to shortstop (Grounder). Martin Prado advanced to 2B.
J_Soria,6941,V Martinez,393&,2016-06-19,Victor Martinez grounded out to second (Liner).
J_Soria,6941,E Rosario,1215,2016-09-06,Eddie Rosario grounded out to shortstop (Grounder).
J_Soria,6941,V Martinez,393&,2016-06-16,Victor Martinez grounded out to first (Grounder).
J_Soria,6941,E Rosario,1215,2016-08-19,Eddie Rosario lined out to second (Liner).
J_Soria,6941,J Iglesias,1023,2016-09-03,Jose Iglesias fouled out to catcher (Fliner (Fly)).
J_Soria,6941,J Kipnis,9776,2016-06-02,Jason Kipnis sacrificed to third (Bunt Grounder). Michael Martinez advanced to 3B.
J_Soria,6941,W Flores,5827,2016-06-22,Wilmer Flores out on a dropped third strike.
J_Soria,6941,B Guyer,2636,2016-05-30,Brandon Guyer struck out swinging.
J_Soria,6941,D Gregorius,6012,2016-05-10,Didi Gregorius flied out to center (Fliner (Fly)).
J_Soria,6941,J Saltalamacchia,5557,2016-09-25,Jarrod Saltalamacchia struck out swinging.
J_Soria,6941,A Garcia,5760,2016-09-10,Avisail Garcia struck out swinging.
J_Soria,6941,B Buxton,1416,2016-09-06,Byron Buxton struck out swinging.
J_Soria,6941,T Saladino,1080,2016-05-20,Tyler Saladino struck out swinging.
J_Soria,6941,E Escobar,6153,2016-08-21,Eduardo Escobar flied out to center (Fliner (Liner)).
J_Soria,6941,J Centeno,7168,2016-08-19,Juan Centeno struck out swinging.
J_Soria,6941,J Loney,4556,2016-06-22,James Loney flied out to center (Fliner (Fly)).
