playername,playerid,vsname,vsid,date,Play
J_Thole,9689,S Gray,1276,2016-07-16,Josh Thole doubled to right (Fliner (Liner)). Troy Tulowitzki scored. Darwin Barney scored.
J_Thole,9689,D Smyly,1176,2016-04-04,Josh Thole homered (Fliner (Fly)).
J_Thole,9689,M Givens,1043,2016-06-18,Josh Thole singled to center (Liner).
J_Thole,9689,W Miley,8779,2016-07-24,Josh Thole doubled to right (Fliner (Fly)).
J_Thole,9689,S Doolittle,1581,2016-04-22,Josh Thole walked. Justin Smoak advanced to 2B.
J_Thole,9689,N Eovaldi,9132,2016-05-24,Josh Thole walked.
J_Thole,9689,J Zimmermann,4505,2016-06-08,Josh Thole walked.
J_Thole,9689,E Santana,3200,2016-08-27,Josh Thole singled to right (Fliner (Liner)).
J_Thole,9689,M Gonzalez,7024,2016-06-25,Josh Thole walked. Ryan Goins advanced to 2B.
J_Thole,9689,J Weaver,4235,2016-09-16,Josh Thole singled to center (Fliner (Liner)).
J_Thole,9689,T Anderson,1288,2016-06-29,Josh Thole singled to center (Liner).
J_Thole,9689,S Gray,1276,2016-07-16,Josh Thole singled to right (Liner).
J_Thole,9689,M Gonzalez,7024,2016-06-25,Josh Thole walked.
J_Thole,9689,H Iwakuma,1304,2016-07-23,Josh Thole hit a sacrifice fly to left (Fliner (Liner)). Kevin Pillar scored.
J_Thole,9689,M Gonzalez,7024,2016-04-25,Josh Thole singled to center (Liner).
J_Thole,9689,M Gonzalez,7024,2016-04-25,Josh Thole singled to right (Grounder).
J_Thole,9689,F Rodriguez,7558,2016-04-24,Josh Thole singled to center (Liner).
J_Thole,9689,R Webb,7474,2016-05-16,Josh Thole singled to center (Liner).
J_Thole,9689,C Young,3196,2016-08-07,Josh Thole singled to right (Grounder).
J_Thole,9689,B Hardy,6499,2016-06-06,Josh Thole grounded out to second (Grounder).
J_Thole,9689,W LeBlanc,5221,2016-07-23,Josh Thole flied out to center (Fly).
J_Thole,9689,W LeBlanc,5221,2016-07-23,Josh Thole grounded out to second (Grounder).
J_Thole,9689,P Moylan,4891,2016-07-05,Josh Thole lined out to first (Liner). Devon Travis out at second.
J_Thole,9689,A Sanchez,3284,2016-06-08,Josh Thole struck out swinging.
J_Thole,9689,A Wimmers,1139,2016-08-28,Josh Thole grounded out to shortstop (Grounder).
J_Thole,9689,B Pounders,1038,2016-07-05,Josh Thole struck out swinging.
J_Thole,9689,N Ramirez,1280,2016-06-03,Josh Thole struck out swinging.
J_Thole,9689,D Molleken,6200,2016-07-10,Josh Thole struck out swinging.
J_Thole,9689,M Rzepczynski,6612,2016-04-24,Josh Thole flied out to left (Fly).
J_Thole,9689,M Gonzalez,7024,2016-06-25,Josh Thole flied out to right (Fliner (Fly)).
J_Thole,9689,C Estevez,1454,2016-06-29,Josh Thole grounded out to second (Grounder).
J_Thole,9689,E Santana,3200,2016-08-27,Josh Thole lined out to second (Liner).
J_Thole,9689,D Price,3184,2016-06-03,Josh Thole struck out looking.
J_Thole,9689,J Musgrove,1297,2016-08-02,Josh Thole out on a dropped third strike.
J_Thole,9689,D Hernandez,4259,2016-06-13,Josh Thole struck out looking.
J_Thole,9689,C Carrasco,6632,2016-06-30,Josh Thole struck out swinging.
J_Thole,9689,W Miley,8779,2016-07-24,Josh Thole flied out to third (Fly).
J_Thole,9689,K Yates,9073,2016-05-24,Josh Thole flied out to left (Fliner (Fly)).
J_Thole,9689,J Odorizzi,6397,2016-05-18,Josh Thole grounded out to first (Grounder). Ryan Goins advanced to 2B.
J_Thole,9689,Y Ventura,1185,2016-08-07,Josh Thole grounded out to shortstop (Grounder).
J_Thole,9689,R Porcello,2717,2016-04-15,Josh Thole struck out swinging.
J_Thole,9689,J Paxton,1182,2016-07-22,Josh Thole grounded out to third (Grounder).
J_Thole,9689,A Griffin,1113,2016-05-02,Josh Thole grounded out to pitcher (Grounder). Kevin Pillar advanced to 3B.
J_Thole,9689,C Sale,1060,2016-04-26,Josh Thole flied out to left (Fliner (Fly)).
J_Thole,9689,Y Gallardo,8173,2016-06-18,Josh Thole flied out to right (Fly).
J_Thole,9689,E Surkamp,2540,2016-04-24,Josh Thole grounded out to second (Grounder).
J_Thole,9689,D Smyly,1176,2016-04-04,Josh Thole flied out to shortstop (Fliner (Fly)).
J_Thole,9689,C Archer,6345,2016-04-30,Josh Thole struck out swinging.
J_Thole,9689,C Kershaw,2036,2016-05-07,Josh Thole struck out swinging.
J_Thole,9689,Y Gallardo,8173,2016-06-18,Josh Thole flied out to right (Fliner (Fly)).
J_Thole,9689,M Perez,6902,2016-05-13,Josh Thole flied out to center (Fliner (Fly)).
J_Thole,9689,K Gibson,1012,2016-08-28,Josh Thole grounded out to pitcher (Grounder).
J_Thole,9689,J Eickhoff,1266,2016-06-13,Josh Thole flied out to center (Fly).
J_Thole,9689,E Santana,3200,2016-08-27,Josh Thole grounded out to first (Grounder). Melvin Upton Jr. advanced to 3B. Devon Travis advanced to 2B.
J_Thole,9689,K Gibson,1012,2016-08-28,Josh Thole grounded out to second (Grounder).
J_Thole,9689,J Odorizzi,6397,2016-05-18,Josh Thole struck out swinging.
J_Thole,9689,C Kershaw,2036,2016-05-07,Josh Thole struck out swinging.
J_Thole,9689,J Odorizzi,6397,2016-08-08,Josh Thole struck out swinging.
J_Thole,9689,D Price,3184,2016-05-29,Josh Thole sacrificed to first (Bunt Grounder). Ezequiel Carrera advanced to 2B.
J_Thole,9689,T Bauer,1270,2016-07-01,Josh Thole flied out to right (Fly).
J_Thole,9689,A Griffin,1113,2016-05-02,Josh Thole fouled out to shortstop (Fly).
J_Thole,9689,B Brach,6627,2016-04-20,Josh Thole singled to left (Fliner (Fly)). Ryan Goins out at home. Josh Thole
J_Thole,9689,C Sale,1060,2016-04-26,Josh Thole flied out to first (Bunt Fly).
J_Thole,9689,C Archer,6345,2016-04-30,Josh Thole grounded out to first (Grounder).
J_Thole,9689,M Albers,4300,2016-04-25,Josh Thole flied out to center (Fliner (Liner)).
J_Thole,9689,U Jimenez,3374,2016-04-20,Josh Thole struck out swinging.
J_Thole,9689,M Wright,1258,2016-06-11,Josh Thole grounded into a double play to second (Grounder). Ryan Goins out at second.
J_Thole,9689,T Anderson,1288,2016-06-29,Josh Thole lined out to shortstop (Liner).
J_Thole,9689,S Gray,1276,2016-07-16,Josh Thole grounded into a double play to first (Grounder). Darwin Barney out at second.
