playername,playerid,vsname,vsid,date,Play
J_Urias,1476,R Braun,3410,2016-06-17,Ryan Braun was caught stealing.
J_Urias,1476,I De Jesus,9886,2016-08-21,Ivan De Jesus grounded into a double play to second (Grounder). Eugenio Suarez out at second.
J_Urias,1476,R Zimmerman,4220,2016-06-22,Ryan Zimmerman was caught stealing.
J_Urias,1476,Y Solarte,5352,2016-09-29,Yangervis Solarte flied out to right (Fly).
J_Urias,1476,J Harrison,8202,2016-08-13,Josh Harrison flied out to left (Fly).
J_Urias,1476,G Blanco,3123,2016-06-12,Gregor Blanco flied out to left (Fly).
J_Urias,1476,D Wright,3787,2016-05-27,David Wright struck out swinging.
J_Urias,1476,J Baez,1297,2016-08-27,Javier Baez grounded into a double play to second (Grounder). Willson Contreras out at second.
J_Urias,1476,D Murphy,4316,2016-07-21,Daniel Murphy flied out to shortstop (Fliner (Fly)).
J_Urias,1476,A Russell,1410,2016-06-02,Addison Russell struck out swinging.
J_Urias,1476,J Soler,1422,2016-08-27,Jorge Soler struck out looking.
J_Urias,1476,M Duffy,1383,2016-06-12,Matt Duffy was caught stealing.
J_Urias,1476,C Carter,9911,2016-06-17,Chris Carter flied out to right (Fliner (Fly)).
J_Urias,1476,T Turner,1625,2016-07-21,Trea Turner struck out swinging.
J_Urias,1476,B Harper,1157,2016-06-22,Bryce Harper fouled out to third (Fly).
J_Urias,1476,C Gonzalez,7287,2016-06-07,Carlos Gonzalez struck out swinging.
J_Urias,1476,T Goeddel,1318,2016-08-08,Tyler Goeddel reached on fielder's choice to shortstop (Grounder). Odubel Herrera out at second.
J_Urias,1476,J Lucroy,7870,2016-06-17,Jonathan Lucroy struck out swinging.
J_Urias,1476,W Contreras,1160,2016-08-27,Willson Contreras reached on fielder's choice to shortstop (Grounder). Jorge Soler out at second.
J_Urias,1476,Z Davies,1318,2016-06-17,Zach Davies struck out swinging.
J_Urias,1476,A Duvall,1095,2016-08-21,Adam Duvall flied out to second (Fly).
J_Urias,1476,C Carter,9911,2016-06-28,Chris Carter struck out swinging.
J_Urias,1476,L Sardinas,1315,2016-09-29,Luis Sardinas struck out looking.
J_Urias,1476,G Polanco,1290,2016-08-13,Gregory Polanco struck out swinging.
J_Urias,1476,K Bryant,1542,2016-08-27,Kris Bryant flied out to left (Fliner (Fly)).
J_Urias,1476,C Friedrich,7942,2016-09-29,Christian Friedrich struck out swinging.
J_Urias,1476,K Broxton,9253,2016-06-17,Keon Broxton grounded out to second (Grounder). Hernan Perez advanced to 3B.
J_Urias,1476,A Rendon,1286,2016-07-21,Anthony Rendon struck out looking.
J_Urias,1476,C Gonzalez,7287,2016-06-07,Carlos Gonzalez struck out swinging.
J_Urias,1476,D Span,8347,2016-06-12,Denard Span struck out swinging.
J_Urias,1476,A Frazier,1522,2016-08-13,Adam Frazier struck out swinging.
J_Urias,1476,B Gardner,9927,2016-09-13,Brett Gardner flied out to left (Fliner (Liner)).
J_Urias,1476,Z Davies,1318,2016-06-17,Zach Davies grounded out to third (Grounder).
J_Urias,1476,R Raburn,2218,2016-06-07,Ryan Raburn struck out swinging.
J_Urias,1476,J Panik,1193,2016-06-12,Joe Panik struck out swinging.
J_Urias,1476,J Ross,1297,2016-06-22,Joe Ross fouled out to second (Fly).
J_Urias,1476,M Williamson,1415,2016-06-12,Mac Williamson grounded out to pitcher (Grounder). Matt Duffy advanced to 3B. Brandon Crawford advanced to 2B.
J_Urias,1476,C Carter,9911,2016-06-17,Chris Carter struck out swinging.
J_Urias,1476,H Perez,5751,2016-06-28,Hernan Perez grounded out to catcher (Grounder). Jonathan Lucroy advanced to 3B.
J_Urias,1476,Y Solarte,5352,2016-09-02,Yangervis Solarte struck out swinging.
