playername,playerid,vsname,vsid,date,Play
J_Valdez,1447,M Semien,1253,2016-09-05,Marcus Semien flied out to center (Fliner (Fly)).
J_Valdez,1447,R Healy,1544,2016-09-05,Ryon Healy fouled out to first (Fly).
J_Valdez,1447,F Gutierrez,3255,2016-08-18,Franklin Gutierrez flied out to center (Fliner (Fly)).
J_Valdez,1447,R Cano,3269,2016-08-18,Robinson Cano struck out swinging.
J_Valdez,1447,K Davis,9112,2016-09-05,Khris Davis struck out swinging.
J_Valdez,1447,C Pinder,1519,2016-09-05,Chad Pinder flied out to right (Fliner (Fly)).
J_Valdez,1447,C Santana,2396,2016-08-14,Carlos Santana struck out swinging.
J_Valdez,1447,J Bautista,1887,2016-09-18,Jose Bautista struck out looking.
J_Valdez,1447,N Cruz,2434,2016-08-06,Nelson Cruz flied out to right (Fly).
J_Valdez,1447,D Valencia,6364,2016-09-26,Danny Valencia struck out swinging.
J_Valdez,1447,A Lind,8027,2016-08-16,Adam Lind flied out to center (Fliner (Fly)).
J_Valdez,1447,E Encarnacion,2151,2016-09-15,Edwin Encarnacion struck out looking.
J_Valdez,1447,J Bautista,1887,2016-08-25,Jose Bautista grounded out to second (Grounder).
J_Valdez,1447,J Profar,1081,2016-09-10,Jurickson Profar flied out to center (Fly).
J_Valdez,1447,M Olson,1434,2016-09-28,Matt Olson grounded out to first (Grounder).
J_Valdez,1447,C Gomez,4881,2016-09-10,Carlos Gomez struck out swinging.
J_Valdez,1447,M Gonzalez,5497,2016-09-30,Marwin Gonzalez grounded into a double play to shortstop (Grounder). George Springer out at second.
J_Valdez,1447,J Iglesias,1023,2016-08-28,Jose Iglesias grounded out to second (Grounder).
J_Valdez,1447,M Cabrera,1744,2016-08-28,Miguel Cabrera grounded out to pitcher (Grounder).
J_Valdez,1447,E Encarnacion,2151,2016-08-25,Edwin Encarnacion flied out to center (Fliner (Liner)).
J_Valdez,1447,N Cruz,2434,2016-08-07,Nelson Cruz flied out to left (Fliner (Liner)).
J_Valdez,1447,K Pillar,1243,2016-08-24,Kevin Pillar flied out to left (Fliner (Fly)).
J_Valdez,1447,A Lind,8027,2016-08-07,Adam Lind struck out swinging.
J_Valdez,1447,K Pillar,1243,2016-09-15,Kevin Pillar reached on fielder's choice to third (Grounder). Michael Saunders out at second.
J_Valdez,1447,M Upton Jr.,5015,2016-08-24,Melvin Upton Jr. struck out looking.
J_Valdez,1447,T Tulowitzki,3531,2016-09-15,Troy Tulowitzki struck out looking.
J_Valdez,1447,B Gardner,9927,2016-08-20,Brett Gardner grounded out to first (Grounder).
J_Valdez,1447,J Marisnick,1133,2016-09-30,Jake Marisnick struck out swinging.
J_Valdez,1447,T Austin,1185,2016-08-20,Tyler Austin fouled out to first (Fly).
J_Valdez,1447,B McCann,4810,2016-08-20,Brian McCann grounded out to first (Grounder).
J_Valdez,1447,R Perez,2900,2016-08-12,Roberto Perez struck out swinging.
J_Valdez,1447,I De Jesus,9886,2016-08-29,Ivan De Jesus grounded out to catcher (Grounder).
J_Valdez,1447,B Gamel,1216,2016-09-03,Ben Gamel out on a dropped third strike.
J_Valdez,1447,M Martinez,7358,2016-08-11,Michael Martinez grounded out to second (Grounder).
J_Valdez,1447,A Duvall,1095,2016-08-29,Adam Duvall balked to 2B.
J_Valdez,1447,A Judge,1564,2016-08-20,Aaron Judge walked.
J_Valdez,1447,T Holt,1139,2016-08-29,Tyler Holt walked.
J_Valdez,1447,M Saunders,9981,2016-09-15,Michael Saunders walked.
J_Valdez,1447,M Saunders,9981,2016-08-24,Michael Saunders singled to second (Grounder).
J_Valdez,1447,K Marte,1361,2016-08-16,Ketel Marte walked.
J_Valdez,1447,J Bautista,1887,2016-09-15,Jose Bautista walked.
J_Valdez,1447,J Donaldson,5038,2016-09-15,Josh Donaldson advanced on a wild pitch to 2B.
J_Valdez,1447,J Marisnick,1133,2016-09-24,Jake Marisnick walked.
J_Valdez,1447,J Kipnis,9776,2016-08-14,Jason Kipnis walked. Abraham Almonte advanced to 3B. Roberto Perez advanced to 2B.
J_Valdez,1447,R Perez,2900,2016-08-14,Roberto Perez walked. Abraham Almonte advanced to 2B.
J_Valdez,1447,A Lind,8027,2016-08-06,Adam Lind walked.
J_Valdez,1447,B Butler,7399,2016-09-05,Billy Butler walked. Danny Valencia advanced to 2B.
J_Valdez,1447,B Maxwell,1386,2016-09-05,Bruce Maxwell III walked. Ryon Healy advanced to 3B. Jake Smolinski advanced to 2B.
J_Valdez,1447,N Mazara,1455,2016-09-10,Nomar Mazara tripled to left (Fly).
J_Valdez,1447,S Smith,7331,2016-08-06,Seth Smith walked. Adam Lind advanced to 3B. Kyle Seager advanced to 2B.
J_Valdez,1447,A Almonte,5486,2016-08-14,Abraham Almonte singled to center (Liner). Tyler Naquin scored.
J_Valdez,1447,N Cruz,2434,2016-09-14,Nelson Cruz homered (Fliner (Liner)).
