playername,playerid,vsname,vsid,date,Play
J_Vargas,8044,B Dozier,9810,2016-09-28,Brian Dozier flied out to center (Fly).
J_Vargas,8044,T Frazier,785&,2016-09-17,Todd Frazier flied out to shortstop (Fly).
J_Vargas,8044,E Escobar,6153,2016-09-28,Eduardo Escobar grounded out to third (Grounder).
J_Vargas,8044,M Napoli,3057,2016-09-22,Mike Napoli grounded out to shortstop (Grounder).
J_Vargas,8044,K Vargas,1210,2016-09-28,Kennys Vargas struck out swinging.
J_Vargas,8044,A Eaton,1120,2016-09-17,Adam Eaton flied out to right (Fly).
J_Vargas,8044,R Davis,3708,2016-09-22,Rajai Davis flied out to second (Fly).
J_Vargas,8044,J Coats,1428,2016-09-17,Jason Coats flied out to left (Fly).
J_Vargas,8044,J Ramirez,1351,2016-09-22,Jose Ramirez flied out to center (Fliner (Fly)).
J_Vargas,8044,A Eaton,1120,2016-09-17,Adam Eaton flied out to center (Fly).
J_Vargas,8044,R Davis,3708,2016-09-22,Rajai Davis struck out swinging.
J_Vargas,8044,R Grossman,5254,2016-09-28,Robbie Grossman grounded out to shortstop (Grounder).
J_Vargas,8044,B Buxton,1416,2016-09-28,Byron Buxton struck out swinging.
J_Vargas,8044,Y Sanchez,1160,2016-09-17,Carlos Sanchez struck out swinging.
J_Vargas,8044,C Crisp,1572,2016-09-22,Coco Crisp lined out to second (Liner).
J_Vargas,8044,J Ramirez,1351,2016-09-22,Jose Ramirez flied out to right (Fly).
J_Vargas,8044,B Dozier,9810,2016-09-28,Brian Dozier struck out swinging.
J_Vargas,8044,R Perez,2900,2016-09-22,Roberto Perez struck out looking.
J_Vargas,8044,F Lindor,1291,2016-09-22,Francisco Lindor advanced on a stolen base to 2B.
J_Vargas,8044,M Sano,1216,2016-09-28,Miguel Sano walked.
J_Vargas,8044,M Kepler,1214,2016-09-28,Max Kepler doubled to right (Liner).
J_Vargas,8044,T Anderson,1517,2016-09-17,Tim Anderson singled to left (Fliner (Liner)).
J_Vargas,8044,E Escobar,6153,2016-09-28,Eduardo Escobar singled to left (Grounder).
J_Vargas,8044,C Santana,2396,2016-09-22,Carlos Santana doubled to center (Fliner (Liner)). Francisco Lindor scored.
J_Vargas,8044,J Kipnis,9776,2016-09-22,Jason Kipnis homered (Fly).
