playername,playerid,vsname,vsid,date,Play
J_Verlander,8700,N Cruz,2434,2016-08-10,Nelson Cruz grounded into a double play to shortstop (Grounder). Seth Smith out at second.
J_Verlander,8700,P Tucker,1363,2016-07-30,Preston Tucker flied out to center (Fly).
J_Verlander,8700,C Gomez,4881,2016-04-16,Carlos Gomez grounded into a double play to third (Grounder). Preston Tucker out at second.
J_Verlander,8700,M Cabrera,4022,2016-09-05,Melky Cabrera struck out swinging.
J_Verlander,8700,T Naquin,1335,2016-09-17,Tyler Naquin struck out swinging.
J_Verlander,8700,T Shaw,1198,2016-07-25,Travis Shaw struck out swinging.
J_Verlander,8700,R Odor,1228,2016-05-08,Rougned Odor struck out swinging.
J_Verlander,8700,R Martin,4616,2016-07-07,Russell Martin struck out swinging.
J_Verlander,8700,J Smoak,9054,2016-07-07,Justin Smoak struck out swinging.
J_Verlander,8700,L Martin,1184,2016-06-21,Leonys Martin struck out swinging.
J_Verlander,8700,D DeShields,1137,2016-05-08,Delino DeShields struck out swinging.
J_Verlander,8700,J Ramirez,1351,2016-06-26,Jose Ramirez flied out to right (Fliner (Liner)).
J_Verlander,8700,C Coghlan,6878,2016-04-27,Chris Coghlan struck out swinging.
J_Verlander,8700,R Martin,4616,2016-07-07,Russell Martin struck out swinging.
J_Verlander,8700,J Reddick,3892,2016-04-27,Josh Reddick flied out to center (Fly).
J_Verlander,8700,K Johnson,2234,2016-08-05,Kelly Johnson struck out swinging.
J_Verlander,8700,J Abreu,1567,2016-06-05,Jose Abreu struck out swinging.
J_Verlander,8700,C Rasmus,9893,2016-07-30,Colby Rasmus flied out to right (Fliner (Liner)).
J_Verlander,8700,N Mazara,1455,2016-05-08,Nomar Mazara flied out to right (Fliner (Fly)).
J_Verlander,8700,C Hernandez,1055,2016-05-24,Cesar Hernandez non-force gdp to first (Grounder). Ryan Howard out at second.
J_Verlander,8700,K Marte,1361,2016-08-10,Ketel Marte flied out to center (Fly).
J_Verlander,8700,S Souza Jr.,5667,2016-07-02,Steven Souza Jr. struck out swinging.
J_Verlander,8700,H Ramirez,8001,2016-07-25,Hanley Ramirez reached on fielder's choice to shortstop (Grounder). Xander Bogaerts out at second.
J_Verlander,8700,J Mauer,1857,2016-07-20,Joe Mauer grounded out to second (Grounder).
J_Verlander,8700,M Sano,1216,2016-05-18,Miguel Sano struck out swinging.
J_Verlander,8700,B Nimmo,1292,2016-08-05,Brandon Nimmo struck out swinging.
J_Verlander,8700,A Eaton,1120,2016-09-05,Adam Eaton struck out looking.
J_Verlander,8700,S Souza Jr.,5667,2016-07-02,Steven Souza Jr. grounded out to third (Grounder).
J_Verlander,8700,K Suzuki,8259,2016-07-20,Kurt Suzuki flied out to center (Fly).
J_Verlander,8700,N Aoki,1307,2016-08-10,Nori Aoki flied out to left (Fly).
J_Verlander,8700,J Schoop,1126,2016-05-13,Jonathan Schoop grounded into a double play to pitcher (Liner). Matt Wieters out at second.
J_Verlander,8700,J Rickard,1327,2016-05-13,Joey Rickard was caught stealing.
J_Verlander,8700,J Polanco,1315,2016-09-22,Jorge Polanco struck out swinging.
J_Verlander,8700,A Avila,7476,2016-09-05,Alex Avila struck out swinging.
J_Verlander,8700,M Kemp,5631,2016-10-02,Matt Kemp grounded into a double play to shortstop (Grounder). Adonis Garcia out at second.
J_Verlander,8700,M Brantley,4106,2016-05-03,Michael Brantley flied out to center (Fliner (Liner)).
J_Verlander,8700,M Napoli,3057,2016-09-17,Mike Napoli struck out swinging.
J_Verlander,8700,M Trumbo,6876,2016-05-13,Mark Trumbo grounded out to pitcher (Grounder).
J_Verlander,8700,B Eibner,1136,2016-06-16,Brett Eibner flied out to left (Fliner (Liner)).
J_Verlander,8700,S Smith,7331,2016-06-21,Seth Smith struck out looking.
J_Verlander,8700,B Guyer,2636,2016-07-02,Brandon Guyer struck out swinging.
J_Verlander,8700,J Dyson,4866,2016-07-15,Jarrod Dyson struck out swinging.
J_Verlander,8700,X Bogaerts,1216,2016-07-25,Xander Bogaerts flied out to center (Fliner (Fly)).
J_Verlander,8700,D Ortiz,745&,2016-07-25,David Ortiz flied out to right (Fly).
J_Verlander,8700,T Anderson,1517,2016-09-05,Tim Anderson grounded out to pitcher (Grounder).
J_Verlander,8700,K Morales,8610,2016-06-16,Kendrys Morales struck out swinging.
J_Verlander,8700,D Santana,1032,2016-05-18,Danny Santana struck out swinging.
J_Verlander,8700,T White,1556,2016-04-16,Tyler White flied out to right (Fliner (Fly)).
J_Verlander,8700,C Cuthbert,1047,2016-06-16,Cheslor Cuthbert struck out looking.
J_Verlander,8700,C Crisp,1572,2016-09-17,Coco Crisp flied out to right (Fliner (Fly)).
J_Verlander,8700,B Eibner,1136,2016-07-15,Brett Eibner fouled out to first (Fly).
J_Verlander,8700,K Seager,9785,2016-08-10,Kyle Seager flied out to shortstop (Fliner (Fly)).
J_Verlander,8700,C Cuthbert,1047,2016-07-15,Cheslor Cuthbert fouled out to second (Fly).
J_Verlander,8700,A Lind,8027,2016-08-10,Adam Lind fouled out to catcher (Fly).
J_Verlander,8700,N Aoki,1307,2016-06-21,Nori Aoki flied out to center (Fly).
J_Verlander,8700,R Flaherty,7888,2016-05-13,Ryan Flaherty flied out to center (Fly).
J_Verlander,8700,W Merrifield,1128,2016-06-16,Whit Merrifield grounded into a double play to pitcher (Grounder). Brett Eibner out at second.
J_Verlander,8700,P Bourjos,2578,2016-05-24,Peter Bourjos grounded out to shortstop (Grounder).
J_Verlander,8700,C Ruiz,2579,2016-05-24,Carlos Ruiz flied out to left (Fliner (Liner)).
J_Verlander,8700,A Eaton,1120,2016-08-31,Adam Eaton flied out to second (Fly).
J_Verlander,8700,J Loney,4556,2016-08-05,James Loney flied out to center (Fliner (Fly)).
J_Verlander,8700,C Davis,9272,2016-09-11,Chris Davis struck out swinging.
J_Verlander,8700,A Lind,8027,2016-08-10,Adam Lind grounded out to first (Grounder).
J_Verlander,8700,B Buxton,1416,2016-07-20,Byron Buxton struck out swinging.
J_Verlander,8700,P Orlando,8628,2016-06-16,Paulo Orlando flied out to right (Fly).
J_Verlander,8700,A Garcia,5760,2016-09-05,Avisail Garcia flied out to center (Fliner (Fly)).
J_Verlander,8700,C Cron,1254,2016-08-26,C.J. Cron flied out to center (Fly).
J_Verlander,8700,E Nunez,6848,2016-07-20,Eduardo Nunez lined out to second (Liner).
J_Verlander,8700,M Machado,1149,2016-05-13,Manny Machado struck out swinging.
J_Verlander,8700,M Machado,1149,2016-09-11,Manny Machado picked off.
J_Verlander,8700,L Forsythe,7185,2016-07-02,Logan Forsythe flied out to right (Fly).
J_Verlander,8700,C Dickerson,1076,2016-07-02,Corey Dickerson grounded out to second (Grounder).
J_Verlander,8700,J Mauer,1857,2016-05-18,Joe Mauer flied out to center (Fly).
J_Verlander,8700,W Merrifield,1128,2016-07-15,Whit Merrifield struck out swinging.
J_Verlander,8700,K Seager,9785,2016-08-10,Kyle Seager struck out swinging.
J_Verlander,8700,C Ruiz,2579,2016-05-24,Carlos Ruiz struck out swinging.
J_Verlander,8700,J Rickard,1327,2016-05-13,Joey Rickard flied out to left (Fly).
J_Verlander,8700,N Cruz,2434,2016-06-21,Nelson Cruz flied out to center (Fliner (Fly)).
J_Verlander,8700,T Frazier,785&,2016-09-05,Todd Frazier struck out swinging.
J_Verlander,8700,N Mazara,1455,2016-05-08,Nomar Mazara struck out swinging.
J_Verlander,8700,K Morales,8610,2016-06-16,Kendrys Morales flied out to left (Fly).
J_Verlander,8700,M Betts,1361,2016-07-25,Mookie Betts flied out to left (Fly).
J_Verlander,8700,K Pillar,1243,2016-07-07,Kevin Pillar grounded out to shortstop (Grounder).
J_Verlander,8700,S Leon,5273,2016-07-25,Sandy Leon struck out looking.
