playername,playerid,vsname,vsid,date,Play
J_Votto,4314,K Siegrist,8180,2016-06-07,Joey Votto homered (Fly).
J_Votto,4314,J Cueto,6893,2016-05-02,Joey Votto homered (Fly). Billy Hamilton scored. Ivan De Jesus scored.
J_Votto,4314,M Clevinger,1280,2016-05-18,Joey Votto doubled to center (Fliner (Fly)). Zack Cozart scored. Billy Hamilton scored.
J_Votto,4314,A Bradley,1291,2016-07-22,Joey Votto homered (Fly). Billy Hamilton scored. Zack Cozart scored.
J_Votto,4314,J Locke,2929,2016-05-01,Joey Votto singled to right (Grounder). Zack Cozart scored. Billy Hamilton advanced to 3B.
J_Votto,4314,J Tomlin,9388,2016-05-19,Joey Votto homered (Fliner (Fly)). Billy Hamilton scored.
J_Votto,4314,A Vizcaino,5498,2016-06-13,Joey Votto doubled to shortstop (Fly).
J_Votto,4314,T Jungmann,1311,2016-09-24,Joey Votto homered (Fly). Scott Schebler scored.
J_Votto,4314,Z Godley,1486,2016-08-27,Joey Votto homered (Fliner (Fly)). Billy Hamilton scored.
J_Votto,4314,J Chavez,5448,2016-08-22,Joey Votto doubled to center (Fliner (Fly)). Jose Peraza scored.
J_Votto,4314,S Oh,1871,2016-08-02,Joey Votto singled to right (Fliner (Liner)).
J_Votto,4314,J Motte,5861,2016-05-30,Joey Votto homered (Fly).
J_Votto,4314,M Wisler,1280,2016-07-18,Joey Votto homered (Fly). Billy Hamilton scored.
J_Votto,4314,K Siegrist,8180,2016-08-09,Joey Votto singled to center (Grounder). Billy Hamilton scored.
J_Votto,4314,J Peavy,1051,2016-07-25,Joey Votto doubled to right (Liner).
J_Votto,4314,M Garza,3340,2016-09-13,Joey Votto homered (Fliner (Fly)).
J_Votto,4314,Z Davies,1318,2016-08-13,Joey Votto singled to left (Fliner (Liner)). Billy Hamilton scored.
J_Votto,4314,J Lopez,1663,2016-05-03,Joey Votto was hit by a pitch.
J_Votto,4314,Z Duke,3840,2016-09-29,Joey Votto doubled to left (Fliner (Liner)).
J_Votto,4314,C Anderson,1279,2016-05-16,Joey Votto doubled to left (Fly). Eugenio Suarez advanced to 3B.
J_Votto,4314,M Wacha,1407,2016-08-03,Joey Votto singled to right (Grounder). Tyler Holt scored. Eugenio Suarez advanced to 3B.
J_Votto,4314,J Lester,4930,2016-10-01,Joey Votto doubled to right (Grounder). Ivan De Jesus scored.
J_Votto,4314,T Williams,1697,2016-09-10,Joey Votto doubled to center (Grounder).
J_Votto,4314,M Wacha,1407,2016-08-08,Joey Votto tripled to center (Fliner (Liner)). Zack Cozart scored.
J_Votto,4314,J Arrieta,4153,2016-06-27,Joey Votto homered (Fliner (Fly)). Billy Hamilton scored.
J_Votto,4314,D Alvarez,1423,2016-07-19,Joey Votto singled to right (Fliner (Liner)).
J_Votto,4314,K Giles,1291,2016-06-18,Joey Votto singled to center (Fliner (Liner)).
J_Votto,4314,M Melancon,4264,2016-05-11,Joey Votto walked. Jay Bruce advanced to 2B.
J_Votto,4314,A Nola,1614,2016-05-14,Joey Votto walked. Zack Cozart advanced to 3B. Jose Peraza advanced to 2B.
J_Votto,4314,Y Petit,4020,2016-07-01,Joey Votto doubled to right (Liner).
J_Votto,4314,A Wainwright,2233,2016-08-02,Joey Votto hit a ground rule double (Fliner (Fly)). Billy Hamilton scored.
J_Votto,4314,I Nova,1994,2016-09-18,Joey Votto doubled to center (Fliner (Fly)).
J_Votto,4314,M Harvey,1171,2016-04-27,Joey Votto singled to left (Liner). Zack Cozart advanced to 3B.
J_Votto,4314,R Delgado,5985,2016-08-26,Joey Votto singled to right (Fliner (Liner)).
J_Votto,4314,F Rodney,494&,2016-07-09,Joey Votto singled to center (Grounder).
J_Votto,4314,F Liriano,3201,2016-04-08,Joey Votto walked. Zack Cozart advanced to 3B. Eugenio Suarez advanced to 2B.
J_Votto,4314,K Giles,1291,2016-06-17,Joey Votto singled to right (Liner).
J_Votto,4314,B Shipley,1515,2016-08-26,Joey Votto walked.
J_Votto,4314,D Kiekhefer,1052,2016-09-03,Joey Votto doubled to second (Fly). Billy Hamilton advanced to 3B.
J_Votto,4314,K Siegrist,8180,2016-08-02,Joey Votto singled to center (Grounder).
J_Votto,4314,T Roark,8753,2016-07-01,Joey Votto singled to right (Grounder).
J_Votto,4314,A Wainwright,2233,2016-09-27,Joey Votto singled to center (Liner). Eugenio Suarez advanced to 2B.
J_Votto,4314,S Kazmir,4897,2016-08-22,Joey Votto singled to center (Grounder). Jose Peraza scored.
