playername,playerid,vsname,vsid,date,Play
J_Weeks,2498,J Samardzija,3254,2016-04-27,Jemile Weeks tripled to second (Fliner (Fly)). Alexei Ramirez scored.
J_Weeks,2498,M Leake,1013,2016-04-24,Jemile Weeks singled to right (Fliner (Liner)). Alexei Ramirez advanced to 3B.
J_Weeks,2498,N Syndergaard,1176,2016-05-06,Jemile Weeks walked.
J_Weeks,2498,R Stripling,1327,2016-04-30,Jemile Weeks singled to left (Liner). Derek Norris advanced to 2B.
J_Weeks,2498,A Wainwright,2233,2016-04-22,Jemile Weeks walked.
J_Weeks,2498,L Verrett,1290,2016-05-05,Jemile Weeks singled to center (Grounder).
J_Weeks,2498,N Feliz,18&p,2016-04-21,Jemile Weeks flied out to right (Fly).
J_Weeks,2498,K Jansen,3096,2016-04-29,Jemile Weeks sacrificed to third (Bunt Grounder). Adam Rosales advanced to 3B.
J_Weeks,2498,S Maness,1223,2016-04-22,Jemile Weeks grounded out to second (Grounder).
J_Weeks,2498,J Howell,8245,2016-04-30,Jemile Weeks grounded out to first (Grounder). Derek Norris advanced to 2B.
J_Weeks,2498,J Locke,2929,2016-04-20,Jemile Weeks struck out swinging.
J_Weeks,2498,J Samardzija,3254,2016-04-27,Jemile Weeks struck out swinging.
J_Weeks,2498,L Coleman,9720,2016-04-30,Jemile Weeks grounded out to pitcher (Grounder).
J_Weeks,2498,J Miller,8580,2016-05-03,Jemile Weeks flied out to right (Fly).
J_Weeks,2498,J Cueto,6893,2016-04-26,Jemile Weeks struck out swinging.
J_Weeks,2498,J Cueto,6893,2016-04-26,Jemile Weeks flied out to center (Fliner (Liner)). Alexei Ramirez advanced to 3B.
J_Weeks,2498,E Butler,1345,2016-05-03,Jemile Weeks flied out to left (Fly).
J_Weeks,2498,R Stripling,1327,2016-04-30,Jemile Weeks grounded out to shortstop (Grounder).
J_Weeks,2498,M Leake,1013,2016-04-24,Jemile Weeks grounded out to shortstop (Grounder).
J_Weeks,2498,A Wainwright,2233,2016-04-22,Jemile Weeks flied out to left (Fly).
J_Weeks,2498,A Wood,1378,2016-04-29,Jemile Weeks struck out swinging.
J_Weeks,2498,C Kershaw,2036,2016-05-01,Jemile Weeks grounded out to shortstop (Grounder).
J_Weeks,2498,J deGrom,1095,2016-05-05,Jemile Weeks grounded out to first (Grounder). Derek Norris advanced to 3B.
J_Weeks,2498,M Bumgarner,5524,2016-04-25,Jemile Weeks struck out swinging.
J_Weeks,2498,B Colon,375&,2016-05-07,Jemile Weeks flied out to shortstop (Fly).
J_Weeks,2498,B Colon,375&,2016-05-07,Jemile Weeks sacrificed to pitcher (Bunt Grounder). Derek Norris advanced to 2B.
J_Weeks,2498,M Wacha,1407,2016-04-23,Jemile Weeks grounded out to pitcher (Grounder).
J_Weeks,2498,T Chatwood,4338,2016-05-04,Jemile Weeks struck out looking.
J_Weeks,2498,A Wood,1378,2016-04-29,Jemile Weeks grounded into a double play to second (Grounder). Alexei Ramirez out at second.
