playername,playerid,vsname,vsid,date,Play
J_Wendle,1385,E Diaz,1471,2016-10-01,Joey Wendle doubled to right (Fliner (Liner)). Chad Pinder scored.
J_Wendle,1385,H Iwakuma,1304,2016-09-09,Joey Wendle singled to center (Grounder). Jake Smolinski scored. Bruce Maxwell III advanced to 2B.
J_Wendle,1385,J Musgrove,1297,2016-09-20,Joey Wendle singled to left (Grounder). Jake Smolinski advanced to 2B.
J_Wendle,1385,J Musgrove,1297,2016-09-20,Joey Wendle walked.
J_Wendle,1385,A Meyer,1283,2016-09-07,Joey Wendle walked.
J_Wendle,1385,J Weaver,4235,2016-09-05,Joey Wendle singled to center (Grounder). Khris Davis scored. Yonder Alonso advanced to 2B.
J_Wendle,1385,S Cishek,6483,2016-10-01,Joey Wendle advanced on error to 3B. Error by Steve Cishek.
J_Wendle,1385,F Hernandez,4772,2016-09-10,Joey Wendle singled to right (Grounder).
J_Wendle,1385,C Young,3196,2016-09-12,Joey Wendle singled to right (Liner). Brett Eibner advanced to 3B.
J_Wendle,1385,Y Ventura,1185,2016-09-14,Joey Wendle singled to left (Fliner (Liner)).
J_Wendle,1385,S Cishek,6483,2016-10-01,Joey Wendle singled to center (Grounder).
J_Wendle,1385,T Walker,1183,2016-09-30,Joey Wendle reached on fielder's choice and error to second (Grounder). Marcus Semien advanced to 3B. Matt Olson advanced to 2B on error. Error by Robinson Cano.
J_Wendle,1385,R Nolasco,3830,2016-09-27,Joey Wendle singled to right (Liner).
J_Wendle,1385,Y Darvish,1307,2016-09-17,Joey Wendle hit a sacrifice fly to left (Fliner (Liner)). Marcus Semien scored.
J_Wendle,1385,Y Ventura,1185,2016-09-14,Joey Wendle walked.
J_Wendle,1385,M Feliz,1190,2016-08-31,Joey Wendle advanced on a wild pitch to 2B.
J_Wendle,1385,P Venditte,7108,2016-10-02,Joey Wendle walked.
J_Wendle,1385,B Flynn,1202,2016-09-12,Joey Wendle singled to center (Grounder). Bruce Maxwell III scored. Brett Eibner advanced to 3B.
