playername,playerid,vsname,vsid,date,Play
J_de,2047,A Rendon,1286,2016-08-15,Anthony Rendon lined out to third (Liner). Bryce Harper out at second.
J_de,2047,D Dietrich,1054,2016-06-20,Derek Dietrich grounded into a double play to shortstop (Grounder). J.T. Realmuto out at second.
J_de,2047,P O'Brien,1328,2016-06-25,Peter O'Brien grounded into a double play to third (Grounder). Welington Castillo out at second.
J_de,2047,J Schoop,1126,2016-07-25,Jonathan Schoop grounded into a double play to shortstop (Grounder). Adam Jones out at second.
J_de,2047,J Ruggiano,7620,2016-07-30,Justin Ruggiano was caught stealing.
J_de,2047,B Belt,1026,2016-04-14,Brandon Belt lined out to second (Liner). Hunter Pence out at second.
J_de,2047,J Lamb,1332,2016-04-04,Jake Lamb struck out swinging.
J_de,2047,J Lucroy,7870,2016-08-10,Jonathan Lucroy fouled out to catcher (Fly).
J_de,2047,D Pomeranz,1142,2016-04-09,Drew Pomeranz grounded out to pitcher (Grounder).
J_de,2047,J Turner,5235,2016-07-01,Justin Turner struck out swinging.
J_de,2047,M Wieters,4298,2016-07-25,Matt Wieters grounded out to first (Grounder).
J_de,2047,T Thompson,9952,2016-07-01,Trayce Thompson grounded out to shortstop (Grounder).
J_de,2047,C Johnson,1191,2016-08-05,Chris Johnson grounded into a double play to shortstop (Grounder). J.T. Realmuto out at second.
J_de,2047,C Yelich,1147,2016-08-05,Christian Yelich grounded out to second (Grounder).
J_de,2047,J Parker,1162,2016-05-28,Jarrett Parker grounded into a double play to second (Grounder). Hunter Pence out at second.
J_de,2047,M Ozuna,1032,2016-06-20,Marcell Ozuna reached on fielder's choice to shortstop (Grounder). Martin Prado out at second.
J_de,2047,M Kemp,5631,2016-04-09,Matt Kemp grounded into a double play to second (Grounder). Melvin Upton Jr. out at second.
J_de,2047,A Ramirez,5133,2016-04-09,Alexei Ramirez struck out swinging.
J_de,2047,S Piscotty,1336,2016-09-20,Stephen Piscotty struck out swinging.
J_de,2047,J Hardy,3797,2016-07-25,J.J. Hardy grounded out to second (Grounder).
J_de,2047,C Davis,9272,2016-07-25,Chris Davis grounded into a double play to shortstop (Grounder). Manny Machado out at second.
J_de,2047,H Pence,8252,2016-04-14,Hunter Pence grounded out to third (Grounder).
J_de,2047,B Drury,1161,2016-09-13,Brandon Drury struck out looking.
J_de,2047,N Eovaldi,9132,2016-06-14,Nathan Eovaldi grounded out to first (Grounder).
J_de,2047,J Ruggiano,7620,2016-07-30,Justin Ruggiano struck out swinging.
J_de,2047,C Casali,1251,2016-07-20,Curt Casali flied out to right (Fly).
J_de,2047,J Lamb,1332,2016-09-02,Jake Lamb out on a dropped third strike.
J_de,2047,A Gonzalez,1908,2016-07-01,Adrian Gonzalez grounded into a double play to second (Grounder). Justin Turner out at second.
J_de,2047,B Guyer,2636,2016-07-20,Brandon Guyer flied out to left (Fly).
J_de,2047,A Rendon,1286,2016-08-15,Anthony Rendon flied out to right (Fly).
J_de,2047,A Cole,1146,2016-08-27,A.J. Cole struck out swinging.
J_de,2047,P O'Brien,1328,2016-06-25,Peter O'Brien struck out swinging.
J_de,2047,D DeShields,1137,2016-08-10,Delino DeShields flied out to right (Fly).
J_de,2047,E Longoria,9368,2016-07-20,Evan Longoria fouled out to third (Fly).
J_de,2047,C Beltran,589&,2016-08-10,Carlos Beltran grounded out to second (Grounder).
J_de,2047,M Upton Jr.,5015,2016-04-09,Melvin Upton Jr. reached on fielder's choice to third (Grounder). Jon Jay out at second.
J_de,2047,A Rendon,1286,2016-08-15,Anthony Rendon grounded out to shortstop (Grounder).
J_de,2047,R Ray,1148,2016-09-13,Robbie Ray grounded out to second (Grounder).
J_de,2047,M Wieters,4298,2016-07-25,Matt Wieters reached on fielder's choice to third (Grounder). Chris Davis out at second.
J_de,2047,B Moss,4467,2016-09-20,Brandon Moss flied out to center (Fly).
J_de,2047,Y Tomas,1717,2016-09-13,Yasmany Tomas grounded out to pitcher (Grounder).
J_de,2047,R Refsnyder,1377,2016-06-14,Rob Refsnyder reached on fielder's choice to third (Grounder). Chase Headley out at second.
J_de,2047,W Ramos,1433,2016-08-27,Wilson Ramos struck out swinging.
J_de,2047,D Espinosa,9219,2016-08-27,Danny Espinosa struck out swinging.
J_de,2047,R Zimmerman,4220,2016-08-27,Ryan Zimmerman reached on fielder's choice to shortstop (Grounder). Anthony Rendon advanced to 3B. Wilson Ramos out at second.
J_de,2047,G Hernandez,4146,2016-09-07,Gorkys Hernandez struck out swinging.
J_de,2047,J Gyorko,1081,2016-09-20,Jedd Gyorko flied out to second (Fly).
