playername,playerid,vsname,vsid,date,Play
K_Calhoun,1120,K Kela,1469,2016-09-10,Kole Calhoun homered (Fliner (Fly)). Rafael Ortega scored.
K_Calhoun,1120,P Neshek,4682,2016-05-29,Kole Calhoun tripled to right (Fly).
K_Calhoun,1120,J Peralta,2332,2016-05-14,Kole Calhoun homered (Fliner (Fly)). Yunel Escobar scored.
K_Calhoun,1120,R Dull,1397,2016-09-26,Kole Calhoun doubled to right (Grounder). Yunel Escobar advanced to 3B.
K_Calhoun,1120,C Rodon,1613,2016-04-18,Kole Calhoun singled to right (Liner). Yunel Escobar scored. Mike Trout scored on error. Albert Pujols advanced to 3B on error. Kole Calhoun advanced to 2B. Error by Jose Abreu.
K_Calhoun,1120,T Bauer,1270,2016-06-11,Kole Calhoun singled to left (Fly). Johnny Giavotella scored. Jett Bandy scored. Yunel Escobar advanced to 3B.
K_Calhoun,1120,B Brach,6627,2016-07-10,Kole Calhoun singled to right (Fliner (Liner)). Kole Calhoun advanced to 3B on error. Error by Mark Trumbo.
K_Calhoun,1120,K Graveman,1551,2016-06-17,Kole Calhoun homered (Fliner (Fly)).
K_Calhoun,1120,H Iwakuma,1304,2016-04-22,Kole Calhoun homered (Fliner (Fly)).
K_Calhoun,1120,M Pineda,5372,2016-06-07,Kole Calhoun homered (Fliner (Fly)). Gregorio Petit scored.
K_Calhoun,1120,M Gonzalez,7024,2016-07-15,Kole Calhoun doubled to right (Liner). Yunel Escobar scored.
K_Calhoun,1120,E Surkamp,2540,2016-04-13,Kole Calhoun singled to center (Fliner (Liner)). Mike Trout scored.
K_Calhoun,1120,E Surkamp,2540,2016-04-13,Kole Calhoun singled to center (Fliner (Liner)). Mike Trout scored. C.J. Cron advanced to 2B.
K_Calhoun,1120,D Fister,9425,2016-05-29,Kole Calhoun homered (Fly).
K_Calhoun,1120,A Miranda,1752,2016-08-16,Kole Calhoun doubled to left (Fliner (Liner)). Yunel Escobar advanced to 3B.
K_Calhoun,1120,J Locke,2929,2016-06-04,Kole Calhoun homered (Fly).
K_Calhoun,1120,K Graveman,1551,2016-04-12,Kole Calhoun singled to right (Grounder). Albert Pujols advanced to 3B.
K_Calhoun,1120,E Santana,3200,2016-06-14,Kole Calhoun homered (Fly).
K_Calhoun,1120,R Alcantara,1279,2016-09-05,Kole Calhoun homered (Fliner (Fly)).
K_Calhoun,1120,C Hamels,4972,2016-05-01,Kole Calhoun singled to right (Liner). Shane Robinson scored.
K_Calhoun,1120,P Baez,5420,2016-05-16,Kole Calhoun singled to center (Grounder). Yunel Escobar advanced to 3B.
K_Calhoun,1120,T Barnette,3555,2016-07-18,Mike Trout advanced on a wild pitch to 2B.
K_Calhoun,1120,L McCullers,1412,2016-07-22,Kole Calhoun singled to right (Grounder). Yunel Escobar advanced to 3B.
K_Calhoun,1120,C Lewis,1259,2016-05-25,Kole Calhoun singled to right (Grounder). Yunel Escobar scored. Kole Calhoun advanced to 2B.
K_Calhoun,1120,D Smyly,1176,2016-07-06,Kole Calhoun walked. Jett Bandy scored. Andrelton Simmons advanced to 3B. Yunel Escobar advanced to 2B.
K_Calhoun,1120,J Paxton,1182,2016-08-07,Kole Calhoun singled to center (Grounder). Shane Robinson advanced to 3B.
K_Calhoun,1120,V Nuno,9674,2016-04-23,Kole Calhoun singled to left (Fliner (Liner)). Rafael Ortega scored. Mike Trout advanced to 2B.
