playername,playerid,vsname,vsid,date,Play
K_Davis,9112,S Tolleson,1048,2016-05-17,Khris Davis homered (Fliner (Fly)). Stephen Vogt scored. Coco Crisp scored. Josh Reddick scored.
K_Davis,9112,C Kimbrel,6655,2016-09-04,Khris Davis doubled to left (Fliner (Liner)). Danny Valencia scored on error. Khris Davis advanced to 2B. Error by Brock Holt.
K_Davis,9112,J Odorizzi,6397,2016-05-13,Khris Davis homered (Fliner (Fly)). Billy Burns scored. Josh Reddick scored.
K_Davis,9112,E Diaz,1471,2016-09-29,Khris Davis doubled to left (Fliner (Liner)). Ryon Healy advanced to 3B.
K_Davis,9112,M Stroman,1343,2016-07-15,Khris Davis homered (Fly). Josh Reddick scored.
K_Davis,9112,J Garcia,8137,2016-08-28,Khris Davis homered (Fly). Danny Valencia scored.
K_Davis,9112,N Karns,1263,2016-05-02,Khris Davis homered (Fly). Josh Reddick scored.
K_Davis,9112,M Bush,1246,2016-07-27,Khris Davis homered (Fly). Josh Reddick scored.
K_Davis,9112,J Shields,7059,2016-08-19,Khris Davis homered (Fly). Danny Valencia scored.
K_Davis,9112,R Porcello,2717,2016-05-11,Khris Davis singled to left (Liner). Chris Coghlan scored. Billy Burns scored.
K_Davis,9112,W Saupold,1321,2016-05-28,Khris Davis doubled to left (Grounder). Danny Valencia advanced to 3B.
K_Davis,9112,M Shoemaker,4776,2016-06-17,Khris Davis homered (Fly).
K_Davis,9112,R Osuna,1376,2016-04-22,Khris Davis singled to left (Liner). Josh Reddick scored. Coco Crisp scored on error. Khris Davis advanced to 2B. Error by Ezequiel Carrera.
K_Davis,9112,J Samardzija,3254,2016-06-27,Khris Davis doubled to right (Fliner (Liner)). Danny Valencia scored.
K_Davis,9112,D Smyly,1176,2016-07-23,Khris Davis singled to center (Grounder). Jed Lowrie scored. Danny Valencia advanced to 3B.
K_Davis,9112,R Dickey,1245,2016-07-16,Khris Davis homered (Fly).
K_Davis,9112,H Iwakuma,1304,2016-05-25,Khris Davis homered (Fly).
K_Davis,9112,N Karns,1263,2016-05-02,Khris Davis homered (Fliner (Fly)).
K_Davis,9112,M Shoemaker,4776,2016-08-02,Khris Davis homered (Fly).
K_Davis,9112,A Schugel,1143,2016-07-03,Khris Davis doubled to left (Fliner (Liner)).
K_Davis,9112,C Lewis,1259,2016-09-18,Khris Davis walked. Danny Valencia advanced to 3B. Ryon Healy advanced to 2B.
K_Davis,9112,F Hernandez,4772,2016-05-04,Khris Davis reached on error to third (Grounder). Billy Burns scored on error. Jed Lowrie scored on error. Josh Reddick advanced to 2B on error. Error by Kyle Seager.
K_Davis,9112,E Volquez,3990,2016-04-15,Khris Davis singled to center (Grounder). Stephen Vogt scored.
K_Davis,9112,T Bauer,1270,2016-08-24,Khris Davis tripled to center (Fly).
K_Davis,9112,C Hamels,4972,2016-05-17,Khris Davis homered (Fliner (Fly)).
K_Davis,9112,C Rodon,1613,2016-04-06,Khris Davis singled to center (Fliner (Liner)). Billy Burns advanced to 3B.
K_Davis,9112,D Guerra,8410,2016-06-23,Khris Davis homered (Fly).
K_Davis,9112,J Musgrove,1297,2016-08-29,Khris Davis walked. Stephen Vogt advanced to 2B.
K_Davis,9112,M Perez,6902,2016-07-25,Khris Davis doubled to left (Fliner (Fly)). Danny Valencia scored.
K_Davis,9112,N Vincent,7555,2016-10-01,Khris Davis homered (Fliner (Fly)).
K_Davis,9112,N Jones,4696,2016-04-05,Khris Davis was hit by a pitch. Josh Reddick advanced to 2B.
K_Davis,9112,M Shoemaker,4776,2016-06-17,Khris Davis singled to shortstop (Grounder). Danny Valencia advanced to 3B. Khris Davis Error by Andrelton Simmons.
K_Davis,9112,F Salas,4971,2016-08-03,Khris Davis walked.
K_Davis,9112,D Fister,9425,2016-07-07,Khris Davis singled to right (Fliner (Liner)). Danny Valencia advanced to 2B.
K_Davis,9112,M Bowman,1352,2016-08-27,Khris Davis singled to center (Fliner (Liner)).
K_Davis,9112,C McHugh,7531,2016-06-04,Khris Davis singled to left (Grounder). Danny Valencia advanced to 2B.
K_Davis,9112,M Lowe,7416,2016-05-29,Khris Davis doubled to left (Fliner (Liner)). Danny Valencia advanced to 3B.
K_Davis,9112,Z Britton,3240,2016-08-11,Khris Davis singled to second (Grounder). Brett Eibner advanced to 3B. Marcus Semien advanced to 2B.
K_Davis,9112,F Hernandez,4772,2016-05-04,Khris Davis singled to left (Grounder). Josh Reddick advanced to 2B.
K_Davis,9112,M Pelfrey,5203,2016-04-26,Khris Davis singled to left (Liner). Stephen Vogt scored.
K_Davis,9112,A Claudio,1289,2016-08-16,Khris Davis doubled to left (Fliner (Liner)).
K_Davis,9112,E Ramirez,1031,2016-07-21,Khris Davis was hit by a pitch. Danny Valencia advanced to 2B.
K_Davis,9112,Y Darvish,1307,2016-07-27,Khris Davis doubled to center (Fliner (Liner)).
K_Davis,9112,J Paxton,1182,2016-09-11,Khris Davis singled to right (Grounder).
K_Davis,9112,J Zimmermann,4505,2016-04-25,Khris Davis singled to left (Grounder).
K_Davis,9112,M Perez,6902,2016-06-14,Khris Davis singled to center (Liner). Jed Lowrie scored. Danny Valencia advanced to 3B.
K_Davis,9112,J Chacin,2608,2016-09-07,Khris Davis walked. Marcus Semien advanced to 3B. Stephen Vogt advanced to 2B.
K_Davis,9112,C Gearrin,7947,2016-06-28,Khris Davis walked.
K_Davis,9112,T Watson,3132,2016-07-02,Khris Davis singled to left (Grounder). Josh Reddick advanced to 2B.
K_Davis,9112,C Kuhl,1497,2016-07-02,Khris Davis singled to center (Grounder).
K_Davis,9112,J Shields,7059,2016-08-19,Khris Davis singled to right (Grounder).
K_Davis,9112,C Hamels,4972,2016-09-16,Khris Davis walked.
K_Davis,9112,B Pinder,1209,2016-04-20,Khris Davis singled to center (Grounder). Billy Butler scored. Stephen Vogt scored. Jed Lowrie advanced to 2B.
K_Davis,9112,B Cecil,2660,2016-07-15,Khris Davis singled to left (Liner). Josh Reddick advanced to 2B.
K_Davis,9112,Y Ventura,1185,2016-09-14,Khris Davis walked. Stephen Vogt advanced to 2B.
K_Davis,9112,J Lester,4930,2016-08-05,Khris Davis singled to third (Grounder).
K_Davis,9112,S Feldman,6283,2016-07-18,Khris Davis homered (Fliner (Fly)).
K_Davis,9112,D Guerra,8410,2016-09-05,Khris Davis walked.
K_Davis,9112,A DeSclafani,1305,2016-06-10,Khris Davis advanced on a wild pitch to 2B.
K_Davis,9112,T Duffey,1375,2016-05-31,Khris Davis singled to shortstop (Grounder). Jed Lowrie advanced to 3B. Danny Valencia advanced to 2B.
K_Davis,9112,H Street,8258,2016-06-26,Khris Davis singled to third (Grounder).
K_Davis,9112,W LeBlanc,5221,2016-08-14,Khris Davis singled to left (Liner).
K_Davis,9112,F Liriano,3201,2016-07-03,Khris Davis singled to center (Fliner (Liner)).
K_Davis,9112,M Perez,6902,2016-06-14,Khris Davis doubled to right (Liner). Billy Burns scored. Jed Lowrie out at home. Khris Davis advanced to 3B.
K_Davis,9112,A Sanchez,1149,2016-04-22,Khris Davis reached on fielder's choice and error to shortstop (Grounder). Stephen Vogt advanced to 3B. Coco Crisp advanced to 2B on error. Error by Darwin Barney.
K_Davis,9112,J Musgrove,1297,2016-08-29,Khris Davis singled to right (Fliner (Liner)). Danny Valencia advanced to 2B.
K_Davis,9112,C Sale,1060,2016-08-20,Khris Davis singled to left (Liner).
K_Davis,9112,C Bedrosian,1336,2016-08-03,Khris Davis walked.
K_Davis,9112,M Fiers,7754,2016-08-31,Khris Davis singled to left (Grounder). Stephen Vogt advanced to 2B.
K_Davis,9112,C Hamels,4972,2016-09-23,Khris Davis walked. Ryon Healy advanced to 2B.
K_Davis,9112,E Volquez,3990,2016-04-15,Khris Davis advanced on a wild pitch to 2B.
K_Davis,9112,D Holland,4141,2016-05-16,Khris Davis hit a sacrifice fly to right (Fly). Billy Burns scored. Josh Reddick advanced to 3B.
K_Davis,9112,M Morin,1344,2016-09-28,Khris Davis homered (Fly).
K_Davis,9112,J Happ,7410,2016-04-23,Khris Davis was hit by a pitch.
K_Davis,9112,M Perez,6902,2016-05-18,Khris Davis singled to pitcher (Grounder). Danny Valencia advanced to 2B.
K_Davis,9112,R Nolasco,3830,2016-07-04,Khris Davis singled to left (Grounder).
K_Davis,9112,J Lamb,8493,2016-06-12,Khris Davis singled to center (Liner).
K_Davis,9112,K McCarthy,1524,2016-09-14,Khris Davis singled to left (Grounder). Danny Valencia scored. Stephen Vogt scored. Khris Davis advanced to 2B on error. Error by Alex Gordon.
K_Davis,9112,T Walker,1183,2016-09-30,Khris Davis walked.
K_Davis,9112,M Fulmer,1321,2016-05-27,Khris Davis singled to left (Grounder).
K_Davis,9112,N Karns,1263,2016-04-09,Khris Davis singled to center (Liner).
K_Davis,9112,D Salazar,5867,2016-08-23,Khris Davis walked.
K_Davis,9112,D VerHagen,1342,2016-04-27,Khris Davis tripled to right (Fly).
K_Davis,9112,T Scheppers,1026,2016-09-24,Khris Davis doubled to left (Fliner (Liner)).
K_Davis,9112,J Ramirez,8302,2016-06-12,Khris Davis singled to center (Liner). Coco Crisp scored. Jed Lowrie advanced to 3B. Khris Davis
K_Davis,9112,M Montgomery,4869,2016-05-24,Khris Davis doubled to left (Liner).
K_Davis,9112,J Shields,7059,2016-08-19,Khris Davis doubled to left (Grounder).
K_Davis,9112,B Hardy,6499,2016-04-28,Khris Davis singled to right (Liner). Billy Burns scored. Jed Lowrie advanced to 3B.
K_Davis,9112,A Wilson,9239,2016-05-28,Khris Davis homered (Fliner (Fly)). Jed Lowrie scored. Danny Valencia scored.
K_Davis,9112,M Tonkin,1031,2016-05-31,Khris Davis walked.
K_Davis,9112,K McCarthy,1524,2016-09-14,Khris Davis walked.
K_Davis,9112,Y Mendez,1439,2016-09-17,Khris Davis walked.
K_Davis,9112,C Ramos,3357,2016-06-13,Khris Davis walked. Danny Valencia advanced to 2B.
K_Davis,9112,C Stratton,1376,2016-06-27,Khris Davis singled to center (Grounder). Stephen Vogt scored. Danny Valencia advanced to 3B.
K_Davis,9112,S O'Sullivan,9137,2016-05-10,Stephen Vogt advanced on a wild pitch to 2B.
K_Davis,9112,A Achter,1138,2016-09-07,Khris Davis walked.
K_Davis,9112,C Ege,1592,2016-09-27,Khris Davis walked. Ryon Healy advanced to 2B.
K_Davis,9112,T Wilhelmsen,9975,2016-06-13,Khris Davis singled to shortstop (Grounder). Coco Crisp scored. Danny Valencia advanced to 2B.
K_Davis,9112,S Johnson,4053,2016-05-03,Khris Davis homered (Fly).
K_Davis,9112,D Fister,9425,2016-06-03,Khris Davis singled to left (Grounder). Stephen Vogt advanced to 2B.
K_Davis,9112,C Young,3196,2016-09-15,Khris Davis singled to center (Liner).
K_Davis,9112,M Ynoa,1409,2016-08-19,Khris Davis was hit by a pitch.
K_Davis,9112,B Farmer,1481,2016-05-28,Khris Davis reached on fielder's choice to shortstop (Grounder). Danny Valencia out at second.
K_Davis,9112,M Ynoa,1409,2016-08-19,Khris Davis advanced on a wild pitch to 2B.
K_Davis,9112,D Alvarez,1423,2016-09-17,Khris Davis singled to left (Liner).
K_Davis,9112,C Devenski,1276,2016-06-03,Khris Davis struck out swinging.
K_Davis,9112,B Matusz,2646,2016-05-07,Khris Davis flied out to center (Fly).
K_Davis,9112,B Peacock,5401,2016-08-29,Khris Davis struck out swinging.
K_Davis,9112,G Floyd,3886,2016-04-23,Khris Davis flied out to left (Fliner (Fly)).
K_Davis,9112,C Ramos,3357,2016-06-13,Khris Davis reached on fielder's choice to shortstop (Grounder). Coco Crisp scored. Marcus Semien advanced to 3B. Danny Valencia out at second.
K_Davis,9112,C Smith,1317,2016-05-09,Khris Davis flied out to right (Fliner (Fly)).
K_Davis,9112,F Hernandez,4772,2016-09-10,Khris Davis flied out to center (Fliner (Fly)).
K_Davis,9112,C Kluber,2429,2016-07-31,Khris Davis flied out to right (Fliner (Fly)).
K_Davis,9112,R Porcello,2717,2016-09-03,Khris Davis flied out to right (Fliner (Fly)).
K_Davis,9112,C Devenski,1276,2016-07-09,Khris Davis struck out swinging.
K_Davis,9112,J Smith,3281,2016-08-05,Khris Davis fouled out to first (Fly).
K_Davis,9112,V Nuno,9674,2016-04-09,Khris Davis struck out looking.
K_Davis,9112,V Nuno,9674,2016-08-12,Khris Davis grounded out to second (Grounder).
K_Davis,9112,N Martinez,1273,2016-09-25,Khris Davis grounded into a double play to shortstop (Grounder). Ryon Healy out at second.
K_Davis,9112,R Nolasco,3830,2016-09-27,Khris Davis flied out to center (Fliner (Fly)).
K_Davis,9112,F Salas,4971,2016-06-26,Khris Davis struck out swinging.
K_Davis,9112,F Hernandez,4772,2016-09-10,Khris Davis flied out to right (Fly).
K_Davis,9112,D Gee,7396,2016-04-16,Khris Davis grounded out to second (Grounder).
K_Davis,9112,J Barbato,1144,2016-04-21,Khris Davis flied out to center (Fliner (Liner)).
K_Davis,9112,J Samardzija,3254,2016-06-27,Khris Davis flied out to right (Fly).
K_Davis,9112,R Osuna,1376,2016-07-16,Khris Davis struck out looking.
K_Davis,9112,T Bauer,1270,2016-08-24,Khris Davis grounded out to second (Grounder).
K_Davis,9112,C Kluber,2429,2016-07-31,Khris Davis struck out swinging.
K_Davis,9112,J Peralta,2332,2016-05-23,Khris Davis flied out to center (Fliner (Liner)).
K_Davis,9112,J Chavez,5448,2016-04-24,Khris Davis struck out looking.
K_Davis,9112,R Ross Jr.,6819,2016-05-10,Khris Davis struck out swinging.
K_Davis,9112,H Iwakuma,1304,2016-05-25,Khris Davis struck out swinging.
K_Davis,9112,D Fister,9425,2016-06-03,Khris Davis flied out to center (Fliner (Fly)).
K_Davis,9112,H Santiago,4026,2016-06-26,Khris Davis grounded out to third (Grounder).
K_Davis,9112,M Perez,6902,2016-07-25,Khris Davis grounded out to second (Grounder).
K_Davis,9112,M Tonkin,1031,2016-07-04,Khris Davis struck out swinging.
K_Davis,9112,K Yates,9073,2016-05-20,Khris Davis struck out swinging.
K_Davis,9112,H Iwakuma,1304,2016-05-25,Khris Davis out on a dropped third strike.
K_Davis,9112,D Eveland,5508,2016-05-13,Khris Davis grounded out to second (Grounder).
K_Davis,9112,M Morin,1344,2016-06-23,Khris Davis reached on fielder's choice to shortstop (Grounder). Stephen Vogt out at second.
K_Davis,9112,L Gregerson,4090,2016-07-10,Khris Davis struck out swinging.
K_Davis,9112,M Perez,6902,2016-06-14,Khris Davis struck out swinging.
K_Davis,9112,T Milone,7608,2016-07-05,Khris Davis grounded out to pitcher (Grounder).
K_Davis,9112,M Moore,1890,2016-05-15,Khris Davis fouled out to first (Fly).
K_Davis,9112,J Barnes,1232,2016-06-21,Khris Davis struck out swinging.
K_Davis,9112,C Devenski,1276,2016-04-30,Khris Davis flied out to right (Fly).
K_Davis,9112,Y Darvish,1307,2016-09-17,Khris Davis struck out swinging.
K_Davis,9112,J Odorizzi,6397,2016-07-22,Khris Davis struck out swinging.
K_Davis,9112,P Neshek,4682,2016-07-07,Khris Davis grounded out to shortstop (Grounder). Josh Reddick advanced to 2B.
K_Davis,9112,F Liriano,3201,2016-07-03,Khris Davis struck out looking.
K_Davis,9112,B Oberholtzer,3855,2016-09-28,Khris Davis flied out to right (Fly).
K_Davis,9112,R Osuna,1376,2016-04-24,Khris Davis grounded out to shortstop (Grounder).
K_Davis,9112,H Santiago,4026,2016-06-26,Khris Davis flied out to center (Fliner (Fly)).
K_Davis,9112,M Stroman,1343,2016-07-15,Khris Davis grounded out to third (Grounder).
K_Davis,9112,M Andriese,1202,2016-05-14,Khris Davis struck out swinging.
K_Davis,9112,J Tomlin,9388,2016-07-30,Khris Davis flied out to right (Fly).
K_Davis,9112,M Givens,1043,2016-08-09,Khris Davis flied out to right (Fliner (Fly)).
K_Davis,9112,L McCullers,1412,2016-07-09,Khris Davis struck out looking.
K_Davis,9112,C Carrasco,6632,2016-08-22,Khris Davis struck out looking.
K_Davis,9112,K Siegrist,8180,2016-08-26,Khris Davis struck out looking.
K_Davis,9112,Y Ventura,1185,2016-09-14,Khris Davis struck out swinging.
K_Davis,9112,Z Britton,3240,2016-08-10,Khris Davis struck out swinging.
K_Davis,9112,C Rodon,1613,2016-04-06,Khris Davis struck out swinging.
K_Davis,9112,M Shoemaker,4776,2016-06-17,Khris Davis struck out swinging.
K_Davis,9112,M Boyd,1544,2016-05-28,Khris Davis struck out swinging.
K_Davis,9112,J Quintana,1142,2016-04-05,Khris Davis struck out swinging.
K_Davis,9112,M Moore,1890,2016-05-15,Khris Davis flied out to right (Fly).
K_Davis,9112,D Guerra,8410,2016-06-25,Khris Davis grounded out to catcher (Grounder).
K_Davis,9112,T Walker,1183,2016-09-30,Khris Davis struck out swinging.
K_Davis,9112,C Kuhl,1497,2016-07-02,Khris Davis grounded out to pitcher (Bunt Grounder).
K_Davis,9112,D Fister,9425,2016-07-07,Khris Davis grounded out to third (Grounder).
K_Davis,9112,Y Darvish,1307,2016-09-24,Khris Davis struck out swinging.
K_Davis,9112,J Quintana,1142,2016-04-05,Khris Davis struck out swinging.
K_Davis,9112,I Nova,1994,2016-05-19,Khris Davis struck out swinging.
K_Davis,9112,C Lewis,1259,2016-06-16,Khris Davis flied out to shortstop (Fly).
K_Davis,9112,C McHugh,7531,2016-07-08,Khris Davis grounded out to pitcher (Grounder).
K_Davis,9112,M Fiers,7754,2016-08-31,Khris Davis grounded out to third (Grounder).
