playername,playerid,vsname,vsid,date,Play
K_Giles,1291,J Wendle,1385,2016-09-20,Joey Wendle struck out swinging.
K_Giles,1291,B Guyer,2636,2016-09-06,Brandon Guyer grounded out to pitcher (Grounder).
K_Giles,1291,T Naquin,1335,2016-09-06,Tyler Naquin flied out to left (Fly).
K_Giles,1291,R Hanigan,4952,2016-05-14,Ryan Hanigan grounded out to second (Grounder).
K_Giles,1291,J Saltalamacchia,5557,2016-04-17,Jarrod Saltalamacchia grounded out to second (Grounder).
K_Giles,1291,J Rollins,971&,2016-05-17,Jimmy Rollins struck out swinging.
K_Giles,1291,J Rutledge,1116,2016-05-14,Josh Rutledge struck out swinging.
K_Giles,1291,K Marte,1361,2016-09-26,Ketel Marte struck out swinging.
K_Giles,1291,J Lowrie,4418,2016-07-19,Jed Lowrie grounded out to pitcher (Grounder).
K_Giles,1291,M Zunino,1326,2016-09-26,Mike Zunino struck out swinging.
K_Giles,1291,J Bradley Jr.,1298,2016-04-23,Jackie Bradley Jr. flied out to right (Fliner (Fly)).
K_Giles,1291,T Shaw,1198,2016-05-13,Travis Shaw reached on fielder's choice to second (Grounder). Hanley Ramirez out at second.
K_Giles,1291,K Calhoun,1120,2016-05-29,Kole Calhoun out on a dropped third strike.
K_Giles,1291,T Frazier,785&,2016-05-18,Todd Frazier flied out to center (Fly).
K_Giles,1291,K Seager,9785,2016-09-17,Kyle Seager grounded out to shortstop (Grounder).
K_Giles,1291,L Chisenhall,7571,2016-09-06,Lonnie Chisenhall struck out looking.
K_Giles,1291,K Davis,9112,2016-06-04,Khris Davis struck out swinging.
K_Giles,1291,S Vogt,5000,2016-07-19,Stephen Vogt flied out to center (Fliner (Liner)).
K_Giles,1291,M Byrd,950&,2016-05-11,Marlon Byrd struck out swinging.
K_Giles,1291,B Butler,7399,2016-08-31,Billy Butler flied out to right (Fly).
K_Giles,1291,M Adams,9393,2016-06-15,Matt Adams flied out to third (Fly).
K_Giles,1291,J Bruce,9892,2016-06-17,Jay Bruce grounded out to shortstop (Grounder).
K_Giles,1291,B Moss,4467,2016-06-15,Brandon Moss grounded out to third (Grounder).
K_Giles,1291,S Marte,9241,2016-08-24,Starling Marte struck out swinging.
K_Giles,1291,J Bandy,1250,2016-06-29,Jett Bandy struck out swinging.
K_Giles,1291,B Butler,7399,2016-06-04,Billy Butler flied out to shortstop (Fly).
K_Giles,1291,M Duffy,1383,2016-08-26,Matt Duffy struck out swinging.
K_Giles,1291,I Desmond,6885,2016-09-12,Ian Desmond grounded out to shortstop (Grounder).
K_Giles,1291,K Seager,9785,2016-09-26,Kyle Seager struck out swinging.
K_Giles,1291,M Cabrera,1744,2016-04-17,Miguel Cabrera struck out swinging.
K_Giles,1291,R Odor,1228,2016-09-04,Rougned Odor struck out swinging.
K_Giles,1291,M Semien,1253,2016-08-31,Marcus Semien struck out looking.
K_Giles,1291,I Desmond,6885,2016-08-07,Ian Desmond struck out swinging.
K_Giles,1291,J Bruce,9892,2016-06-18,Jay Bruce struck out swinging.
K_Giles,1291,K Seager,9785,2016-04-27,Kyle Seager struck out swinging.
K_Giles,1291,M Kepler,1214,2016-08-09,Max Kepler struck out swinging.
K_Giles,1291,E Hosmer,3516,2016-04-13,Eric Hosmer grounded out to shortstop (Grounder).
K_Giles,1291,D Lee,1872,2016-07-06,Dae-Ho Lee grounded out to shortstop (Grounder).
K_Giles,1291,J Hazelbaker,9399,2016-06-15,Jeremy Hazelbaker grounded out to shortstop (Grounder).
K_Giles,1291,J Ellsbury,4727,2016-04-05,Jacoby Ellsbury struck out swinging.
K_Giles,1291,R Odor,1228,2016-04-20,Rougned Odor flied out to left (Fly).
K_Giles,1291,A Jones,6368,2016-05-25,Adam Jones struck out swinging.
K_Giles,1291,L Martin,1184,2016-09-17,Leonys Martin struck out swinging.
K_Giles,1291,L Morrison,9205,2016-08-26,Logan Morrison grounded out to first (Grounder).
K_Giles,1291,C Beltran,589&,2016-09-12,Carlos Beltran grounded out to first (Grounder).
K_Giles,1291,K Davis,9112,2016-07-08,Khris Davis struck out looking.
K_Giles,1291,N Castellanos,1173,2016-04-16,Nick Castellanos struck out swinging.
K_Giles,1291,D Nava,5450,2016-06-27,Daniel Nava grounded out to shortstop (Grounder).
K_Giles,1291,K Davis,9112,2016-08-30,Khris Davis struck out swinging.
K_Giles,1291,S Choo,3174,2016-08-07,Shin-Soo Choo struck out swinging.
K_Giles,1291,S Vogt,5000,2016-08-31,Stephen Vogt grounded out to third (Grounder).
K_Giles,1291,P Alvarez,2495,2016-05-26,Pedro Alvarez flied out to left (Fliner (Liner)).
K_Giles,1291,K Morales,8610,2016-04-13,Kendrys Morales struck out swinging.
K_Giles,1291,A Lind,8027,2016-07-06,Adam Lind struck out swinging.
K_Giles,1291,J Lowrie,4418,2016-06-04,Jed Lowrie singled to left (Fliner (Liner)). Jed Lowrie out.
K_Giles,1291,C Gomez,4881,2016-09-12,Carlos Gomez flied out to right (Fly).
K_Giles,1291,D Lee,1872,2016-04-27,Dae-Ho Lee reached on fielder's choice to third (Grounder). Nelson Cruz advanced to 3B. Adam Lind out at second.
K_Giles,1291,I Desmond,6885,2016-04-20,Ian Desmond flied out to right (Fly).
K_Giles,1291,T Saladino,1080,2016-07-01,Tyler Saladino struck out swinging.
K_Giles,1291,B Gardner,9927,2016-04-05,Brett Gardner struck out looking.
K_Giles,1291,J Bandy,1250,2016-06-27,Jett Bandy flied out to center (Fliner (Fly)).
K_Giles,1291,R Cano,3269,2016-07-05,Robinson Cano struck out swinging.
K_Giles,1291,J Lucroy,7870,2016-09-13,Jonathan Lucroy reached on error to third (Grounder). Jurickson Profar out at home. Error by Alex Bregman.
K_Giles,1291,C Iannetta,8267,2016-07-06,Chris Iannetta struck out swinging.
K_Giles,1291,S Clevenger,9542,2016-04-27,Steve Clevenger struck out looking.
K_Giles,1291,R Ortega,1032,2016-09-25,Rafael Ortega struck out swinging.
K_Giles,1291,C Headley,4720,2016-07-27,Chase Headley struck out looking.
K_Giles,1291,R Odor,1228,2016-05-21,Rougned Odor struck out swinging.
K_Giles,1291,S Marte,9241,2016-08-22,Starling Marte struck out swinging.
K_Giles,1291,M Trout,1015,2016-10-01,Mike Trout out on a dropped third strike.
K_Giles,1291,S Smith,7331,2016-07-15,Seth Smith struck out swinging.
K_Giles,1291,R Odor,1228,2016-08-07,Rougned Odor struck out swinging.
K_Giles,1291,C Dickerson,1076,2016-06-10,Corey Dickerson struck out swinging.
K_Giles,1291,V Martinez,393&,2016-04-16,Victor Martinez flied out to left (Fliner (Liner)).
K_Giles,1291,N Cruz,2434,2016-07-05,Nelson Cruz struck out swinging.
K_Giles,1291,M Trout,1015,2016-06-21,Mike Trout struck out swinging.
K_Giles,1291,C Davis,9272,2016-08-21,Chris Davis grounded out to second (Grounder).
K_Giles,1291,K Calhoun,1120,2016-06-29,Kole Calhoun grounded out to first (Grounder).
K_Giles,1291,A Hicks,5297,2016-07-27,Aaron Hicks struck out swinging.
K_Giles,1291,I Kinsler,6195,2016-07-30,Ian Kinsler struck out swinging.
K_Giles,1291,R Healy,1544,2016-09-19,Ryon Healy flied out to second (Fly).
K_Giles,1291,R Davis,3708,2016-05-09,Rajai Davis grounded out to third (Grounder).
K_Giles,1291,E Escobar,6153,2016-05-03,Eduardo Escobar flied out to third (Fliner (Fly)).
K_Giles,1291,N Buss,6835,2016-09-25,Nick Buss struck out swinging.
K_Giles,1291,P Fielder,4613,2016-05-21,Prince Fielder flied out to left (Fliner (Liner)).
K_Giles,1291,Y Alonso,2530,2016-08-30,Yonder Alonso struck out swinging.
K_Giles,1291,G Garcia,1095,2016-08-16,Greg Garcia struck out swinging.
K_Giles,1291,J Lowrie,4418,2016-04-29,Jed Lowrie hit a sacrifice fly to right (Fly). Billy Burns scored.
K_Giles,1291,C Dickerson,1076,2016-08-26,Corey Dickerson flied out to center (Fliner (Fly)).
K_Giles,1291,M Trout,1015,2016-07-23,Mike Trout struck out swinging.
K_Giles,1291,E Hosmer,3516,2016-06-25,Eric Hosmer grounded out to shortstop (Grounder).
K_Giles,1291,T Pham,2967,2016-08-16,Tommy Pham struck out swinging.
K_Giles,1291,J Kipnis,9776,2016-05-09,Jason Kipnis struck out swinging.
K_Giles,1291,B McCann,4810,2016-04-07,Brian McCann struck out looking.
K_Giles,1291,C Beltran,589&,2016-04-07,Carlos Beltran flied out to left (Fliner (Liner)).
K_Giles,1291,E Nunez,6848,2016-05-02,Eduardo Nunez struck out swinging.
K_Giles,1291,B Dozier,9810,2016-05-02,Brian Dozier struck out swinging.
K_Giles,1291,D Santana,1032,2016-08-11,Danny Santana struck out swinging.
