playername,playerid,vsname,vsid,date,Play
K_Graveman,1551,I Desmond,6885,2016-09-16,Ian Desmond grounded out to shortstop (Grounder). Carlos Gomez out at second.
K_Graveman,1551,A Lind,8027,2016-05-02,Adam Lind grounded into a double play to shortstop (Grounder). Robinson Cano advanced to 3B. Nelson Cruz out at second.
K_Graveman,1551,C Iannetta,8267,2016-05-02,Chris Iannetta flied out to center (Fly). Nelson Cruz out at third.
K_Graveman,1551,C Headley,4720,2016-04-20,Chase Headley grounded into a double play to second (Grounder). Alex Rodriguez out at second.
K_Graveman,1551,B Holt,9345,2016-09-04,Brock Holt lined out to shortstop (Liner).
K_Graveman,1551,Y Moncada,1723,2016-09-04,Yoan Moncada grounded out to first (Grounder).
K_Graveman,1551,Z Cozart,2616,2016-06-12,Zack Cozart grounded out to second (Grounder).
K_Graveman,1551,G Springer,1285,2016-07-18,George Springer grounded into a double play to pitcher (Grounder). Jason Castro out at second.
K_Graveman,1551,A Jones,6368,2016-05-08,Adam Jones grounded into a double play to shortstop (Grounder). Chris Davis out at second.
K_Graveman,1551,A Simmons,1084,2016-06-23,Andrelton Simmons flied out to center (Fly).
K_Graveman,1551,A Simmons,1084,2016-04-12,Andrelton Simmons grounded into a double play to third (Grounder). Albert Pujols scored. Kole Calhoun out at second.
K_Graveman,1551,S Pearce,9957,2016-05-14,Steve Pearce lined out to third (Liner).
K_Graveman,1551,C Gimenez,7324,2016-07-29,Chris Gimenez reached on fielder's choice to shortstop (Grounder). Tyler Naquin out at second.
K_Graveman,1551,K Seager,9785,2016-05-02,Kyle Seager flied out to left (Fliner (Fly)).
K_Graveman,1551,E Escobar,6153,2016-05-30,Eduardo Escobar grounded into a double play to second (Grounder). Oswaldo Arcia out at second.
K_Graveman,1551,R Cano,3269,2016-09-10,Robinson Cano grounded into a double play to shortstop (Grounder). Nori Aoki scored. Seth Smith out at second.
K_Graveman,1551,C Gomez,4881,2016-07-09,Carlos Gomez grounded into a double play to second (Grounder). Luis Valbuena out at second.
K_Graveman,1551,J Choi,5452,2016-08-03,Ji-Man Choi struck out swinging.
K_Graveman,1551,D Nava,5450,2016-06-23,Daniel Nava grounded into a double play to pitcher (Grounder). C.J. Cron out at second.
K_Graveman,1551,C Rasmus,9893,2016-07-18,Colby Rasmus struck out swinging.
K_Graveman,1551,L Chisenhall,7571,2016-07-29,Lonnie Chisenhall reached on fielder's choice to first (Grounder). Jose Ramirez out at second.
K_Graveman,1551,J Mauer,1857,2016-05-30,Joe Mauer grounded into a double play to second (Grounder). Brian Dozier out at second.
K_Graveman,1551,E Rosario,1215,2016-07-04,Eddie Rosario grounded out to first (Grounder).
K_Graveman,1551,S Castro,4579,2016-05-19,Starlin Castro lined out to third (Liner).
K_Graveman,1551,D Ortiz,745&,2016-09-04,David Ortiz struck out swinging.
K_Graveman,1551,J Hardy,3797,2016-08-08,J.J. Hardy reached on fielder's choice to shortstop (Grounder). Matt Wieters out at second.
K_Graveman,1551,J Giavotella,6740,2016-04-12,Johnny Giavotella struck out swinging.
K_Graveman,1551,M Sano,1216,2016-05-30,Miguel Sano flied out to shortstop (Fly).
