playername,playerid,vsname,vsid,date,Play
K_Johnson,2234,J Barrett,1332,2016-08-10,Kelly Johnson homered (Fliner (Fly)). Alejandro De Aza scored.
K_Johnson,2234,D Alvarez,1423,2016-06-25,Kelly Johnson homered (Fliner (Fly)).
K_Johnson,2234,J Verlander,8700,2016-08-05,Kelly Johnson homered (Fliner (Fly)). Jay Bruce scored.
K_Johnson,2234,N Eovaldi,9132,2016-08-04,Kelly Johnson homered (Fliner (Liner)).
K_Johnson,2234,D Phelps,6316,2016-05-27,Kelly Johnson doubled to left (Fly).
K_Johnson,2234,T Koehler,6570,2016-04-16,Kelly Johnson doubled to center (Fliner (Fly)). A.J. Pierzynski scored.
K_Johnson,2234,R Stephenson,1359,2016-09-05,Kelly Johnson homered (Fliner (Fly)).
K_Johnson,2234,J Familia,5114,2016-04-24,Kelly Johnson singled to left (Fliner (Liner)).
K_Johnson,2234,J Eickhoff,1266,2016-10-02,Kelly Johnson hit a ground rule double (Fly).
K_Johnson,2234,F Rivero,1207,2016-04-12,Kelly Johnson doubled to right (Fliner (Fly)). Gordon Beckham scored.
K_Johnson,2234,J Nelson,1054,2016-05-24,Kelly Johnson walked. Nick Markakis advanced to 3B. Tyler Flowers advanced to 2B.
K_Johnson,2234,H Strickland,7836,2016-08-19,Kelly Johnson reached on fielder's choice to first (Grounder). Jose Reyes advanced to 2B.
K_Johnson,2234,J Guerra,5702,2016-06-10,Kelly Johnson doubled to center (Fliner (Fly)).
K_Johnson,2234,C Green,1555,2016-08-03,Kelly Johnson doubled to right (Grounder).
K_Johnson,2234,J Dominguez,1157,2016-08-13,Kelly Johnson hit a sacrifice fly to center (Fly). Wilmer Flores scored. Alejandro De Aza advanced to 3B.
K_Johnson,2234,D Law,1313,2016-08-18,Kelly Johnson walked. Wilmer Flores advanced to 3B. Travis d'Arnaud advanced to 2B.
K_Johnson,2234,C Murray,1226,2016-10-02,Kelly Johnson singled to center (Liner).
K_Johnson,2234,V Velasquez,1118,2016-05-12,Kelly Johnson walked. Freddie Freeman advanced to 2B.
K_Johnson,2234,J Lackey,1507,2016-06-30,Kelly Johnson walked.
K_Johnson,2234,K Hendricks,1204,2016-07-20,Kelly Johnson singled to first (Grounder). Travis d'Arnaud advanced to 3B.
K_Johnson,2234,A Reed,1058,2016-04-22,Kelly Johnson reached on error to shortstop (Grounder). Error by Asdrubal Cabrera.
K_Johnson,2234,Z Curtis,1668,2016-05-08,Kelly Johnson walked. Nick Markakis advanced to 3B. Freddie Freeman advanced to 2B.
K_Johnson,2234,B Shipley,1515,2016-08-11,Kelly Johnson walked.
K_Johnson,2234,A Wilson,9239,2016-08-06,Kelly Johnson singled to center (Fliner (Liner)).
K_Johnson,2234,C Martinez,1168,2016-04-09,Kelly Johnson reached on error to shortstop (Grounder). Error by Aledmys Diaz.
K_Johnson,2234,S Strasburg,1013,2016-04-14,Kelly Johnson walked.
K_Johnson,2234,B Shipley,1515,2016-08-16,Kelly Johnson walked.
K_Johnson,2234,V Velasquez,1118,2016-08-28,Kelly Johnson singled to right (Liner). Asdrubal Cabrera advanced to 2B.
