playername,playerid,vsname,vsid,date,Play
K_Lohse,739&,J Centeno,7168,2016-07-09,Juan Centeno flied out to center (Fly).
K_Lohse,739&,D Nava,5450,2016-07-19,Daniel Nava flied out to left (Fliner (Fly)).
K_Lohse,739&,A Simmons,1084,2016-07-19,Andrelton Simmons flied out to center (Fliner (Fly)).
K_Lohse,739&,M Sano,1216,2016-07-09,Miguel Sano struck out looking.
K_Lohse,739&,D Nava,5450,2016-07-19,Daniel Nava grounded out to first (Grounder).
K_Lohse,739&,M Kepler,1214,2016-07-09,Max Kepler grounded out to second (Grounder).
K_Lohse,739&,D Santana,1032,2016-07-09,Danny Santana reached on fielder's choice to third (Grounder). Juan Centeno out at second.
K_Lohse,739&,E Nunez,6848,2016-07-09,Eduardo Nunez fouled out to catcher (Fliner (Fly)).
K_Lohse,739&,G Petit,3812,2016-07-19,Gregorio Petit flied out to left (Fliner (Fly)).
K_Lohse,739&,E Nunez,6848,2016-07-09,Eduardo Nunez flied out to center (Fly).
K_Lohse,739&,G Petit,3812,2016-07-19,Gregorio Petit grounded out to shortstop (Grounder).
K_Lohse,739&,K Vargas,1210,2016-07-09,Kennys Vargas grounded out to first (Grounder).
K_Lohse,739&,Y Escobar,4191,2016-07-19,Yunel Escobar grounded out to shortstop (Grounder).
K_Lohse,739&,J Centeno,7168,2016-07-09,Juan Centeno struck out swinging.
K_Lohse,739&,M Kepler,1214,2016-07-09,Max Kepler walked. Miguel Sano advanced to 2B.
K_Lohse,739&,J Mauer,1857,2016-07-09,Joe Mauer singled to right (Fliner (Liner)).
K_Lohse,739&,J Bandy,1250,2016-07-19,Jett Bandy hit a sacrifice fly to center (Fliner (Fly)). Andrelton Simmons scored.
K_Lohse,739&,M Trout,1015,2016-07-19,Mike Trout was intentionally walked.
K_Lohse,739&,K Calhoun,1120,2016-07-19,Kole Calhoun walked.
K_Lohse,739&,E Rosario,1215,2016-07-09,Eddie Rosario singled to right (Grounder).
K_Lohse,739&,E Rosario,1215,2016-07-09,Eddie Rosario doubled to center (Fliner (Liner)). Kennys Vargas advanced to 3B.
K_Lohse,739&,J Centeno,7168,2016-07-09,Juan Centeno singled to right (Fliner (Liner)). Kennys Vargas scored. Eddie Rosario scored.
K_Lohse,739&,M Trout,1015,2016-07-19,Mike Trout doubled to center (Fliner (Fly)). Kole Calhoun advanced to 3B.
K_Lohse,739&,E Nunez,6848,2016-07-09,Eduardo Nunez homered (Fliner (Fly)). Danny Santana scored.
K_Lohse,739&,A Pujols,1177,2016-07-19,Albert Pujols homered (Fly). Kole Calhoun scored. Mike Trout scored.
