playername,playerid,vsname,vsid,date,Play
K_Suzuki,8259,D Robertson,8241,2016-09-04,Kurt Suzuki doubled to center (Fliner (Liner)). Logan Schafer scored.
K_Suzuki,8259,A Sanchez,3284,2016-09-14,Kurt Suzuki homered (Fly). Max Kepler scored. Kennys Vargas scored.
K_Suzuki,8259,F Liriano,3201,2016-08-26,Kurt Suzuki doubled to center (Fliner (Liner)). Max Kepler scored. Eduardo Escobar scored.
K_Suzuki,8259,C Anderson,1279,2016-04-26,Kurt Suzuki singled to center (Fliner (Liner)). Byung-ho Park scored.
K_Suzuki,8259,C Anderson,6895,2016-04-18,Kurt Suzuki doubled to center (Fly). Eduardo Escobar scored.
K_Suzuki,8259,B Oberholtzer,3855,2016-06-21,Kurt Suzuki homered (Fly). Byung-ho Park scored.
K_Suzuki,8259,M Tanaka,1576,2016-06-24,Kurt Suzuki doubled to left (Liner). Byung-ho Park advanced to 3B.
K_Suzuki,8259,A Colome,6661,2016-06-03,Kurt Suzuki was hit by a pitch.
K_Suzuki,8259,H Santiago,4026,2016-06-15,Kurt Suzuki singled to center (Fliner (Fly)). Brian Dozier scored. Max Kepler advanced to 2B.
K_Suzuki,8259,C Sabathia,404&,2016-06-16,Kurt Suzuki doubled to left (Liner). Max Kepler advanced to 3B.
K_Suzuki,8259,F Rodriguez,7558,2016-05-31,Kurt Suzuki singled to left (Liner). Robbie Grossman scored.
K_Suzuki,8259,C Withrow,7161,2016-07-27,Kurt Suzuki reached on error to third (Grounder). Error by Adonis Garcia.
K_Suzuki,8259,D Duffy,3542,2016-08-21,Kurt Suzuki singled to pitcher (Grounder). Eduardo Escobar advanced to 3B on error. Kurt Suzuki Error by Danny Duffy.
K_Suzuki,8259,B Shaw,8110,2016-09-10,Kurt Suzuki walked.
K_Suzuki,8259,Y Ventura,1185,2016-08-12,Kurt Suzuki doubled to left (Liner).
K_Suzuki,8259,J Wilson,4301,2016-04-29,Kurt Suzuki walked.
K_Suzuki,8259,S Armstrong,1285,2016-08-30,Kurt Suzuki walked. Eduardo Escobar advanced to 3B. Eddie Rosario advanced to 2B.
K_Suzuki,8259,M Clevinger,1280,2016-08-04,Kurt Suzuki singled to center (Liner). Miguel Sano scored. Robbie Grossman advanced to 3B.
K_Suzuki,8259,W Chen,1307,2016-06-08,Kurt Suzuki singled to right (Liner). Byung-ho Park scored. Oswaldo Arcia advanced to 3B.
K_Suzuki,8259,D Betances,6216,2016-06-19,Kurt Suzuki doubled to left (Liner). Max Kepler scored.
K_Suzuki,8259,J Quintana,1142,2016-06-28,Kurt Suzuki doubled to left (Fliner (Fly)).
K_Suzuki,8259,C Sabathia,404&,2016-06-16,Kurt Suzuki singled to third (Liner). Max Kepler advanced to 3B.
K_Suzuki,8259,K Giles,1291,2016-08-09,Kurt Suzuki doubled to right (Fliner (Fly)).
K_Suzuki,8259,M Fiers,7754,2016-08-09,Kurt Suzuki walked.
K_Suzuki,8259,E Ramirez,1031,2016-06-02,Kurt Suzuki singled to left (Grounder).
K_Suzuki,8259,C Rodon,1613,2016-04-13,Kurt Suzuki walked.
K_Suzuki,8259,J Verlander,8700,2016-05-18,Kurt Suzuki singled to left (Grounder).
K_Suzuki,8259,M Clevinger,1280,2016-08-04,Kurt Suzuki walked.
K_Suzuki,8259,J Tomlin,9388,2016-07-17,Kurt Suzuki was hit by a pitch. Eduardo Escobar advanced to 2B.
K_Suzuki,8259,J Verlander,8700,2016-07-20,Kurt Suzuki singled to center (Fliner (Fly)).
K_Suzuki,8259,T Kahnle,1138,2016-09-01,Kurt Suzuki doubled to center (Fliner (Liner)). Jorge Polanco scored.
K_Suzuki,8259,M Stroman,1343,2016-05-22,Kurt Suzuki was hit by a pitch.
K_Suzuki,8259,M Pineda,5372,2016-06-25,Kurt Suzuki singled to right (Grounder).
K_Suzuki,8259,E Surkamp,2540,2016-05-31,Kurt Suzuki singled to right (Liner).
K_Suzuki,8259,J Zimmermann,4505,2016-05-16,Kurt Suzuki homered (Fly). Eddie Rosario scored.
K_Suzuki,8259,A Morgan,1258,2016-06-22,Kurt Suzuki singled to right (Liner).
K_Suzuki,8259,A Sanchez,3284,2016-07-19,Kurt Suzuki singled to left (Liner).
K_Suzuki,8259,M Fulmer,1321,2016-04-29,Kurt Suzuki singled to center (Grounder).
K_Suzuki,8259,C Hamels,4972,2016-07-03,Kurt Suzuki singled to left (Liner).
K_Suzuki,8259,D Gee,7396,2016-08-13,Kurt Suzuki singled to center (Fliner (Liner)).
K_Suzuki,8259,B Rondon,5766,2016-08-24,Kurt Suzuki reached on error to left (Fliner (Liner)). Max Kepler advanced to 2B on error. Error by Justin Upton.
K_Suzuki,8259,D Gee,7396,2016-08-18,Kurt Suzuki singled to center (Fliner (Liner)).
K_Suzuki,8259,J Familia,5114,2016-09-16,Kurt Suzuki walked.
K_Suzuki,8259,S Manaea,1587,2016-07-05,Kurt Suzuki grounded out to first (Grounder). Kennys Vargas scored. Danny Santana advanced to 2B.
K_Suzuki,8259,D Salazar,5867,2016-08-01,Kurt Suzuki doubled to center (Fliner (Fly)).
K_Suzuki,8259,M Estrada,1118,2016-05-19,Kurt Suzuki walked.
K_Suzuki,8259,C Rodon,1613,2016-09-02,Kurt Suzuki singled to center (Grounder).
K_Suzuki,8259,C Ramos,3357,2016-07-10,Kurt Suzuki doubled to center (Fliner (Fly)). Robbie Grossman scored. Eddie Rosario scored.
K_Suzuki,8259,D Salazar,5867,2016-04-25,Kurt Suzuki walked.
K_Suzuki,8259,A Alburquerque,6324,2016-06-13,Kurt Suzuki singled to right (Fliner (Fly)). Brian Dozier scored. Max Kepler advanced to 3B.
K_Suzuki,8259,J Odorizzi,6397,2016-06-03,Kurt Suzuki singled to pitcher (Grounder).
K_Suzuki,8259,G Gonzalez,7448,2016-04-22,Kurt Suzuki singled to right (Liner). Eduardo Escobar advanced to 2B.
K_Suzuki,8259,C Gonzalez,1466,2016-07-07,Kurt Suzuki walked.
K_Suzuki,8259,S Tolleson,1048,2016-07-10,Kurt Suzuki singled to left (Grounder).
K_Suzuki,8259,D Hernandez,4259,2016-06-22,Kurt Suzuki walked.
