playername,playerid,vsname,vsid,date,Play
K_Uehara,9227,C Perez,1064,2016-07-01,Carlos Perez reached on fielder's choice to pitcher (Bunt Grounder). Johnny Giavotella out at home.
K_Uehara,9227,E Carrera,9048,2016-09-30,Ezequiel Carrera flied out to shortstop (Fly).
K_Uehara,9227,K Calhoun,1120,2016-07-01,Kole Calhoun struck out swinging.
K_Uehara,9227,J Bautista,1887,2016-04-08,Jose Bautista grounded out to pitcher (Grounder).
K_Uehara,9227,P Fielder,4613,2016-06-24,Prince Fielder struck out swinging.
K_Uehara,9227,M Teixeira,1281,2016-09-18,Mark Teixeira flied out to center (Fly).
K_Uehara,9227,D Castro,1545,2016-04-25,Daniel Castro struck out swinging.
K_Uehara,9227,E Andrus,8709,2016-06-24,Elvis Andrus struck out swinging.
K_Uehara,9227,K Johnson,2234,2016-04-25,Kelly Johnson flied out to second (Fly).
K_Uehara,9227,J Abreu,1567,2016-06-22,Jose Abreu struck out swinging.
K_Uehara,9227,M Kepler,1214,2016-06-12,Max Kepler struck out swinging.
K_Uehara,9227,A Romine,5491,2016-09-18,Austin Romine struck out looking.
K_Uehara,9227,C Headley,4720,2016-05-01,Chase Headley grounded out to first (Grounder). Starlin Castro advanced to 3B.
K_Uehara,9227,R Odor,1228,2016-06-24,Rougned Odor struck out swinging.
K_Uehara,9227,M Wieters,4298,2016-04-11,Matt Wieters struck out swinging.
K_Uehara,9227,M Saunders,9981,2016-05-29,Michael Saunders flied out to right (Fliner (Fly)).
K_Uehara,9227,B McCann,4810,2016-07-15,Brian McCann struck out swinging.
K_Uehara,9227,T Plouffe,7462,2016-06-12,Trevor Plouffe grounded out to second (Grounder).
K_Uehara,9227,J Kipnis,9776,2016-04-05,Jason Kipnis flied out to center (Fly).
K_Uehara,9227,C Davis,9272,2016-09-14,Chris Davis flied out to right (Fly). Manny Machado out at second.
K_Uehara,9227,K Pillar,1243,2016-04-08,Kevin Pillar sacrificed to pitcher (Bunt Grounder). Ezequiel Carrera advanced to 2B.
K_Uehara,9227,E Gattis,1100,2016-04-24,Evan Gattis flied out to shortstop (Fly).
K_Uehara,9227,P Alvarez,2495,2016-04-13,Pedro Alvarez grounded out to third (Grounder).
K_Uehara,9227,M Teixeira,1281,2016-05-01,Mark Teixeira struck out swinging.
K_Uehara,9227,L Morrison,9205,2016-07-08,Logan Morrison flied out to center (Fly).
K_Uehara,9227,H Kim,1871,2016-04-13,Hyun Soo Kim flied out to center (Fliner (Fly)).
K_Uehara,9227,B Gardner,9927,2016-04-29,Brett Gardner struck out swinging.
K_Uehara,9227,C Headley,4720,2016-09-28,Chase Headley flied out to center (Fly).
K_Uehara,9227,J Bautista,1887,2016-05-29,Jose Bautista struck out swinging.
K_Uehara,9227,M Trumbo,6876,2016-09-22,Mark Trumbo struck out swinging.
K_Uehara,9227,C Davis,9272,2016-09-20,Chris Davis flied out to left (Fly).
K_Uehara,9227,D Navarro,3179,2016-05-04,Dioner Navarro flied out to right (Fliner (Fly)).
K_Uehara,9227,D Gregorius,6012,2016-09-28,Didi Gregorius struck out swinging.
K_Uehara,9227,C Beltran,589&,2016-04-29,Carlos Beltran flied out to left (Fly).
K_Uehara,9227,B Miller,1277,2016-07-08,Brad Miller struck out looking.
K_Uehara,9227,R Martin,4616,2016-04-15,Russell Martin struck out swinging.
K_Uehara,9227,M Napoli,3057,2016-05-22,Mike Napoli flied out to left (Fliner (Liner)).
K_Uehara,9227,C Blackmon,7859,2016-05-24,Charlie Blackmon struck out swinging.
K_Uehara,9227,A Hicks,5297,2016-09-28,Aaron Hicks flied out to center (Fly).
K_Uehara,9227,J Marisnick,1133,2016-05-13,Jake Marisnick flied out to left (Fly).
K_Uehara,9227,K Pillar,1243,2016-04-09,Kevin Pillar grounded out to third (Grounder).
K_Uehara,9227,M Machado,1149,2016-09-20,Manny Machado flied out to shortstop (Fly).
K_Uehara,9227,A Jackson,9848,2016-05-04,Austin Jackson flied out to right (Fly).
K_Uehara,9227,P Tucker,1363,2016-04-24,Preston Tucker struck out swinging.
K_Uehara,9227,R Cano,3269,2016-06-18,Robinson Cano flied out to left (Fly).
K_Uehara,9227,K Pillar,1243,2016-04-15,Kevin Pillar struck out looking.
K_Uehara,9227,N Franklin,1016,2016-09-24,Nick Franklin flied out to right (Fly).
K_Uehara,9227,M Saunders,9981,2016-06-03,Michael Saunders struck out looking.
K_Uehara,9227,J Jay,5227,2016-09-07,Jon Jay struck out swinging.
K_Uehara,9227,C Dickerson,1076,2016-07-09,Corey Dickerson out on a dropped third strike.
K_Uehara,9227,J Donaldson,5038,2016-04-09,Josh Donaldson struck out swinging.
K_Uehara,9227,N Arenado,9777,2016-05-24,Nolan Arenado struck out swinging.
K_Uehara,9227,M Trumbo,6876,2016-09-20,Mark Trumbo struck out swinging.
K_Uehara,9227,A Pujols,1177,2016-07-03,Albert Pujols fouled out to catcher (Fly).
K_Uehara,9227,D Jennings,1965,2016-06-28,Desmond Jennings struck out looking.
K_Uehara,9227,B Wallace,8434,2016-09-07,Brett Wallace struck out swinging.
K_Uehara,9227,E Encarnacion,2151,2016-05-27,Edwin Encarnacion flied out to third (Fly).
K_Uehara,9227,M Saunders,9981,2016-05-27,Michael Saunders struck out swinging.
K_Uehara,9227,M Kepler,1214,2016-06-11,Max Kepler flied out to shortstop (Fliner (Fly)).
K_Uehara,9227,D Gregorius,6012,2016-09-16,Didi Gregorius grounded out to third (Grounder).
K_Uehara,9227,O Arcia,1030,2016-06-28,Oswaldo Arcia flied out to center (Fly).
K_Uehara,9227,K Pillar,1243,2016-06-03,Kevin Pillar struck out swinging.
K_Uehara,9227,E Hosmer,3516,2016-05-17,Eric Hosmer flied out to shortstop (Fly).
K_Uehara,9227,C Headley,4720,2016-09-16,Chase Headley flied out to center (Fliner (Fly)).
K_Uehara,9227,A Escobar,6310,2016-05-17,Alcides Escobar fouled out to first (Fly).
K_Uehara,9227,B Buxton,1416,2016-06-11,Byron Buxton struck out swinging.
K_Uehara,9227,D Pompey,1279,2016-09-09,Dalton Pompey struck out swinging.
K_Uehara,9227,L Forsythe,7185,2016-06-27,Logan Forsythe struck out swinging.
K_Uehara,9227,D Ceciliani,9954,2016-09-09,Darrell Ceciliani struck out swinging.
K_Uehara,9227,E Carrera,9048,2016-09-09,Ezequiel Carrera flied out to right (Fliner (Liner)).
K_Uehara,9227,S Vogt,5000,2016-05-11,Stephen Vogt singled to left (Fliner (Liner)).
