playername,playerid,vsname,vsid,date,Play
K_Waldrop,1140,R Weber,1016,2016-06-13,Kyle Waldrop singled to right (Liner). Eugenio Suarez scored. Tyler Holt advanced to 3B.
K_Waldrop,1140,K Graveman,1551,2016-06-12,Kyle Waldrop walked. Ramon Cabrera advanced to 2B.
K_Waldrop,1140,S Gray,1276,2016-06-10,Kyle Waldrop singled to right (Liner).
K_Waldrop,1140,J Teheran,6797,2016-06-14,Kyle Waldrop reached on error to second (Grounder). Error by Jace Peterson.
K_Waldrop,1140,S Solis,1145,2016-06-05,Kyle Waldrop struck out swinging.
K_Waldrop,1140,T Lyons,1133,2016-06-08,Kyle Waldrop grounded out to first (Grounder). Brandon Phillips advanced to 3B.
K_Waldrop,1140,M Wisler,1280,2016-06-16,Kyle Waldrop grounded out to second (Grounder).
K_Waldrop,1140,C Ramos,3357,2016-06-21,Kyle Waldrop flied out to right (Fly). Jay Bruce advanced to 3B.
K_Waldrop,1140,C Lewis,1259,2016-06-21,Kyle Waldrop flied out to center (Fly).
K_Waldrop,1140,M Wisler,1280,2016-06-16,Kyle Waldrop grounded out to second (Grounder).
K_Waldrop,1140,B Treinen,1257,2016-06-04,Kyle Waldrop was caught stealing.
K_Waldrop,1140,M Wisler,1280,2016-06-16,Kyle Waldrop struck out swinging.
