playername,playerid,vsname,vsid,date,Play
K_Yates,9073,S Choo,3174,2016-06-27,Shin-Soo Choo struck out looking.
K_Yates,9073,P Alvarez,2495,2016-06-03,Pedro Alvarez struck out swinging.
K_Yates,9073,T Saladino,1080,2016-05-15,Tyler Saladino was caught stealing.
K_Yates,9073,D Pedroia,8370,2016-05-06,Dustin Pedroia lined out to shortstop (Liner).
K_Yates,9073,N Reimold,3441,2016-06-05,Nolan Reimold struck out swinging.
K_Yates,9073,J Schoop,1126,2016-06-05,Jonathan Schoop flied out to shortstop (Fly).
K_Yates,9073,T White,1556,2016-04-07,Tyler White struck out swinging.
K_Yates,9073,L Martin,1184,2016-04-15,Leonys Martin struck out looking.
K_Yates,9073,J Bautista,1887,2016-09-26,Jose Bautista reached on fielder's choice to shortstop (Grounder). Edwin Encarnacion out at second.
K_Yates,9073,M Trumbo,6876,2016-10-01,Mark Trumbo singled to right (Liner). Manny Machado out at third.
K_Yates,9073,C Gomez,4881,2016-04-07,Carlos Gomez struck out swinging.
K_Yates,9073,J Bautista,1887,2016-06-01,Jose Bautista flied out to first (Fliner (Fly)).
K_Yates,9073,S Perez,7304,2016-05-09,Salvador Perez struck out swinging.
K_Yates,9073,H Kim,1871,2016-10-01,Hyun Soo Kim grounded out to pitcher (Grounder).
K_Yates,9073,D LeMahieu,9874,2016-06-14,DJ LeMahieu struck out swinging.
K_Yates,9073,M Semien,1253,2016-05-20,Marcus Semien lined out to shortstop (Liner).
K_Yates,9073,K Pillar,1243,2016-09-26,Kevin Pillar grounded out to third (Grounder).
K_Yates,9073,J Dyson,4866,2016-05-09,Jarrod Dyson grounded out to shortstop (Grounder).
K_Yates,9073,D Valencia,6364,2016-05-20,Danny Valencia grounded out to third (Grounder).
K_Yates,9073,J Thole,9689,2016-05-24,Josh Thole flied out to left (Fliner (Fly)).
K_Yates,9073,R Cano,3269,2016-08-22,Robinson Cano flied out to center (Fliner (Fly)).
K_Yates,9073,D Travis,1386,2016-09-26,Devon Travis struck out swinging.
K_Yates,9073,J Smoak,9054,2016-04-13,Justin Smoak struck out swinging.
K_Yates,9073,B Miller,1277,2016-05-27,Brad Miller flied out to left (Fly).
K_Yates,9073,J Smolinski,5408,2016-05-20,Jake Smolinski flied out to right (Fliner (Fly)).
K_Yates,9073,R Rua,1240,2016-06-27,Ryan Rua struck out swinging.
K_Yates,9073,E Encarnacion,2151,2016-05-24,Edwin Encarnacion flied out to right (Fly).
K_Yates,9073,K Davis,9112,2016-05-20,Khris Davis struck out swinging.
K_Yates,9073,B Burns,1270,2016-04-21,Billy Burns struck out looking.
K_Yates,9073,I Kinsler,6195,2016-04-09,Ian Kinsler grounded out to second (Grounder). Mike Aviles scored.
K_Yates,9073,J Rickard,1327,2016-05-03,Joey Rickard grounded out to shortstop (Grounder).
K_Yates,9073,R Grossman,5254,2016-06-19,Robbie Grossman struck out swinging.
K_Yates,9073,M Upton Jr.,5015,2016-08-17,Melvin Upton Jr. struck out swinging.
K_Yates,9073,M Cabrera,1744,2016-06-11,Miguel Cabrera grounded out to third (Grounder).
K_Yates,9073,M McBride,9373,2016-05-20,Matt McBride flied out to center (Fliner (Fly)).
K_Yates,9073,L Cain,9077,2016-05-09,Lorenzo Cain grounded out to shortstop (Grounder).
K_Yates,9073,J Mauer,1857,2016-06-19,Joe Mauer grounded out to first (Grounder).
K_Yates,9073,K Seager,9785,2016-08-22,Kyle Seager grounded out to second (Grounder).
K_Yates,9073,C Maybin,5223,2016-06-11,Cameron Maybin grounded out to second (Grounder). Ian Kinsler advanced to 3B.
K_Yates,9073,D LeMahieu,9874,2016-06-21,DJ LeMahieu struck out swinging.
K_Yates,9073,R Mondesi,1376,2016-08-29,Raul Mondesi struck out looking.
K_Yates,9073,H Ramirez,8001,2016-09-16,Hanley Ramirez flied out to center (Fly).
K_Yates,9073,D Butera,3411,2016-08-29,Drew Butera struck out looking.
K_Yates,9073,N Aoki,1307,2016-04-15,Nori Aoki grounded out to second (Grounder). Ketel Marte advanced to 3B.
