playername,playerid,vsname,vsid,date,Play
L_Forsythe,7185,B Cecil,2660,2016-04-05,Logan Forsythe homered (Fliner (Fly)). Kevin Kiermaier scored.
L_Forsythe,7185,C Kluber,2429,2016-04-12,Logan Forsythe homered (Fliner (Fly)). Kevin Kiermaier scored.
L_Forsythe,7185,J Tazawa,4079,2016-08-31,Logan Forsythe singled to center (Liner). Nick Franklin scored. Tim Beckham scored. Matt Duffy advanced to 3B.
L_Forsythe,7185,M Montgomery,4869,2016-06-15,Logan Forsythe tripled to right (Grounder).
L_Forsythe,7185,C Sabathia,404&,2016-04-22,Logan Forsythe doubled to left (Fliner (Liner)). Steve Pearce scored. Steven Souza Jr. scored. Tim Beckham advanced to 3B.
L_Forsythe,7185,L Perdomo,1468,2016-08-15,Logan Forsythe homered (Fly). Corey Dickerson scored.
L_Forsythe,7185,S Gray,1276,2016-07-21,Logan Forsythe doubled to center (Grounder). Tim Beckham scored. Luke Maile advanced to 3B.
L_Forsythe,7185,J Happ,7410,2016-04-30,Logan Forsythe singled to center (Liner). Kevin Kiermaier scored. Logan Forsythe advanced to 2B on error. Error by Kevin Pillar.
L_Forsythe,7185,S O'Sullivan,9137,2016-07-08,Logan Forsythe homered (Fly).
L_Forsythe,7185,I Nova,1994,2016-07-29,Logan Forsythe homered (Fliner (Fly)).
L_Forsythe,7185,T Chatwood,4338,2016-07-19,Logan Forsythe doubled to left (Liner). Oswaldo Arcia scored.
L_Forsythe,7185,M Estrada,1118,2016-09-03,Logan Forsythe singled to left (Liner). Bobby Wilson advanced to 2B.
L_Forsythe,7185,M Estrada,1118,2016-08-09,Logan Forsythe homered (Fly).
L_Forsythe,7185,M Tanaka,1576,2016-09-10,Logan Forsythe doubled to center (Fliner (Fly)).
L_Forsythe,7185,Y Gallardo,8173,2016-07-15,Logan Forsythe singled to left (Grounder). Kevin Kiermaier scored.
L_Forsythe,7185,M Gonzalez,7024,2016-09-28,Logan Forsythe singled to left (Grounder).
L_Forsythe,7185,T Clippard,5640,2016-09-20,Logan Forsythe tripled to left (Fly).
L_Forsythe,7185,C Young,3196,2016-08-02,Logan Forsythe singled to right (Liner).
L_Forsythe,7185,D Keuchel,9434,2016-06-12,Logan Forsythe reached on error to third (Grounder). Desmond Jennings scored on error. Tim Beckham advanced to 3B. Curt Casali advanced to 2B on error. Error by Luis Valbuena.
L_Forsythe,7185,J Blanton,4849,2016-07-26,Logan Forsythe singled to left (Liner). Tim Beckham advanced to 2B.
L_Forsythe,7185,J Quintana,1142,2016-04-17,Logan Forsythe doubled to left (Fliner (Liner)).
L_Forsythe,7185,E Diaz,1471,2016-06-16,Logan Forsythe singled to center (Grounder).
L_Forsythe,7185,C Rasmus,2413,2016-05-06,Logan Forsythe doubled to center (Fliner (Fly)).
L_Forsythe,7185,D Price,3184,2016-06-29,Logan Forsythe hit a ground rule double (Fliner (Fly)).
L_Forsythe,7185,I Kennedy,6986,2016-08-04,Logan Forsythe walked.
L_Forsythe,7185,C Shreve,1085,2016-09-08,Logan Forsythe singled to left (Fliner (Liner)).
L_Forsythe,7185,J Benoit,1437,2016-08-08,Logan Forsythe walked.
L_Forsythe,7185,Y Gallardo,8173,2016-06-24,Logan Forsythe doubled to right (Fliner (Liner)).
L_Forsythe,7185,J Benoit,1437,2016-09-04,Logan Forsythe singled to left (Grounder).
L_Forsythe,7185,Y Ventura,1185,2016-08-02,Logan Forsythe walked.
L_Forsythe,7185,C Sabathia,404&,2016-09-08,Logan Forsythe singled to left (Grounder).
L_Forsythe,7185,R Dickey,1245,2016-04-04,Logan Forsythe walked.
L_Forsythe,7185,J Tazawa,4079,2016-04-19,Logan Forsythe walked.
L_Forsythe,7185,J Verlander,8700,2016-07-02,Logan Forsythe singled to left (Grounder).
L_Forsythe,7185,D Price,3184,2016-08-22,Logan Forsythe singled to center (Fliner (Liner)).
