playername,playerid,vsname,vsid,date,Play
L_Giolito,1547,J Peterson,1232,2016-09-07,Jace Peterson grounded into a double play to second (Grounder). Tyler Flowers out at second.
L_Giolito,1547,C Friedrich,7942,2016-07-24,Christian Friedrich flied out to pitcher (Bunt Fly).
L_Giolito,1547,J Peterson,1232,2016-09-07,Jace Peterson reached on fielder's choice to third (Grounder). Matt Kemp out at third. Tyler Flowers advanced to 2B.
L_Giolito,1547,A Cabrera,4962,2016-07-07,Asdrubal Cabrera struck out swinging.
L_Giolito,1547,N Markakis,5930,2016-09-07,Nick Markakis flied out to left (Fliner (Fly)).
L_Giolito,1547,B Nimmo,1292,2016-07-07,Brandon Nimmo reached on fielder's choice to shortstop (Grounder). Asdrubal Cabrera out at second.
L_Giolito,1547,Y Cespedes,1311,2016-07-07,Yoenis Cespedes reached on fielder's choice to shortstop (Grounder). Curtis Granderson out at second.
L_Giolito,1547,N Walker,7539,2016-06-28,Neil Walker grounded out to second (Grounder).
L_Giolito,1547,M Foltynewicz,1081,2016-09-07,Mike Foltynewicz struck out swinging.
L_Giolito,1547,J Reyes,1736,2016-07-07,Jose Reyes fouled out to catcher (Bunt Fly).
L_Giolito,1547,T d'Arnaud,7739,2016-06-28,Travis d'Arnaud grounded out to third (Grounder).
L_Giolito,1547,C Blackmon,7859,2016-08-28,Charlie Blackmon struck out looking.
L_Giolito,1547,B Colon,375&,2016-07-07,Bartolo Colon struck out swinging.
L_Giolito,1547,J Loney,4556,2016-06-28,James Loney flied out to right (Fly).
L_Giolito,1547,B Nimmo,1292,2016-07-07,Brandon Nimmo struck out swinging.
L_Giolito,1547,T Jankowski,1376,2016-07-24,Travis Jankowski flied out to center (Fly).
L_Giolito,1547,E Inciarte,4922,2016-09-07,Ender Inciarte struck out swinging.
L_Giolito,1547,Y Cespedes,1311,2016-06-28,Yoenis Cespedes grounded out to third (Grounder). Curtis Granderson advanced to 2B.
L_Giolito,1547,D LeMahieu,9874,2016-08-28,DJ LeMahieu flied out to left (Fliner (Liner)).
L_Giolito,1547,W Flores,5827,2016-06-28,Wilmer Flores grounded out to third (Grounder).
L_Giolito,1547,W Myers,1004,2016-07-24,Wil Myers flied out to second (Fliner (Fly)).
L_Giolito,1547,A Garcia,1377,2016-09-07,Adonis Garcia grounded out to shortstop (Grounder).
L_Giolito,1547,T Wolters,1147,2016-08-28,Tony Wolters grounded out to pitcher (Bunt Grounder).
L_Giolito,1547,R Schimpf,9953,2016-07-24,Ryan Schimpf lined out to second (Liner).
L_Giolito,1547,C Bettis,1058,2016-08-28,Chad Bettis grounded out to first (Grounder).
L_Giolito,1547,C Bettis,1058,2016-08-28,Chad Bettis grounded out to pitcher (Grounder).
L_Giolito,1547,M Kemp,5631,2016-07-24,Matt Kemp grounded out to shortstop (Grounder).
L_Giolito,1547,K Jensen,7706,2016-09-26,Kyle Jensen fouled out to first (Fly).
L_Giolito,1547,P Goldschmidt,9218,2016-09-26,Paul Goldschmidt grounded out to pitcher (Grounder).
L_Giolito,1547,C Owings,1003,2016-09-26,Chris Owings grounded out to shortstop (Grounder). Brandon Drury scored.
L_Giolito,1547,B Drury,1161,2016-09-26,Brandon Drury doubled to left (Fliner (Liner)).
L_Giolito,1547,M Haniger,1427,2016-09-26,Mitch Haniger walked.
L_Giolito,1547,J Segura,5933,2016-09-26,Jean Segura homered (Fly). Mitch Haniger scored.
L_Giolito,1547,G Parra,8553,2016-08-28,Gerardo Parra walked.
L_Giolito,1547,C Gonzalez,7287,2016-08-28,Carlos Gonzalez singled to center (Grounder).
L_Giolito,1547,N Arenado,9777,2016-08-28,Nolan Arenado tripled to right (Fly).
L_Giolito,1547,N Walker,7539,2016-07-07,Neil Walker singled to shortstop (Grounder). Yoenis Cespedes advanced to 2B.
L_Giolito,1547,C Granderson,4747,2016-07-07,Curtis Granderson doubled to right (Fliner (Liner)).
L_Giolito,1547,C Granderson,4747,2016-06-28,Curtis Granderson singled to left (Fliner (Liner)).
L_Giolito,1547,Y Cespedes,1311,2016-07-07,Yoenis Cespedes singled to shortstop (Grounder). Curtis Granderson advanced to 2B.
L_Giolito,1547,A Ramirez,5133,2016-07-24,Alexei Ramirez reached on error to shortstop (Grounder). Error by Danny Espinosa.
L_Giolito,1547,M Kemp,5631,2016-09-07,Matt Kemp singled to left (Liner).
L_Giolito,1547,Y Cespedes,1311,2016-06-28,Yoenis Cespedes walked.
L_Giolito,1547,F Freeman,5361,2016-09-07,Freddie Freeman singled to left (Fliner (Liner)).
L_Giolito,1547,R Schimpf,9953,2016-07-24,Alexei Ramirez advanced on a wild pitch to 2B.
L_Giolito,1547,N Arenado,9777,2016-08-28,Nolan Arenado singled to center (Liner). Charlie Blackmon scored. DJ LeMahieu advanced to 2B.
L_Giolito,1547,M Kemp,5631,2016-09-07,Matt Kemp singled to center (Liner). Freddie Freeman advanced to 2B.
L_Giolito,1547,R Schimpf,9953,2016-07-24,Ryan Schimpf singled to center (Fliner (Liner)). Alex Dickerson scored.
L_Giolito,1547,N Markakis,5930,2016-09-07,Nick Markakis singled to right (Grounder). Freddie Freeman advanced to 3B. Matt Kemp advanced to 2B.
L_Giolito,1547,D Swanson,1831,2016-09-07,Dansby Swanson homered (Fly).
L_Giolito,1547,Y Cespedes,1311,2016-07-07,Yoenis Cespedes doubled to left (Liner). Curtis Granderson scored.
L_Giolito,1547,N Arenado,9777,2016-08-28,Nolan Arenado homered (Fliner (Liner)). Carlos Gonzalez scored.
