playername,playerid,vsname,vsid,date,Play
L_Gregerson,4090,N Cruz,2434,2016-07-06,Nelson Cruz struck out swinging.
L_Gregerson,4090,M Byrd,950&,2016-05-11,Marlon Byrd grounded out to shortstop (Grounder).
L_Gregerson,4090,Y Alonso,2530,2016-08-29,Yonder Alonso grounded into a double play to pitcher (Grounder). Khris Davis out at second.
L_Gregerson,4090,J Abreu,1567,2016-05-17,Jose Abreu grounded out to third (Grounder).
L_Gregerson,4090,Y Gomes,9627,2016-05-11,Yan Gomes grounded out to shortstop (Grounder).
L_Gregerson,4090,M Trumbo,6876,2016-05-25,Mark Trumbo struck out swinging.
L_Gregerson,4090,R Cano,3269,2016-09-17,Robinson Cano struck out swinging.
L_Gregerson,4090,D Pedroia,8370,2016-05-13,Dustin Pedroia struck out swinging.
L_Gregerson,4090,D Santana,1034,2016-04-09,Domingo Santana grounded out to shortstop (Grounder).
L_Gregerson,4090,D Valencia,6364,2016-09-19,Danny Valencia grounded out to third (Grounder).
L_Gregerson,4090,C Coghlan,6878,2016-05-01,Chris Coghlan grounded out to third (Grounder).
L_Gregerson,4090,C Cron,1254,2016-06-27,C.J. Cron struck out swinging.
L_Gregerson,4090,P Alvarez,2495,2016-05-24,Pedro Alvarez struck out swinging.
L_Gregerson,4090,M Cabrera,1744,2016-04-15,Miguel Cabrera grounded out to second (Grounder).
L_Gregerson,4090,F Lindor,1291,2016-05-11,Francisco Lindor grounded out to first (Grounder).
L_Gregerson,4090,C Crisp,1572,2016-06-04,Coco Crisp struck out swinging.
L_Gregerson,4090,A Simmons,1084,2016-09-23,Andrelton Simmons flied out to first (Fly).
L_Gregerson,4090,P Goldschmidt,9218,2016-06-01,Paul Goldschmidt lined out to first (Liner).
L_Gregerson,4090,L Forsythe,7185,2016-06-11,Logan Forsythe struck out swinging.
L_Gregerson,4090,Y Alonso,2530,2016-05-01,Yonder Alonso grounded out to pitcher (Grounder).
L_Gregerson,4090,B Holt,9345,2016-04-24,Brock Holt out on a dropped third strike.
