playername,playerid,vsname,vsid,date,Play
L_Hendriks,3548,C Gomez,4881,2016-09-16,Carlos Gomez grounded out to second (Grounder).
L_Hendriks,3548,N Mazara,1455,2016-09-18,Nomar Mazara struck out swinging.
L_Hendriks,3548,A Almonte,5486,2016-08-22,Abraham Almonte struck out swinging.
L_Hendriks,3548,A Jones,6368,2016-08-09,Adam Jones flied out to second (Fly).
L_Hendriks,3548,M Moreland,3086,2016-09-16,Mitch Moreland struck out swinging.
L_Hendriks,3548,L Martin,1184,2016-09-29,Leonys Martin flied out to left (Fliner (Fly)).
L_Hendriks,3548,J Donaldson,5038,2016-07-17,Josh Donaldson fouled out to third (Fly).
L_Hendriks,3548,M Gonzalez,5497,2016-07-10,Marwin Gonzalez grounded out to first (Grounder). Jake Marisnick advanced to 3B.
L_Hendriks,3548,H Kim,1871,2016-08-09,Hyun Soo Kim grounded out to pitcher (Grounder).
L_Hendriks,3548,K Seager,9785,2016-09-11,Kyle Seager flied out to left (Fliner (Fly)).
L_Hendriks,3548,G Springer,1285,2016-07-19,George Springer flied out to right (Fly).
L_Hendriks,3548,J Ramirez,1351,2016-08-22,Jose Ramirez fouled out to catcher (Fly).
L_Hendriks,3548,J Harrison,8202,2016-07-03,Josh Harrison grounded into a double play to shortstop (Grounder). Sean Rodriguez out at second.
L_Hendriks,3548,T Tulowitzki,3531,2016-07-17,Troy Tulowitzki flied out to center (Fly).
L_Hendriks,3548,J Altuve,5417,2016-09-20,Jose Altuve was caught stealing.
L_Hendriks,3548,E Encarnacion,2151,2016-07-17,Edwin Encarnacion grounded out to shortstop (Grounder).
L_Hendriks,3548,Y Gurriel,1919,2016-09-20,Yulieski Gurriel flied out to second (Fly).
L_Hendriks,3548,J Gyorko,1081,2016-08-27,Jedd Gyorko struck out looking.
L_Hendriks,3548,M Gonzalez,5497,2016-07-19,Marwin Gonzalez fouled out to first (Fly).
L_Hendriks,3548,T Hernandez,1306,2016-08-31,Teoscar Hernandez flied out to center (Fly).
L_Hendriks,3548,B Wilson,6564,2016-07-25,Bobby Wilson fouled out to first (Fly).
L_Hendriks,3548,J Abreu,1567,2016-08-21,Jose Abreu lined out to shortstop (Liner).
L_Hendriks,3548,J Smoak,9054,2016-07-15,Justin Smoak struck out swinging.
L_Hendriks,3548,A Lind,8027,2016-10-01,Adam Lind grounded out to shortstop (Grounder).
L_Hendriks,3548,J Altuve,5417,2016-05-01,Jose Altuve grounded into a double play to second (Grounder). Jason Castro out at second.
L_Hendriks,3548,B Moss,4467,2016-08-27,Brandon Moss struck out swinging.
L_Hendriks,3548,C Davis,9272,2016-08-09,Chris Davis grounded out to first (Grounder).
L_Hendriks,3548,E Andrus,8709,2016-09-18,Elvis Andrus flied out to right (Fliner (Fly)).
L_Hendriks,3548,C Perez,1064,2016-08-03,Carlos Perez flied out to first (Fly).
L_Hendriks,3548,T Pham,2967,2016-08-28,Tommy Pham struck out looking.
L_Hendriks,3548,Y Gurriel,1919,2016-08-31,Yulieski Gurriel flied out to left (Fly).
L_Hendriks,3548,N Cruz,2434,2016-10-01,Nelson Cruz grounded out to third (Grounder).
L_Hendriks,3548,S Marte,9241,2016-07-03,Starling Marte flied out to pitcher (Bunt Fly).
L_Hendriks,3548,Y Sanchez,1160,2016-08-21,Carlos Sanchez out on a dropped third strike.
L_Hendriks,3548,M Trout,1015,2016-09-05,Mike Trout struck out swinging.
L_Hendriks,3548,N Buss,6835,2016-09-07,Nick Buss grounded out to second (Grounder).
L_Hendriks,3548,J Profar,1081,2016-07-25,Jurickson Profar flied out to shortstop (Fly).
L_Hendriks,3548,M Trout,1015,2016-06-25,Mike Trout struck out swinging.
L_Hendriks,3548,E Encarnacion,2151,2016-07-15,Edwin Encarnacion grounded into a double play to shortstop (Grounder). Josh Donaldson out at second.
L_Hendriks,3548,R Chirinos,3142,2016-07-26,Robinson Chirinos struck out swinging.
L_Hendriks,3548,K Seager,9785,2016-10-01,Kyle Seager struck out swinging.
L_Hendriks,3548,J Giavotella,6740,2016-06-25,Johnny Giavotella flied out to center (Fliner (Fly)).
L_Hendriks,3548,C Carter,9911,2016-06-22,Chris Carter fouled out to third (Fly).
L_Hendriks,3548,C Rasmus,9893,2016-07-19,Colby Rasmus grounded out to first (Grounder).
L_Hendriks,3548,S Robinson,4249,2016-06-25,Shane Robinson flied out to right (Fliner (Liner)).
L_Hendriks,3548,J Abreu,1567,2016-04-05,Jose Abreu struck out swinging.
L_Hendriks,3548,A Simmons,1084,2016-06-19,Andrelton Simmons flied out to left (Fly).
L_Hendriks,3548,J Morneau,1737,2016-08-21,Justin Morneau struck out swinging.
L_Hendriks,3548,A Pujols,1177,2016-06-25,Albert Pujols flied out to right (Fly).
L_Hendriks,3548,C Pennington,3395,2016-08-03,Cliff Pennington grounded out to pitcher (Grounder).
L_Hendriks,3548,B McCann,4810,2016-04-21,Brian McCann struck out looking.
L_Hendriks,3548,Y Escobar,4191,2016-06-19,Yunel Escobar struck out swinging.
L_Hendriks,3548,C Cron,1254,2016-09-05,C.J. Cron grounded out to third (Grounder).
L_Hendriks,3548,T Frazier,785&,2016-04-05,Todd Frazier struck out swinging.
L_Hendriks,3548,J Shuck,6677,2016-04-07,J.B. Shuck struck out swinging.
L_Hendriks,3548,A Gose,5097,2016-04-27,Anthony Gose struck out looking.
L_Hendriks,3548,J Profar,1081,2016-08-15,Jurickson Profar struck out swinging.
L_Hendriks,3548,B Lawrie,5247,2016-04-05,Brett Lawrie flied out to first (Fly).
L_Hendriks,3548,J Marisnick,1133,2016-07-19,Jake Marisnick flied out to right (Fly).
L_Hendriks,3548,J Gyorko,1081,2016-08-28,Jedd Gyorko grounded out to third (Grounder).
L_Hendriks,3548,M Zunino,1326,2016-08-12,Mike Zunino out on a dropped third strike.
L_Hendriks,3548,M Cabrera,4022,2016-04-05,Melky Cabrera grounded out to third (Grounder).
L_Hendriks,3548,S Robinson,4249,2016-08-02,Shane Robinson struck out swinging.
L_Hendriks,3548,Y Escobar,4191,2016-04-13,Yunel Escobar flied out to right (Fliner (Fly)).
L_Hendriks,3548,K Calhoun,1120,2016-08-03,Kole Calhoun flied out to left (Fly).
L_Hendriks,3548,J Ramirez,1351,2016-07-30,Jose Ramirez struck out swinging.
L_Hendriks,3548,A Avila,7476,2016-04-05,Alex Avila fouled out to third (Fly).
L_Hendriks,3548,N Castellanos,1173,2016-04-27,Nick Castellanos struck out swinging.
L_Hendriks,3548,R Tejada,5519,2016-06-29,Ruben Tejada reached on fielder's choice to third (Grounder). Mac Williamson out at third. Conor Gillaspie advanced to 2B.
L_Hendriks,3548,B Zobrist,7435,2016-08-06,Ben Zobrist grounded out to second (Grounder). Anthony Rizzo advanced to 3B.
L_Hendriks,3548,C Stewart,3878,2016-07-01,Chris Stewart flied out to center (Fly).
L_Hendriks,3548,B Guyer,2636,2016-07-21,Brandon Guyer flied out to second (Fly).
L_Hendriks,3548,T Collins,1272,2016-04-25,Tyler Collins struck out swinging.
L_Hendriks,3548,K Cowart,1149,2016-09-05,Kaleb Cowart fouled out to third (Fly).
L_Hendriks,3548,A Escobar,6310,2016-09-14,Alcides Escobar struck out looking.
L_Hendriks,3548,A Almonte,5486,2016-07-30,Abraham Almonte struck out swinging.
L_Hendriks,3548,C Perez,1064,2016-04-11,Carlos Perez grounded out to second (Grounder).
L_Hendriks,3548,T Beckham,7949,2016-07-21,Tim Beckham flied out to second (Fly).
L_Hendriks,3548,A McCutchen,9847,2016-07-01,Andrew McCutchen grounded out to pitcher (Grounder).
L_Hendriks,3548,E Andrus,8709,2016-09-24,Elvis Andrus flied out to right (Fly).
L_Hendriks,3548,G Polanco,1290,2016-07-01,Gregory Polanco grounded out to second (Grounder).
L_Hendriks,3548,S Marte,9241,2016-07-01,Starling Marte struck out swinging.
L_Hendriks,3548,V Martinez,393&,2016-04-25,Victor Martinez flied out to left (Fly).
L_Hendriks,3548,A Jones,6368,2016-05-07,Adam Jones grounded out to shortstop (Grounder).
L_Hendriks,3548,R Martin,4616,2016-04-23,Russell Martin struck out swinging.
L_Hendriks,3548,C Gentry,9571,2016-04-11,Craig Gentry struck out swinging.
L_Hendriks,3548,J Iglesias,1023,2016-04-25,Jose Iglesias grounded out to second (Grounder). Mike Aviles advanced to 3B.
L_Hendriks,3548,N Aoki,1307,2016-05-03,Nori Aoki grounded out to first (Grounder).
L_Hendriks,3548,S Clevenger,9542,2016-05-03,Steve Clevenger struck out swinging.
L_Hendriks,3548,N Castellanos,1173,2016-04-27,Nick Castellanos flied out to right (Fly).
L_Hendriks,3548,L Sardinas,1315,2016-05-03,Luis Sardinas out on a dropped third strike.
L_Hendriks,3548,S Smith,7331,2016-05-03,Seth Smith struck out swinging.
L_Hendriks,3548,K Marte,1361,2016-05-03,Ketel Marte singled to center (Fliner (Liner)).
L_Hendriks,3548,J Abreu,1567,2016-04-07,Jose Abreu hit a sacrifice fly to right (Fliner (Fly)). Tyler Saladino scored.
L_Hendriks,3548,N Reimold,3441,2016-05-07,Nolan Reimold singled to left (Fliner (Liner)).
L_Hendriks,3548,C Pennington,3395,2016-04-11,Cliff Pennington singled to left (Fliner (Liner)).
L_Hendriks,3548,M Williamson,1415,2016-06-29,Mac Williamson walked.
L_Hendriks,3548,M Aviles,5986,2016-04-25,Mike Aviles advanced on a passed ball to 2B. Passed ball by Stephen Vogt.
L_Hendriks,3548,A Eaton,1120,2016-04-07,Adam Eaton singled to left (Liner). Dioner Navarro advanced to 3B. Tyler Saladino advanced to 2B.
L_Hendriks,3548,M Aviles,5986,2016-04-25,Mike Aviles singled to left (Grounder).
L_Hendriks,3548,J Upton,5222,2016-04-25,Justin Upton hit a sacrifice fly to center (Fly). Mike Aviles scored.
L_Hendriks,3548,J Schoop,1126,2016-05-07,Jonathan Schoop singled to center (Grounder). Nolan Reimold advanced to 2B.
L_Hendriks,3548,N Mazara,1455,2016-08-15,Nomar Mazara singled to right (Grounder).
L_Hendriks,3548,M Cabrera,4022,2016-08-21,Melky Cabrera advanced on a stolen base to 2B.
L_Hendriks,3548,A Pujols,1177,2016-04-11,Albert Pujols advanced on a stolen base to 2B.
L_Hendriks,3548,M Maldonado,6887,2016-06-22,Martin Maldonado singled to center (Grounder).
L_Hendriks,3548,M Cabrera,1744,2016-04-27,Miguel Cabrera singled to left (Liner). Ian Kinsler advanced to 2B.
L_Hendriks,3548,I Kinsler,6195,2016-04-27,Ian Kinsler singled to center (Fliner (Liner)).
L_Hendriks,3548,I Desmond,6885,2016-08-15,Ian Desmond singled to second (Grounder). Nomar Mazara advanced to 2B.
L_Hendriks,3548,A Russell,1410,2016-08-06,Addison Russell advanced on a stolen base to 2B.
L_Hendriks,3548,T Saladino,1080,2016-04-07,Tyler Saladino singled to right (Grounder). Brett Lawrie scored. Dioner Navarro advanced to 2B.
L_Hendriks,3548,M Trout,1015,2016-04-13,Mike Trout singled to left (Liner). Craig Gentry advanced to 2B.
L_Hendriks,3548,A Garcia,5760,2016-04-07,Avisail Garcia singled to center (Liner).
L_Hendriks,3548,D Gregorius,6012,2016-04-21,Didi Gregorius singled to center (Grounder).
L_Hendriks,3548,C Correa,1416,2016-08-31,Carlos Correa was intentionally walked.
L_Hendriks,3548,J Bandy,1250,2016-06-25,Jett Bandy singled to left (Grounder).
L_Hendriks,3548,T Tulowitzki,3531,2016-04-23,Troy Tulowitzki homered (Fliner (Fly)).
L_Hendriks,3548,C Gentry,9571,2016-04-13,Mike Trout advanced on a wild pitch to 2B.
L_Hendriks,3548,K Calhoun,1120,2016-06-25,Kole Calhoun singled to left (Fliner (Fly)).
L_Hendriks,3548,M Moreland,3086,2016-09-18,Mitch Moreland singled to right (Liner).
L_Hendriks,3548,J Ellsbury,4727,2016-04-21,Jacoby Ellsbury singled to center (Liner). Didi Gregorius advanced to 2B.
L_Hendriks,3548,T Frazier,785&,2016-08-21,Todd Frazier doubled to left (Fliner (Liner)).
L_Hendriks,3548,R Martin,4616,2016-07-15,Russell Martin singled to center (Grounder). Michael Saunders advanced to 2B.
L_Hendriks,3548,K Marte,1361,2016-09-29,Ketel Marte singled to second (Bunt Fly).
L_Hendriks,3548,A Pujols,1177,2016-04-13,Albert Pujols singled to center (Grounder). Craig Gentry scored. Mike Trout scored.
L_Hendriks,3548,R Odor,1228,2016-09-16,Rougned Odor advanced on a stolen base to 2B.
L_Hendriks,3548,J Bandy,1250,2016-09-05,Jett Bandy singled to center (Fliner (Liner)). Rafael Ortega scored.
L_Hendriks,3548,V Martinez,393&,2016-04-27,Victor Martinez homered (Fliner (Fly)). Ian Kinsler scored. Miguel Cabrera scored.
L_Hendriks,3548,G Springer,1285,2016-08-31,George Springer tripled to center (Fliner (Fly)).
L_Hendriks,3548,E Andrus,8709,2016-08-17,Drew Stubbs advanced on double steal to 2B.
L_Hendriks,3548,A Russell,1410,2016-08-06,Addison Russell singled to third (Grounder). Anthony Rizzo scored.
L_Hendriks,3548,A Rizzo,3473,2016-08-06,Anthony Rizzo doubled to right (Fliner (Fly)).
L_Hendriks,3548,J Altuve,5417,2016-09-20,Jose Altuve singled to left (Grounder).
L_Hendriks,3548,R Chirinos,3142,2016-09-18,Robinson Chirinos walked. Mitch Moreland advanced to 3B. Jurickson Profar advanced to 2B.
L_Hendriks,3548,C Iannetta,8267,2016-08-13,Chris Iannetta doubled to left (Grounder). Leonys Martin advanced to 3B.
L_Hendriks,3548,J Marisnick,1133,2016-07-10,Jake Marisnick advanced on a stolen base to 2B.
L_Hendriks,3548,J Marisnick,1133,2016-07-10,Jake Marisnick singled to center (Fliner (Liner)).
L_Hendriks,3548,E Andrus,8709,2016-09-16,Elvis Andrus reached on error to shortstop (Grounder). Rougned Odor advanced to 3B. Jared Hoying advanced to 2B on error. Error by Marcus Semien.
L_Hendriks,3548,J Profar,1081,2016-07-26,Jurickson Profar singled to right (Grounder).
L_Hendriks,3548,R Odor,1228,2016-09-16,Rougned Odor singled to center (Grounder).
L_Hendriks,3548,M Napoli,3057,2016-07-30,Mike Napoli homered (Fliner (Fly)). Jason Kipnis scored.
L_Hendriks,3548,K Nieuwenhuis,6400,2016-06-22,Kirk Nieuwenhuis homered (Fliner (Fly)).
L_Hendriks,3548,J Marte,5107,2016-06-26,Jefry Marte hit a sacrifice fly to right (Fly). Mike Trout scored.
L_Hendriks,3548,E Gattis,1100,2016-08-31,Evan Gattis singled to left (Fliner (Liner)). Jose Altuve scored. Carlos Correa advanced to 2B.
L_Hendriks,3548,J Altuve,5417,2016-08-31,Jose Altuve tripled to center (Fliner (Fly)). Alex Bregman scored.
