playername,playerid,vsname,vsid,date,Play
L_Hochevar,6943,A Cabrera,4962,2016-04-03,Asdrubal Cabrera struck out swinging.
L_Hochevar,6943,B Harper,1157,2016-05-03,Bryce Harper reached on fielder's choice to shortstop (Grounder). Anthony Rendon out at second.
L_Hochevar,6943,S Smith,7331,2016-07-09,Seth Smith struck out swinging.
L_Hochevar,6943,M Moreland,3086,2016-07-22,Mitch Moreland flied out to right (Fliner (Liner)).
L_Hochevar,6943,J Gyorko,1081,2016-06-30,Jedd Gyorko struck out swinging.
L_Hochevar,6943,K Suzuki,8259,2016-04-08,Kurt Suzuki reached on fielder's choice to shortstop (Grounder). Eduardo Escobar out at second.
L_Hochevar,6943,J Kipnis,9776,2016-06-02,Jason Kipnis flied out to center (Fly).
L_Hochevar,6943,D Murphy,4316,2016-05-03,Daniel Murphy flied out to left (Fly).
L_Hochevar,6943,F Lindor,1291,2016-06-02,Francisco Lindor fouled out to catcher (Fly).
L_Hochevar,6943,I Kinsler,6195,2016-04-20,Ian Kinsler struck out swinging.
L_Hochevar,6943,J Upton,5222,2016-04-20,Justin Upton flied out to right (Fly).
L_Hochevar,6943,L Valbuena,4969,2016-04-13,Luis Valbuena flied out to center (Fliner (Fly)).
L_Hochevar,6943,B Holt,9345,2016-05-17,Brock Holt grounded out to second (Grounder).
L_Hochevar,6943,A Lind,8027,2016-07-09,Adam Lind flied out to left (Fly).
L_Hochevar,6943,T Plouffe,7462,2016-04-08,Trevor Plouffe flied out to center (Fly). Joe Mauer advanced to 3B.
L_Hochevar,6943,C Headley,4720,2016-05-10,Chase Headley struck out swinging.
L_Hochevar,6943,J Murphy,1034,2016-04-10,John Ryan Murphy flied out to right (Fliner (Fly)).
L_Hochevar,6943,C Vazquez,9774,2016-05-17,Christian Vazquez grounded out to shortstop (Grounder).
L_Hochevar,6943,G Beckham,9015,2016-05-15,Gordon Beckham flied out to left (Fly).
L_Hochevar,6943,R Flaherty,7888,2016-06-06,Ryan Flaherty struck out swinging.
L_Hochevar,6943,A Jackson,9848,2016-05-20,Austin Jackson struck out looking.
L_Hochevar,6943,M Betts,1361,2016-05-17,Mookie Betts grounded out to third (Grounder).
L_Hochevar,6943,C Iannetta,8267,2016-07-09,Chris Iannetta grounded out to second (Grounder).
L_Hochevar,6943,F Lindor,1291,2016-07-18,Francisco Lindor grounded into a double play to pitcher (Grounder). Jason Kipnis out at second.
L_Hochevar,6943,I Kinsler,6195,2016-06-18,Ian Kinsler reached on fielder's choice to pitcher (Grounder). Jose Iglesias out at second.
L_Hochevar,6943,A Pierzynski,746&,2016-05-14,A.J. Pierzynski struck out swinging.
L_Hochevar,6943,B Gamel,1216,2016-05-10,Benjamin Gamel out on a dropped third strike.
L_Hochevar,6943,J Rollins,971&,2016-05-22,Jimmy Rollins struck out swinging.
L_Hochevar,6943,B Buxton,1416,2016-04-10,Byron Buxton grounded out to third (Grounder).
L_Hochevar,6943,M Sano,1216,2016-05-24,Miguel Sano struck out looking.
L_Hochevar,6943,A Pujols,1177,2016-04-27,Albert Pujols flied out to left (Fliner (Liner)).
L_Hochevar,6943,T Frazier,785&,2016-05-22,Todd Frazier fouled out to first (Fly).
L_Hochevar,6943,J Francoeur,4792,2016-05-14,Jeff Francoeur flied out to center (Fly).
L_Hochevar,6943,D Pedroia,8370,2016-05-17,Dustin Pedroia flied out to left (Fly).
L_Hochevar,6943,D Travis,1386,2016-07-06,Devon Travis struck out looking.
L_Hochevar,6943,T Tulowitzki,3531,2016-07-06,Troy Tulowitzki struck out swinging.
L_Hochevar,6943,B Gardner,9927,2016-05-10,Brett Gardner struck out swinging.
L_Hochevar,6943,E Gattis,1100,2016-04-12,Evan Gattis struck out swinging.
L_Hochevar,6943,M Sano,1216,2016-04-10,Miguel Sano struck out looking.
L_Hochevar,6943,T d'Arnaud,7739,2016-06-21,Travis d'Arnaud flied out to right (Fly).
L_Hochevar,6943,Y Gomes,9627,2016-05-08,Yan Gomes flied out to center (Fly).
L_Hochevar,6943,I Desmond,6885,2016-07-24,Ian Desmond struck out swinging.
L_Hochevar,6943,E Rosario,1215,2016-04-10,Eddie Rosario grounded out to second (Grounder).
L_Hochevar,6943,L Chisenhall,7571,2016-05-08,Lonnie Chisenhall struck out swinging.
L_Hochevar,6943,V Martinez,393&,2016-06-16,Victor Martinez struck out swinging.
L_Hochevar,6943,A Gose,5097,2016-04-19,Anthony Gose struck out swinging.
L_Hochevar,6943,J Schoop,1126,2016-06-08,Jonathan Schoop fouled out to right (Fly).
L_Hochevar,6943,P Alvarez,2495,2016-06-08,Pedro Alvarez grounded out to second (Grounder).
L_Hochevar,6943,C Perez,1064,2016-04-27,Carlos Perez grounded out to third (Grounder).
L_Hochevar,6943,J Iglesias,1023,2016-04-19,Jose Iglesias grounded out to shortstop (Grounder).
L_Hochevar,6943,J Sands,4016,2016-05-27,Jerry Sands flied out to second (Fly).
L_Hochevar,6943,M Saunders,9981,2016-07-04,Michael Saunders flied out to center (Fly).
L_Hochevar,6943,I Kinsler,6195,2016-04-19,Ian Kinsler flied out to center (Fly).
L_Hochevar,6943,E Carrera,9048,2016-07-04,Ezequiel Carrera sacrificed to third (Bunt Grounder). Devon Travis advanced to 3B. Darwin Barney advanced to 2B.
L_Hochevar,6943,H Kim,1871,2016-06-08,Hyun Soo Kim advanced on a stolen base to 2B.
L_Hochevar,6943,T Frazier,785&,2016-06-10,Todd Frazier singled to left (Liner).
L_Hochevar,6943,J Mauer,1857,2016-04-10,Joe Mauer was hit by a pitch.
L_Hochevar,6943,S Smith,7331,2016-04-29,Seth Smith walked.
L_Hochevar,6943,D Espinosa,9219,2016-05-03,Danny Espinosa grounded out to second (Grounder). Jayson Werth scored. Wilson Ramos advanced to 3B.
L_Hochevar,6943,D Wright,3787,2016-04-05,David Wright walked. Travis d'Arnaud advanced to 3B. Juan Lagares advanced to 2B.
L_Hochevar,6943,K Johnson,2234,2016-06-21,Kelly Johnson was hit by a pitch.
L_Hochevar,6943,T Flowers,9134,2016-05-15,Tyler Flowers singled to left (Liner).
L_Hochevar,6943,N Reimold,3441,2016-06-06,Nolan Reimold reached on error to third (Grounder). Error by Whit Merrifield.
L_Hochevar,6943,J Donaldson,5038,2016-07-04,Josh Donaldson singled to right (Liner). Devon Travis scored. Darwin Barney scored.
L_Hochevar,6943,J Schoop,1126,2016-06-06,Jonathan Schoop walked. Nolan Reimold advanced to 2B.
L_Hochevar,6943,J Abreu,1567,2016-06-10,Jose Abreu doubled to right (Fliner (Liner)).
