playername,playerid,vsname,vsid,date,Play
L_Martin,1184,R Madson,1852,2016-05-24,Leonys Martin homered (Fly). Nori Aoki scored.
L_Martin,1184,D Jennings,8073,2016-07-20,Leonys Martin homered (Fly).
L_Martin,1184,J Wilson,4301,2016-06-20,Leonys Martin singled to right (Grounder). Ketel Marte scored.
L_Martin,1184,S Gray,1276,2016-05-03,Leonys Martin homered (Fly). Steve Clevenger scored.
L_Martin,1184,L McCullers,1412,2016-07-16,Leonys Martin tripled to right (Fliner (Fly)).
L_Martin,1184,R Madson,1852,2016-09-11,Leonys Martin singled to right (Liner). Ben Gamel advanced to 3B.
L_Martin,1184,F Liriano,3201,2016-07-26,Leonys Martin doubled to right (Grounder). Kyle Seager scored. Mike Zunino advanced to 3B.
L_Martin,1184,D Fister,9425,2016-04-25,Leonys Martin homered (Fly).
L_Martin,1184,D Norris,1347,2016-06-23,Leonys Martin homered (Fly).
L_Martin,1184,A Chapman,1023,2016-07-30,Leonys Martin advanced on a wild pitch to score.
L_Martin,1184,C Tillman,5279,2016-05-18,Leonys Martin homered (Fliner (Fly)).
L_Martin,1184,C McHugh,7531,2016-09-26,Leonys Martin singled to right (Grounder). Adam Lind advanced to 3B. Leonys Martin advanced to 2B.
L_Martin,1184,L McCullers,1412,2016-07-04,Leonys Martin tripled to center (Fliner (Fly)).
L_Martin,1184,C Sabathia,404&,2016-08-23,Leonys Martin tripled to right (Fliner (Fly)).
L_Martin,1184,C Lewis,1259,2016-04-06,Leonys Martin homered (Fliner (Fly)).
L_Martin,1184,T Skaggs,1019,2016-08-17,Leonys Martin singled to right (Fliner (Liner)). Chris Iannetta advanced to 3B.
L_Martin,1184,K Giles,1291,2016-09-26,Leonys Martin singled to second (Grounder). Shawn O'Malley advanced to 2B.
L_Martin,1184,D Smyly,1176,2016-06-15,Leonys Martin singled to center (Liner). Chris Iannetta advanced to 3B.
L_Martin,1184,M Tanaka,1576,2016-08-24,Leonys Martin singled to right (Fliner (Liner)). Adam Lind advanced to 3B.
L_Martin,1184,A Claudio,1289,2016-08-30,Leonys Martin singled to right (Grounder). Kyle Seager scored. Dae-Ho Lee advanced to 2B.
L_Martin,1184,C Sale,1060,2016-08-26,Leonys Martin singled to third (Bunt Fly). Shawn O'Malley advanced to 3B. Ketel Marte advanced to 2B.
L_Martin,1184,M Feliz,1190,2016-07-06,Leonys Martin singled to center (Grounder). Ketel Marte advanced to 3B.
L_Martin,1184,C Lewis,1259,2016-04-11,Leonys Martin singled to first (Grounder).
L_Martin,1184,L Gregerson,4090,2016-05-05,Leonys Martin singled to center (Liner).
L_Martin,1184,L Gregerson,4090,2016-05-05,Leonys Martin advanced on a stolen base to 2B.
L_Martin,1184,A Simon,2155,2016-05-22,Leonys Martin singled to right (Grounder). Wade Miley advanced to 2B.
L_Martin,1184,E Surkamp,2540,2016-04-08,Leonys Martin was hit by a pitch.
L_Martin,1184,C Lewis,1259,2016-04-06,Leonys Martin singled to right (Grounder). Ketel Marte advanced to 2B.
L_Martin,1184,J Biagini,1319,2016-09-21,Leonys Martin singled to center (Grounder).
L_Martin,1184,H Santiago,4026,2016-09-25,Leonys Martin walked.
L_Martin,1184,M Shoemaker,4776,2016-08-18,Leonys Martin walked.
L_Martin,1184,A Simon,2155,2016-05-22,Leonys Martin singled to pitcher (Bunt Fly).
L_Martin,1184,S Dyson,1171,2016-04-11,Leonys Martin singled to shortstop (Grounder). Franklin Gutierrez advanced to 3B. Chris Iannetta advanced to 2B.
L_Martin,1184,D Price,3184,2016-08-02,Leonys Martin singled to center (Fliner (Fly)).
L_Martin,1184,C Bassitt,1230,2016-04-10,Leonys Martin singled to left (Grounder).
L_Martin,1184,F Liriano,3201,2016-07-26,Leonys Martin singled to right (Grounder).
L_Martin,1184,Z McAllister,2895,2016-04-21,Leonys Martin doubled to right (Fliner (Liner)).
L_Martin,1184,L McCullers,1412,2016-07-16,Leonys Martin walked.
L_Martin,1184,M Perez,6902,2016-09-06,Leonys Martin singled to second (Liner). Kyle Seager advanced to 3B. Dae-Ho Lee advanced to 2B.
L_Martin,1184,L McCullers,1412,2016-07-16,Leonys Martin doubled to right (Fliner (Liner)).
L_Martin,1184,R Hill,4806,2016-05-23,Leonys Martin singled to right (Grounder).
L_Martin,1184,J Niese,4424,2016-06-28,Leonys Martin singled to left (Grounder).
L_Martin,1184,L Hendriks,3548,2016-10-01,Leonys Martin walked.
L_Martin,1184,J Quintana,1142,2016-07-19,Leonys Martin was hit by a pitch. Nelson Cruz advanced to 3B. Chris Iannetta advanced to 2B.
L_Martin,1184,L Hochevar,6943,2016-07-09,Leonys Martin walked. Ketel Marte advanced to 2B.
L_Martin,1184,R Hill,4806,2016-05-23,Leonys Martin singled to shortstop (Grounder).
L_Martin,1184,M Pelfrey,5203,2016-06-20,Leonys Martin singled to right (Grounder).
L_Martin,1184,M Perez,6902,2016-04-05,Leonys Martin walked.
