playername,playerid,vsname,vsid,date,Play
L_Morrison,9205,J Nicolino,1175,2016-05-25,Logan Morrison homered (Fly). Evan Longoria scored.
L_Morrison,9205,M Stroman,1343,2016-09-02,Logan Morrison homered (Fly). Matt Duffy scored.
L_Morrison,9205,M Montgomery,4869,2016-06-15,Logan Morrison walked. Logan Forsythe scored. Tim Beckham advanced to 3B. Taylor Motter advanced to 2B.
L_Morrison,9205,T Duffey,1375,2016-06-05,Logan Morrison homered (Fliner (Fly)). Evan Longoria scored.
L_Morrison,9205,N Tropeano,1238,2016-07-04,Logan Morrison homered (Fliner (Fly)).
L_Morrison,9205,R Dickey,1245,2016-05-18,Logan Morrison homered (Fly).
L_Morrison,9205,D Duffy,3542,2016-06-01,Logan Morrison doubled to right (Grounder). Steven Souza Jr. advanced to 3B.
L_Morrison,9205,E Rodriguez,1316,2016-06-27,Logan Morrison singled to right (Liner). Logan Forsythe scored. Evan Longoria scored.
L_Morrison,9205,A Suarez,6175,2016-06-18,Logan Morrison homered (Fly).
L_Morrison,9205,T Duffey,1375,2016-06-05,Logan Morrison homered (Fly).
L_Morrison,9205,R Madson,1852,2016-05-13,Logan Morrison walked. Kevin Kiermaier advanced to 3B. Brandon Guyer advanced to 2B.
L_Morrison,9205,J Nicolino,1175,2016-05-25,Logan Morrison singled to center (Grounder). Steve Pearce scored.
L_Morrison,9205,C Tillman,5279,2016-06-25,Logan Morrison singled to right (Fliner (Liner)). Logan Forsythe scored. Corey Dickerson advanced to 3B.
L_Morrison,9205,T Lincecum,5705,2016-07-05,Logan Morrison homered (Fliner (Fly)).
L_Morrison,9205,S Wright,8185,2016-08-31,Logan Morrison homered (Fliner (Fly)).
L_Morrison,9205,M Pineda,5372,2016-09-09,Logan Morrison homered (Fliner (Fly)).
L_Morrison,9205,R Nolasco,3830,2016-06-03,Logan Morrison doubled to center (Fliner (Liner)).
L_Morrison,9205,I Kennedy,6986,2016-05-30,"Logan Morrison advanced on a stolen base to 2B, advanced to 3B on error. Error by Drew Butera."
L_Morrison,9205,E Jackson,1841,2016-08-16,Logan Morrison doubled to right (Liner). Evan Longoria scored. Matt Duffy scored.
L_Morrison,9205,Y Gallardo,8173,2016-07-15,Logan Morrison walked. Logan Forsythe advanced to 3B. Brad Miller advanced to 2B.
L_Morrison,9205,E Jackson,1841,2016-08-16,Logan Morrison walked. Matt Duffy advanced to 2B.
L_Morrison,9205,M Givens,1043,2016-07-15,Logan Morrison walked.
L_Morrison,9205,Y Gallardo,8173,2016-06-24,Logan Morrison singled to right (Fliner (Liner)). Evan Longoria scored.
L_Morrison,9205,C Kimbrel,6655,2016-08-23,Logan Morrison was hit by a pitch.
L_Morrison,9205,Y Gallardo,8173,2016-09-06,Logan Morrison doubled to right (Fliner (Liner)). Brad Miller advanced to 3B.
L_Morrison,9205,N Eovaldi,9132,2016-05-29,Logan Morrison singled to center (Liner). Steve Pearce advanced to 2B.
L_Morrison,9205,U Jimenez,3374,2016-04-26,Logan Morrison doubled to left (Fliner (Liner)).
L_Morrison,9205,T Layne,7501,2016-09-09,Logan Morrison was hit by a pitch.
L_Morrison,9205,N Tropeano,1238,2016-05-08,Logan Morrison singled to right (Grounder).
L_Morrison,9205,R Ross Jr.,6819,2016-08-24,Logan Morrison walked. Matt Duffy advanced to 2B.
L_Morrison,9205,R Dickey,1245,2016-05-18,Logan Morrison singled to center (Fliner (Liner)).
L_Morrison,9205,M Stroman,1343,2016-05-17,Logan Morrison singled to right (Grounder). Steve Pearce scored. Corey Dickerson advanced to 3B.
L_Morrison,9205,C Kluber,2429,2016-06-21,Logan Morrison reached on dropped third strike (pb). Passed ball by Yan Gomes.
L_Morrison,9205,K Graveman,1551,2016-05-14,Logan Morrison walked. Steven Souza Jr. advanced to 2B.
L_Morrison,9205,D Betances,6216,2016-09-09,Logan Morrison singled to right (Liner). Kevin Kiermaier scored. Evan Longoria advanced to 3B.
L_Morrison,9205,J Nicolino,1175,2016-05-25,Logan Morrison singled to third (Grounder).
L_Morrison,9205,U Jimenez,3374,2016-04-26,Logan Morrison advanced on a stolen base to 3B.
L_Morrison,9205,F Hernandez,4772,2016-05-09,Logan Morrison singled to center (Grounder).
L_Morrison,9205,I Kennedy,6986,2016-05-30,Logan Morrison walked. Taylor Motter advanced to 3B. Steve Pearce advanced to 2B.
L_Morrison,9205,M Stroman,1343,2016-09-02,Logan Morrison walked.
L_Morrison,9205,C Carrasco,6632,2016-04-13,Logan Morrison singled to center (Grounder).
L_Morrison,9205,C Shreve,1085,2016-09-09,Logan Morrison doubled to right (Fliner (Liner)).
L_Morrison,9205,J Weaver,4235,2016-05-07,Logan Morrison singled to right (Grounder).
L_Morrison,9205,D Keuchel,9434,2016-06-12,Logan Morrison singled to right (Liner).
L_Morrison,9205,J Smith,3281,2016-05-07,Logan Morrison walked.
L_Morrison,9205,R Dickey,1245,2016-04-04,Logan Morrison walked.
L_Morrison,9205,U Jimenez,3374,2016-09-05,Logan Morrison walked.
L_Morrison,9205,S Alexander,1059,2016-05-31,Logan Morrison walked. Evan Longoria advanced to 3B. Taylor Motter advanced to 2B.
L_Morrison,9205,T McFarland,3237,2016-04-08,Logan Morrison singled to center (Fliner (Liner)).
L_Morrison,9205,A Tolliver,1004,2016-06-24,Logan Morrison singled to center (Fliner (Liner)).
L_Morrison,9205,K Ryan,1175,2016-05-20,Logan Morrison walked.
L_Morrison,9205,J Peavy,1051,2016-06-19,Logan Morrison was hit by a pitch.
L_Morrison,9205,J Verlander,8700,2016-07-02,Logan Morrison walked.
L_Morrison,9205,M Stroman,1343,2016-05-17,Logan Morrison reached on fielder's choice to shortstop (Grounder). Steven Souza Jr. scored. Corey Dickerson out at second.
L_Morrison,9205,C Tillman,5279,2016-04-27,Logan Morrison walked.
L_Morrison,9205,R Porcello,2717,2016-07-09,Logan Morrison singled to right (Grounder).
L_Morrison,9205,A Suarez,6175,2016-06-18,Logan Morrison singled to center (Grounder).
L_Morrison,9205,R Delgado,5985,2016-06-06,Logan Morrison walked. Evan Longoria advanced to 2B.
L_Morrison,9205,C Tillman,5279,2016-06-25,Logan Morrison singled to right (Liner).
L_Morrison,9205,A Chapman,1023,2016-05-27,Logan Morrison reached on dropped third strike (pb). Passed ball by Brian McCann.
L_Morrison,9205,N Goody,1368,2016-05-28,Logan Morrison doubled to right (Liner).
L_Morrison,9205,A Wilson,9239,2016-05-20,Logan Morrison walked.
L_Morrison,9205,A Sanchez,3284,2016-05-20,Logan Morrison advanced on a stolen base to 2B.
L_Morrison,9205,M Fulmer,1321,2016-07-01,Logan Morrison singled to center (Fliner (Liner)).
L_Morrison,9205,C Hamels,4972,2016-08-19,Logan Morrison walked.
L_Morrison,9205,E Jackson,1841,2016-08-16,Logan Morrison doubled to center (Fliner (Fly)).
L_Morrison,9205,A Triggs,1353,2016-05-14,Logan Morrison walked.
L_Morrison,9205,R Tepera,1029,2016-09-02,Logan Morrison was hit by a pitch.
L_Morrison,9205,C Villanueva,4138,2016-08-16,Logan Morrison flied out to right (Fly).
L_Morrison,9205,C Girodo,1554,2016-05-16,Logan Morrison singled to right (Grounder). Brandon Guyer out at home. Taylor Motter advanced to 2B. Logan Morrison
L_Morrison,9205,N Goody,1368,2016-04-24,Logan Morrison struck out swinging.
L_Morrison,9205,C Kimbrel,6655,2016-06-27,Logan Morrison struck out swinging.
L_Morrison,9205,Z Greinke,1943,2016-06-07,Logan Morrison flied out to second (Fliner (Fly)).
L_Morrison,9205,R Ross Jr.,6819,2016-06-27,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,B Ziegler,7293,2016-07-10,Logan Morrison grounded out to shortstop (Grounder).
L_Morrison,9205,B Shaw,8110,2016-04-14,Logan Morrison struck out swinging.
L_Morrison,9205,P Venditte,7108,2016-05-17,Logan Morrison flied out to center (Fliner (Fly)).
L_Morrison,9205,J Zimmermann,4505,2016-06-30,Logan Morrison flied out to right (Fly).
L_Morrison,9205,C Kluber,2429,2016-06-21,Logan Morrison flied out to center (Fly).
L_Morrison,9205,R Bleier,7803,2016-09-10,Logan Morrison struck out swinging.
L_Morrison,9205,F Abad,4994,2016-08-29,Logan Morrison struck out swinging.
L_Morrison,9205,M Pineda,5372,2016-04-24,Logan Morrison struck out swinging.
L_Morrison,9205,L McCullers,1412,2016-06-10,Logan Morrison grounded out to first (Grounder).
L_Morrison,9205,J Weaver,4235,2016-07-06,Logan Morrison flied out to left (Fliner (Fly)).
L_Morrison,9205,B Brach,6627,2016-04-26,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,D Keuchel,9434,2016-06-12,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,B Ziegler,7293,2016-06-08,Logan Morrison grounded out to second (Grounder). Mikie Mahtook advanced to 2B.
L_Morrison,9205,J Zimmermann,4505,2016-05-22,Logan Morrison grounded out to first (Grounder).
L_Morrison,9205,L McCullers,1412,2016-06-10,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,Y Gallardo,8173,2016-07-15,Logan Morrison grounded out to first (Grounder).
L_Morrison,9205,M Stroman,1343,2016-04-03,Logan Morrison struck out swinging.
L_Morrison,9205,J Verlander,8700,2016-07-02,Logan Morrison hit a sacrifice fly to left (Fly). Brad Miller scored.
L_Morrison,9205,M Tanaka,1576,2016-05-27,Logan Morrison grounded out to first (Grounder).
L_Morrison,9205,C Carrasco,6632,2016-04-13,Logan Morrison struck out swinging.
L_Morrison,9205,R Nolasco,3830,2016-06-03,Logan Morrison grounded out to first (Grounder).
L_Morrison,9205,G Floyd,3886,2016-05-18,Logan Morrison flied out to right (Fliner (Fly)).
L_Morrison,9205,Y Gallardo,8173,2016-06-24,Logan Morrison struck out swinging.
L_Morrison,9205,K Graveman,1551,2016-05-14,Logan Morrison flied out to center (Fliner (Liner)).
L_Morrison,9205,E Santana,3200,2016-06-04,Logan Morrison grounded out to pitcher (Grounder).
L_Morrison,9205,C Tillman,5279,2016-04-27,Logan Morrison struck out looking.
L_Morrison,9205,J Fernandez,1153,2016-05-26,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,R Porcello,2717,2016-08-29,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,J Samardzija,3254,2016-06-17,Logan Morrison grounded out to pitcher (Grounder).
L_Morrison,9205,D Price,3184,2016-07-10,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,S O'Sullivan,9137,2016-07-08,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,T Clippard,5640,2016-06-08,Logan Morrison flied out to left (Fly).
L_Morrison,9205,T Walker,1183,2016-05-11,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,E Santana,3200,2016-06-04,Logan Morrison grounded out to second (Grounder).
L_Morrison,9205,R Nolasco,3830,2016-06-03,Logan Morrison struck out swinging.
L_Morrison,9205,M Fulmer,1321,2016-07-01,Logan Morrison struck out swinging.
L_Morrison,9205,K Uehara,9227,2016-06-28,Logan Morrison flied out to center (Fly).
L_Morrison,9205,J Fernandez,1153,2016-05-26,Logan Morrison struck out looking.
L_Morrison,9205,K Herrera,6033,2016-06-01,Logan Morrison flied out to center (Fly).
L_Morrison,9205,L Avilan,2882,2016-07-27,Logan Morrison flied out to right (Fly).
L_Morrison,9205,C Kluber,2429,2016-04-12,Logan Morrison grounded out to first (Grounder).
L_Morrison,9205,C Friedrich,7942,2016-08-17,Logan Morrison struck out looking.
L_Morrison,9205,D Duffy,3542,2016-06-01,Logan Morrison struck out swinging.
L_Morrison,9205,C Kluber,2429,2016-06-21,Logan Morrison out on a dropped third strike.
L_Morrison,9205,J Collmenter,7312,2016-06-06,Logan Morrison grounded out to third (Grounder).
L_Morrison,9205,M Pineda,5372,2016-04-24,Logan Morrison grounded out to first (Grounder).
