playername,playerid,vsname,vsid,date,Play
L_Ondrusek,3677,A Eaton,1120,2016-08-05,Adam Eaton grounded out to first (Grounder). Dioner Navarro out at home.
L_Ondrusek,3677,E Andrus,8709,2016-08-04,Elvis Andrus grounded out to third (Grounder).
L_Ondrusek,3677,J Lobaton,4243,2016-08-25,Jose Lobaton struck out swinging.
L_Ondrusek,3677,R Zimmerman,4220,2016-08-25,Ryan Zimmerman grounded out to shortstop (Grounder).
L_Ondrusek,3677,M Semien,1253,2016-08-11,Marcus Semien grounded into a double play to third (Grounder). Coco Crisp out at second.
L_Ondrusek,3677,D Travis,1386,2016-07-31,Devon Travis flied out to right (Fliner (Fly)).
L_Ondrusek,3677,D Barney,2430,2016-07-31,Darwin Barney flied out to left (Fliner (Fly)).
L_Ondrusek,3677,J Bautista,1887,2016-07-30,Jose Bautista flied out to left (Fly).
L_Ondrusek,3677,E Encarnacion,2151,2016-07-30,Edwin Encarnacion grounded out to pitcher (Grounder).
L_Ondrusek,3677,M Muncy,1330,2016-08-11,Max Muncy homered (Fliner (Liner)).
L_Ondrusek,3677,T Turner,1625,2016-08-25,Trea Turner singled to center (Grounder).
L_Ondrusek,3677,R Healy,1544,2016-08-08,Ryon Healy walked.
L_Ondrusek,3677,D Murphy,4316,2016-08-25,Daniel Murphy doubled to right (Grounder). Trea Turner scored. Jayson Werth advanced to 3B.
L_Ondrusek,3677,R Odor,1228,2016-08-04,Rougned Odor doubled to right (Grounder). Adrian Beltre scored.
L_Ondrusek,3677,Y Sanchez,1160,2016-08-05,Carlos Sanchez doubled to right (Fliner (Fly)). Avisail Garcia scored. Dioner Navarro advanced to 3B.
