playername,playerid,vsname,vsid,date,Play
M_Adams,9393,B Norris,9492,2016-07-22,Matt Adams homered (Fly).
M_Adams,9393,J Gomez,9033,2016-05-04,Matt Adams doubled to center (Fliner (Fly)). Kolten Wong advanced to 3B.
M_Adams,9393,A Simon,2155,2016-06-08,Matt Adams homered (Fly). Matt Carpenter scored. Aledmys Diaz scored.
M_Adams,9393,B Treinen,1257,2016-04-29,Matt Adams homered (Fliner (Fly)). Matt Holliday scored.
M_Adams,9393,M Cabrera,1297,2016-08-06,Matt Adams doubled to right (Fliner (Liner)). Matt Holliday scored. Jhonny Peralta advanced to 3B.
M_Adams,9393,J Hammel,4538,2016-04-19,Matt Adams doubled to right (Fliner (Liner)). Matt Holliday advanced to 3B.
M_Adams,9393,J Lopez,1663,2016-06-05,Matt Adams singled to second (Grounder). Aledmys Diaz scored. Matt Holliday advanced to 3B. Stephen Piscotty advanced to 2B.
M_Adams,9393,L Verrett,1290,2016-07-27,Matt Adams doubled to right (Fliner (Fly)). Matt Holliday scored.
M_Adams,9393,J Samardzija,3254,2016-06-04,Matt Adams homered (Fliner (Fly)).
M_Adams,9393,J Arrieta,4153,2016-05-25,Matt Adams doubled to right (Fliner (Liner)). Stephen Piscotty scored.
M_Adams,9393,J Alvarez,5358,2016-05-12,Matt Adams singled to center (Fliner (Liner)). Matt Carpenter scored. Stephen Piscotty scored. Matt Holliday advanced to 3B.
M_Adams,9393,J de la Rosa,2047,2016-09-20,Matt Adams homered (Fly).
M_Adams,9393,S Strasburg,1013,2016-04-29,Matt Adams singled to center (Grounder). Matt Holliday scored.
M_Adams,9393,J Barrett,1332,2016-05-21,Matt Adams homered (Fliner (Fly)).
M_Adams,9393,K Maeda,1849,2016-07-23,Matt Adams homered (Fly).
M_Adams,9393,M Wisler,1280,2016-04-08,Matt Adams singled to left (Fly). Matt Holliday advanced to 3B.
M_Adams,9393,K Sampson,1003,2016-09-27,Matt Adams homered (Fly). Greg Garcia scored.
M_Adams,9393,J Taillon,1167,2016-09-07,Matt Adams singled to left (Liner). Matt Carpenter scored. Stephen Piscotty advanced to 2B.
M_Adams,9393,S Strasburg,1013,2016-05-29,Matt Adams walked.
M_Adams,9393,B Maurer,4878,2016-04-24,Matt Adams singled to right (Liner).
M_Adams,9393,J Ross,1297,2016-04-30,Matt Adams walked.
M_Adams,9393,J Nicasio,7731,2016-06-10,Matt Adams doubled to right (Fliner (Fly)). Carlos Martinez scored.
M_Adams,9393,H Rondon,2391,2016-09-24,Matt Adams doubled to left (Fliner (Liner)). Stephen Piscotty scored. Jhonny Peralta advanced to 3B.
M_Adams,9393,J Arrieta,4153,2016-06-22,Matt Adams walked. Aledmys Diaz advanced to 2B.
M_Adams,9393,R Ray,1148,2016-05-21,Matt Adams reached on error to third (Grounder). Error by Jake Lamb.
M_Adams,9393,R de la Rosa,3862,2016-04-28,Matt Adams walked. Yadier Molina advanced to 2B.
M_Adams,9393,J Ross,1297,2016-05-26,Matt Adams singled to left (Liner).
M_Adams,9393,T Koehler,6570,2016-07-16,Matt Adams singled to center (Liner). Randal Grichuk scored.
M_Adams,9393,J Samardzija,3254,2016-09-17,Matt Adams walked.
M_Adams,9393,R Vogelsong,1011,2016-09-06,Matt Adams reached on fielder's choice to first (Grounder). Brandon Moss advanced to 2B.
M_Adams,9393,J Ramirez,8302,2016-06-08,Matt Adams singled to right (Grounder). Aledmys Diaz advanced to 3B.
M_Adams,9393,J Peavy,1051,2016-06-05,Matt Adams walked.
M_Adams,9393,F Rodney,494&,2016-07-31,Matt Adams singled to right (Fliner (Liner)).
M_Adams,9393,R Stripling,1327,2016-05-13,Matt Adams reached on fielder's choice to third (Grounder). Matt Carpenter scored. Matt Holliday out at second. Matt Adams advanced to 2B on error. Error by Corey Seager.
M_Adams,9393,N Syndergaard,1176,2016-07-26,Matt Adams walked.
M_Adams,9393,Z Davies,1318,2016-09-11,Matt Adams singled to left (Fliner (Liner)).
M_Adams,9393,M Foltynewicz,1081,2016-08-07,Matt Adams walked.
M_Adams,9393,J Locke,2929,2016-09-05,Matt Adams homered (Fliner (Fly)). Stephen Piscotty scored.
M_Adams,9393,D Straily,9460,2016-08-02,Matt Adams walked. Brandon Moss advanced to 2B.
M_Adams,9393,J Hammel,4538,2016-05-24,Matt Adams hit a ground rule double (Fliner (Fly)).
M_Adams,9393,Y Ventura,1185,2016-06-28,Matt Adams hit a sacrifice fly to center (Fly). Brandon Moss scored.
M_Adams,9393,N Wittgren,1559,2016-07-29,Matt Adams singled to left (Fliner (Liner)).
M_Adams,9393,C Bettis,1058,2016-05-17,Matt Adams walked.
M_Adams,9393,J Hellickson,4371,2016-05-02,Matt Adams singled to pitcher (Bunt Grounder).
M_Adams,9393,D Goforth,1216,2016-05-31,Matt Adams advanced on a wild pitch to 3B.
M_Adams,9393,M Wisler,1280,2016-04-08,Matt Adams was hit by a pitch.
M_Adams,9393,T Cingrani,1255,2016-06-09,Matt Adams singled to left (Fliner (Liner)).
M_Adams,9393,J Arrieta,4153,2016-09-23,Matt Adams walked.
M_Adams,9393,E Butler,1345,2016-09-20,Matt Adams walked. Stephen Piscotty advanced to 3B. Yadier Molina advanced to 2B.
M_Adams,9393,J Osich,1152,2016-06-05,Matt Adams singled to right (Liner).
M_Adams,9393,J Hughes,9325,2016-05-07,Matt Adams walked.
M_Adams,9393,B Ziegler,7293,2016-05-22,Matt Adams walked.
M_Adams,9393,W LeBlanc,5221,2016-10-02,Matt Adams hit a sacrifice fly to right (Fly). Jedd Gyorko scored. Randal Grichuk advanced to 3B.
M_Adams,9393,C Edwards Jr.,1360,2016-06-22,Matt Adams singled to shortstop (Fliner (Fly)).
M_Adams,9393,S Freeman,6832,2016-04-11,Matt Adams singled to center (Liner). Eric Fryer scored. Jeremy Hazelbaker advanced to 3B.
M_Adams,9393,B Treinen,1257,2016-05-01,Matt Adams advanced on defensive indifference to 2B.
M_Adams,9393,M Carasiti,1327,2016-09-21,Matt Adams doubled to center (Fliner (Fly)).
M_Adams,9393,T Watson,3132,2016-09-05,Matt Adams struck out swinging.
M_Adams,9393,J Dominguez,1157,2016-07-18,Matt Adams grounded out to pitcher (Grounder).
M_Adams,9393,J Gant,1368,2016-04-09,Matt Adams struck out swinging.
M_Adams,9393,T Adleman,1096,2016-09-26,Matt Adams grounded out to shortstop (Grounder).
M_Adams,9393,T Adleman,1096,2016-09-26,Matt Adams flied out to center (Fly).
M_Adams,9393,J Marinez,5830,2016-05-30,Matt Adams grounded out to third (Grounder).
M_Adams,9393,N Wittgren,1559,2016-07-16,Matt Adams grounded out to first (Grounder).
M_Adams,9393,M Carasiti,1327,2016-09-20,Matt Adams flied out to left (Fly).
