playername,playerid,vsname,vsid,date,Play
M_Albers,4300,M Sano,1216,2016-07-29,Miguel Sano flied out to right (Fly). Robbie Grossman out at third.
M_Albers,4300,L Cain,9077,2016-05-27,Lorenzo Cain struck out swinging.
M_Albers,4300,E Andrus,8709,2016-04-23,Elvis Andrus lined out to pitcher (Liner). Hanser Alberto out at second.
M_Albers,4300,B Dozier,9810,2016-04-14,Brian Dozier grounded out to pitcher (Grounder).
M_Albers,4300,K Suzuki,8259,2016-07-30,Kurt Suzuki flied out to center (Fliner (Liner)).
M_Albers,4300,K Plawecki,1380,2016-06-01,Kevin Plawecki grounded out to third (Grounder).
M_Albers,4300,J Lagares,5384,2016-06-01,Juan Lagares grounded out to second (Grounder).
M_Albers,4300,K Suzuki,8259,2016-06-30,Kurt Suzuki flied out to right (Fliner (Fly)).
M_Albers,4300,R Goins,9807,2016-06-24,Ryan Goins grounded out to second (Liner).
M_Albers,4300,C Correa,1416,2016-05-17,Carlos Correa struck out swinging.
M_Albers,4300,D Barney,2430,2016-04-25,Darwin Barney struck out looking.
M_Albers,4300,C Cron,1254,2016-04-19,C.J. Cron singled to right (Grounder). Andrelton Simmons out at home. C.J. Cron
M_Albers,4300,J Murphy,1034,2016-04-14,John Ryan Murphy grounded out to shortstop (Grounder).
M_Albers,4300,J Loney,4556,2016-06-01,James Loney reached on fielder's choice to second (Grounder). Neil Walker out at second.
M_Albers,4300,W Contreras,1160,2016-07-25,Willson Contreras reached on fielder's choice to second (Grounder). Ben Zobrist out at second.
M_Albers,4300,A Hechavarria,1045,2016-08-13,Adeiny Hechavarria grounded into a double play to third (Grounder). J.T. Realmuto advanced to 3B. Derek Dietrich out at second.
M_Albers,4300,M Ozuna,1032,2016-08-13,Marcell Ozuna grounded into a double play to shortstop (Grounder). Giancarlo Stanton out at second.
M_Albers,4300,J Lowrie,4418,2016-04-05,Jed Lowrie struck out swinging.
M_Albers,4300,J Thole,9689,2016-04-25,Josh Thole flied out to center (Fliner (Liner)).
M_Albers,4300,F Lindor,1291,2016-05-23,Francisco Lindor lined out to shortstop (Liner).
M_Albers,4300,A Escobar,6310,2016-05-29,Alcides Escobar flied out to center (Fly).
M_Albers,4300,B Dozier,9810,2016-04-11,Brian Dozier reached on fielder's choice to shortstop (Grounder). Byron Buxton out at second.
M_Albers,4300,Y Alonso,2530,2016-04-05,Yonder Alonso grounded out to second (Grounder).
M_Albers,4300,B Wilson,6564,2016-05-09,Bobby Wilson struck out looking.
M_Albers,4300,C Perez,1064,2016-04-19,Carlos Perez grounded out to shortstop (Grounder).
M_Albers,4300,A Hicks,5297,2016-05-15,Aaron Hicks flied out to center (Fly).
M_Albers,4300,K Vargas,1210,2016-07-29,Kennys Vargas flied out to shortstop (Fly).
M_Albers,4300,D McGowan,8600,2016-08-13,Dustin McGowan grounded out to shortstop (Grounder).
M_Albers,4300,C Cuthbert,1047,2016-06-12,Cheslor Cuthbert struck out swinging.
M_Albers,4300,M Franco,1217,2016-08-24,Maikel Franco struck out swinging.
M_Albers,4300,N Castellanos,1173,2016-07-22,Nick Castellanos grounded out to shortstop (Grounder).
M_Albers,4300,J Rickard,1327,2016-05-01,Joey Rickard flied out to center (Fly).
M_Albers,4300,N Castellanos,1173,2016-06-13,Nick Castellanos grounded out to first (Grounder).
M_Albers,4300,B Guyer,2636,2016-04-17,Brandon Guyer was caught stealing.
M_Albers,4300,D Pedroia,8370,2016-05-05,Dustin Pedroia flied out to second (Fly).
M_Albers,4300,L Cain,9077,2016-05-22,Lorenzo Cain struck out swinging.
M_Albers,4300,C Colon,1114,2016-06-12,Christian Colon flied out to second (Fliner (Fly)).
M_Albers,4300,X Bogaerts,1216,2016-05-05,Xander Bogaerts grounded out to third (Grounder).
M_Albers,4300,M Napoli,3057,2016-04-09,Mike Napoli struck out swinging.
M_Albers,4300,W Merrifield,1128,2016-05-21,Whit Merrifield lined out to first (Liner).
M_Albers,4300,Y Cespedes,1311,2016-05-30,Yoenis Cespedes flied out to center (Fly).
M_Albers,4300,P Orlando,8628,2016-08-10,Paulo Orlando sacrificed to pitcher (Bunt Grounder). Christian Colon advanced to 2B.
M_Albers,4300,D Mastroianni,7316,2016-05-07,Darin Mastroianni grounded out to second (Grounder).
M_Albers,4300,L Forsythe,7185,2016-04-17,Logan Forsythe struck out looking.
M_Albers,4300,J Upton,5222,2016-07-22,Justin Upton grounded out to second (Grounder).
M_Albers,4300,C Hernandez,1055,2016-08-24,Cesar Hernandez grounded out to second (Grounder).
M_Albers,4300,V Martinez,393&,2016-06-04,Victor Martinez flied out to center (Fly).
M_Albers,4300,M Aviles,5986,2016-07-23,Mike Aviles grounded out to second (Grounder).
M_Albers,4300,J Polanco,1315,2016-09-04,Jorge Polanco flied out to center (Fly).
M_Albers,4300,Y Gomes,9627,2016-04-09,Yan Gomes struck out swinging.
M_Albers,4300,T Plouffe,7462,2016-05-07,Trevor Plouffe struck out looking.
M_Albers,4300,J Polanco,1315,2016-07-30,Jorge Polanco grounded out to pitcher (Grounder).
M_Albers,4300,M Trumbo,6876,2016-05-01,Mark Trumbo struck out looking.
M_Albers,4300,R Davis,3708,2016-08-16,Rajai Davis grounded out to third (Grounder). Roberto Perez advanced to 3B.
M_Albers,4300,J Uribe,454&,2016-04-09,Juan Uribe grounded out to shortstop (Grounder).
M_Albers,4300,E Andrus,8709,2016-05-10,Elvis Andrus fouled out to third (Fly).
M_Albers,4300,T Plouffe,7462,2016-09-04,Trevor Plouffe grounded out to third (Grounder).
M_Albers,4300,M Wieters,4298,2016-08-07,Matt Wieters flied out to right (Fly).
M_Albers,4300,J Iglesias,1023,2016-08-02,Jose Iglesias grounded out to first (Grounder).
M_Albers,4300,H Kim,1871,2016-08-07,Hyun Soo Kim flied out to left (Fliner (Fly)).
M_Albers,4300,C Hernandez,1055,2016-09-20,Cesar Hernandez was caught stealing.
M_Albers,4300,J Hardy,3797,2016-08-07,J.J. Hardy flied out to right (Fliner (Fly)).
M_Albers,4300,B Holaday,1128,2016-04-22,Bryan Holaday flied out to center (Fly).
M_Albers,4300,L Forsythe,7185,2016-09-27,Logan Forsythe grounded out to pitcher (Grounder).
M_Albers,4300,K Davis,9112,2016-08-19,Khris Davis grounded out to third (Grounder).
M_Albers,4300,C Crisp,1572,2016-08-19,Coco Crisp flied out to center (Fly).
M_Albers,4300,L Maile,1335,2016-09-27,Luke Maile struck out swinging.
M_Albers,4300,V Martinez,393&,2016-08-02,Victor Martinez flied out to third (Fly).
M_Albers,4300,J Decker,7945,2016-09-27,Jaff Decker grounded out to second (Grounder).
M_Albers,4300,A Rendon,1286,2016-06-08,Anthony Rendon flied out to first (Fliner (Fly)).
M_Albers,4300,R Zimmerman,4220,2016-06-08,Ryan Zimmerman walked.
M_Albers,4300,T Naquin,1335,2016-06-18,Tyler Naquin homered (Fly).
M_Albers,4300,A Ramirez,5133,2016-09-27,Alexei Ramirez reached on error to shortstop (Grounder). Error by Tim Anderson.
M_Albers,4300,B Harper,1157,2016-06-08,Wilson Ramos advanced on a wild pitch to 2B.
