playername,playerid,vsname,vsid,date,Play
M_Aviles,5986,J Paxton,1182,2016-06-21,Mike Aviles singled to first (Grounder). Andrew Romine scored. Nick Castellanos advanced to 3B. Justin Upton advanced to 2B.
M_Aviles,5986,A Chapman,1023,2016-06-02,Mike Aviles singled to right (Grounder).
M_Aviles,5986,K Graveman,1551,2016-04-25,Mike Aviles singled to center (Grounder). Nick Castellanos scored.
M_Aviles,5986,A Nola,1614,2016-05-25,Mike Aviles doubled to left (Fliner (Liner)).
M_Aviles,5986,D Duffy,3542,2016-06-16,Mike Aviles singled to center (Liner). James McCann advanced to 2B.
M_Aviles,5986,B Kintzler,9939,2016-07-20,Mike Aviles singled to right (Liner). Justin Upton advanced to 2B.
M_Aviles,5986,C Carrasco,6632,2016-07-05,Mike Aviles walked. Steven Moya advanced to 2B.
M_Aviles,5986,D Robertson,8241,2016-06-15,Mike Aviles singled to shortstop (Grounder). J.D. Martinez advanced to 3B.
M_Aviles,5986,M Tonkin,1031,2016-04-29,Mike Aviles walked. Nick Castellanos advanced to 2B.
M_Aviles,5986,J Paxton,1182,2016-06-21,Mike Aviles singled to center (Grounder). Justin Upton advanced to 2B.
M_Aviles,5986,D Smyly,1176,2016-07-01,Mike Aviles reached on error to shortstop (Grounder). Error by Brad Miller.
M_Aviles,5986,K Yates,9073,2016-04-09,Mike Aviles singled to left (Fliner (Liner)). Jose Iglesias advanced to 3B on error. Mike Aviles advanced to 2B. Error by Brett Gardner.
M_Aviles,5986,D Smyly,1176,2016-07-01,Mike Aviles advanced on a stolen base to 2B.
M_Aviles,5986,E Rodriguez,1316,2016-07-27,Mike Aviles singled to left (Fliner (Liner)).
M_Aviles,5986,R Dickey,1245,2016-06-08,Mike Aviles singled to left (Liner).
M_Aviles,5986,J Hellickson,4371,2016-05-24,Mike Aviles singled to left (Grounder).
M_Aviles,5986,C Carrasco,6632,2016-07-05,Mike Aviles singled to center (Grounder). Justin Upton advanced to 2B.
M_Aviles,5986,S Wright,8185,2016-07-26,Mike Aviles advanced on a wild pitch to 2B.
M_Aviles,5986,R Garton,1401,2016-07-02,Mike Aviles singled to third (Grounder).
M_Aviles,5986,E Ramirez,1031,2016-07-02,Mike Aviles walked.
M_Aviles,5986,A Chapman,1023,2016-06-02,Mike Aviles advanced on a wild pitch to 2B.
M_Aviles,5986,E Ramirez,1031,2016-07-02,Mike Aviles advanced on a stolen base to 2B.
M_Aviles,5986,C Hamels,4972,2016-08-13,Mike Aviles singled to left (Fliner (Liner)).
M_Aviles,5986,R Dickey,1245,2016-06-08,Mike Aviles singled to center (Grounder).
M_Aviles,5986,R O'Rourke,1097,2016-04-29,Mike Aviles advanced on a wild pitch to 3B.
M_Aviles,5986,L Hendriks,3548,2016-04-25,Mike Aviles singled to left (Grounder).
M_Aviles,5986,L Hendriks,3548,2016-04-25,Mike Aviles advanced on a passed ball to 2B. Passed ball by Stephen Vogt.
M_Aviles,5986,E Romero,4001,2016-07-01,Mike Aviles singled to left (Liner).
M_Aviles,5986,T House,9121,2016-07-06,Mike Aviles grounded out to second (Grounder).
M_Aviles,5986,D Otero,7385,2016-04-23,Mike Aviles grounded out to third (Grounder).
M_Aviles,5986,B Schultz,5028,2016-07-08,Mike Aviles grounded out to shortstop (Grounder).
M_Aviles,5986,D Eveland,5508,2016-07-01,Mike Aviles lined out to first (Liner).
M_Aviles,5986,A Meyer,1283,2016-04-29,Mike Aviles flied out to center (Fliner (Liner)).
M_Aviles,5986,A Triggs,1353,2016-04-25,Mike Aviles flied out to shortstop (Fly).
M_Aviles,5986,P Moylan,4891,2016-06-16,Mike Aviles grounded out to shortstop (Grounder). Justin Upton advanced to 2B.
M_Aviles,5986,C Green,1555,2016-06-12,Mike Aviles grounded out to second (Grounder).
M_Aviles,5986,T Milone,7608,2016-07-19,Mike Aviles struck out swinging.
M_Aviles,5986,W Davis,7441,2016-07-16,Mike Aviles flied out to second (Fliner (Fly)).
M_Aviles,5986,B Flynn,1202,2016-07-15,Mike Aviles grounded out to second (Grounder).
M_Aviles,5986,T Bauer,1270,2016-05-05,Mike Aviles struck out swinging.
M_Aviles,5986,B Ellington,1723,2016-06-28,Mike Aviles fouled out to first (Fly).
M_Aviles,5986,D Duffy,3542,2016-04-19,Mike Aviles flied out to center (Fly).
M_Aviles,5986,C Buchholz,3543,2016-07-25,Mike Aviles flied out to center (Fliner (Liner)).
M_Aviles,5986,R Nolasco,3830,2016-07-18,Mike Aviles lined out to first (Liner).
M_Aviles,5986,T Rogers,1344,2016-07-18,Mike Aviles struck out looking.
M_Aviles,5986,J Tomlin,9388,2016-06-26,Mike Aviles flied out to left (Fliner (Liner)).
M_Aviles,5986,M Purke,1283,2016-06-14,Mike Aviles struck out swinging.
M_Aviles,5986,J Shields,7059,2016-07-21,Mike Aviles grounded out to shortstop (Grounder).
M_Aviles,5986,E Santana,3200,2016-07-20,Mike Aviles grounded out to shortstop (Grounder).
M_Aviles,5986,F Hernandez,4772,2016-08-10,Mike Aviles grounded out to shortstop (Grounder).
M_Aviles,5986,N Jones,4696,2016-07-24,Mike Aviles struck out swinging.
M_Aviles,5986,J Shields,7059,2016-07-21,Mike Aviles flied out to center (Fliner (Fly)).
M_Aviles,5986,J Shields,7059,2016-07-21,Mike Aviles flied out to left (Fly).
M_Aviles,5986,P Hughes,7450,2016-04-29,Mike Aviles struck out looking.
M_Aviles,5986,T Layne,7501,2016-07-26,Mike Aviles grounded out to second (Grounder).
M_Aviles,5986,K Graveman,1551,2016-04-25,Mike Aviles struck out swinging.
M_Aviles,5986,R Dickey,1245,2016-07-10,Mike Aviles grounded out to third (Grounder).
M_Aviles,5986,Y Ventura,1185,2016-04-19,Mike Aviles struck out swinging.
M_Aviles,5986,R Garton,1401,2016-07-02,Mike Aviles was caught stealing.
M_Aviles,5986,S Solis,1145,2016-05-10,Mike Aviles flied out to right (Fliner (Liner)).
M_Aviles,5986,T Kahnle,1138,2016-07-23,Mike Aviles flied out to right (Fliner (Fly)).
M_Aviles,5986,C Sabathia,404&,2016-04-09,Mike Aviles grounded out to third (Grounder).
M_Aviles,5986,A Nola,1614,2016-05-25,Mike Aviles flied out to first (Fly).
M_Aviles,5986,C Carrasco,6632,2016-06-25,Mike Aviles flied out to left (Fliner (Liner)).
M_Aviles,5986,E Santana,3200,2016-07-20,Mike Aviles fouled out to right (Fly).
M_Aviles,5986,J Chavez,5448,2016-06-08,Mike Aviles grounded into a double play to shortstop (Grounder). Jose Iglesias out at second.
M_Aviles,5986,C Sale,1060,2016-06-04,Mike Aviles grounded out to third (Grounder).
M_Aviles,5986,D Pomeranz,1142,2016-07-25,Mike Aviles grounded out to shortstop (Grounder).
M_Aviles,5986,E Rodriguez,1316,2016-07-27,Mike Aviles lined out to first (Liner).
M_Aviles,5986,Y Ventura,1185,2016-04-19,Mike Aviles grounded out to first (Grounder).
M_Aviles,5986,D Robertson,8241,2016-07-24,Mike Aviles grounded out to second (Grounder).
M_Aviles,5986,Z Britton,3240,2016-05-12,Mike Aviles grounded out to pitcher (Grounder).
M_Aviles,5986,M Pineda,5372,2016-06-02,Mike Aviles grounded out to shortstop (Grounder).
M_Aviles,5986,K Gausman,1410,2016-05-15,Mike Aviles struck out swinging.
M_Aviles,5986,T Milone,7608,2016-07-19,Mike Aviles sacrificed to pitcher (Bunt Grounder). Justin Upton advanced to 2B.
M_Aviles,5986,C Carrasco,6632,2016-06-25,Mike Aviles flied out to center (Fliner (Liner)).
M_Aviles,5986,C Hamels,4972,2016-05-06,Mike Aviles struck out swinging.
M_Aviles,5986,J Paxton,1182,2016-06-21,Mike Aviles struck out swinging.
M_Aviles,5986,J Shields,7059,2016-06-13,Mike Aviles flied out to center (Fly).
M_Aviles,5986,N Jones,4696,2016-06-13,Mike Aviles flied out to shortstop (Fly).
M_Aviles,5986,D Jennings,8073,2016-06-13,Mike Aviles grounded out to first (Grounder).
M_Aviles,5986,J Happ,7410,2016-07-08,Mike Aviles struck out looking.
M_Aviles,5986,M Pineda,5372,2016-06-12,Mike Aviles flied out to second (Fly).
M_Aviles,5986,J Hellickson,4371,2016-05-24,Mike Aviles was caught stealing.
M_Aviles,5986,L Hochevar,6943,2016-06-16,Mike Aviles grounded out to first (Grounder).
M_Aviles,5986,H Neris,1180,2016-05-25,Mike Aviles fouled out to first (Fly).
M_Aviles,5986,J Paxton,1182,2016-06-21,Mike Aviles flied out to center (Fliner (Liner)).
M_Aviles,5986,J Kelly,9761,2016-07-25,Mike Aviles flied out to center (Fly).
M_Aviles,5986,J Tomlin,9388,2016-06-26,Mike Aviles flied out to center (Fly).
M_Aviles,5986,C Sabathia,404&,2016-04-09,Mike Aviles flied out to left (Fliner (Fly)).
M_Aviles,5986,R Osuna,1376,2016-07-07,Mike Aviles grounded out to shortstop (Grounder).
M_Aviles,5986,S Wright,8185,2016-07-26,Mike Aviles flied out to first (Fly).
M_Aviles,5986,K Gausman,1410,2016-05-15,Mike Aviles grounded out to shortstop (Grounder).
M_Aviles,5986,J Benoit,1437,2016-06-20,Mike Aviles struck out swinging.
M_Aviles,5986,C Sale,1060,2016-08-03,Mike Aviles fouled out to first (Fly). Victor Martinez out at home.
