playername,playerid,vsname,vsid,date,Play
M_Barnes,1286,G Blanco,3123,2016-07-20,Gregor Blanco non-force gdp to first (Grounder). Brandon Belt out at home. Buster Posey advanced to 3B. Brandon Crawford advanced to 2B.
M_Barnes,1286,M Teixeira,1281,2016-08-09,Mark Teixeira struck out looking.
M_Barnes,1286,E Aybar,4082,2016-08-20,Erick Aybar flied out to shortstop (Fly).
M_Barnes,1286,C Gillaspie,9009,2016-07-20,Conor Gillaspie fouled out to first (Fly).
M_Barnes,1286,J Decker,7945,2016-09-25,Jaff Decker struck out looking.
M_Barnes,1286,C Joseph,7087,2016-04-11,Caleb Joseph flied out to left (Fliner (Liner)). Jonathan Schoop out at third.
M_Barnes,1286,N Franklin,1016,2016-09-23,Nick Franklin flied out to shortstop (Fly).
M_Barnes,1286,M Gonzalez,5497,2016-04-24,Marwin Gonzalez flied out to left (Fliner (Liner)).
M_Barnes,1286,H Conger,2505,2016-07-08,Hank Conger struck out swinging.
M_Barnes,1286,R Martin,4616,2016-06-04,Russell Martin struck out looking.
M_Barnes,1286,A Rodriguez,1274,2016-08-10,Alex Rodriguez flied out to right (Fly). Gary Sanchez advanced to 3B.
M_Barnes,1286,R Torreyes,1140,2016-09-17,Ronald Torreyes grounded out to third (Grounder).
M_Barnes,1286,L Forsythe,7185,2016-08-25,Logan Forsythe struck out swinging.
M_Barnes,1286,K Pillar,1243,2016-09-11,Kevin Pillar reached on fielder's choice to shortstop (Grounder). Melvin Upton Jr. out at second.
M_Barnes,1286,T Tulowitzki,3531,2016-10-01,Troy Tulowitzki flied out to center (Fliner (Liner)).
M_Barnes,1286,N Reimold,3441,2016-04-11,Nolan Reimold struck out swinging.
M_Barnes,1286,B Belt,1026,2016-07-20,Brandon Belt struck out swinging.
M_Barnes,1286,J Decker,7945,2016-09-23,Jaff Decker struck out swinging.
M_Barnes,1286,L Forsythe,7185,2016-08-30,Logan Forsythe was caught stealing.
M_Barnes,1286,M Teixeira,1281,2016-09-17,Mark Teixeira grounded out to third (Grounder).
M_Barnes,1286,R Pena,8841,2016-07-20,Ramiro Pena flied out to center (Fly).
M_Barnes,1286,O Infante,1609,2016-05-17,Omar Infante flied out to center (Fliner (Liner)).
M_Barnes,1286,J Giavotella,6740,2016-07-01,Johnny Giavotella grounded out to pitcher (Grounder).
M_Barnes,1286,L Forsythe,7185,2016-08-31,Logan Forsythe struck out swinging.
M_Barnes,1286,A Eaton,1120,2016-05-05,Adam Eaton grounded out to shortstop (Grounder).
M_Barnes,1286,K Kiermaier,1103,2016-08-25,Kevin Kiermaier flied out to shortstop (Fly).
M_Barnes,1286,H Kim,1871,2016-04-13,Hyun Soo Kim out on a dropped third strike.
M_Barnes,1286,D Span,8347,2016-07-20,Denard Span flied out to center (Fliner (Fly)).
