playername,playerid,vsname,vsid,date,Play
M_Brantley,4106,A Sanchez,3284,2016-05-04,Michael Brantley singled to right (Grounder). Carlos Santana scored. Francisco Lindor advanced to 3B.
M_Brantley,4106,E Volquez,3990,2016-05-08,Michael Brantley singled to left (Fliner (Liner)). Francisco Lindor scored.
M_Brantley,4106,Y Ventura,1185,2016-05-06,Michael Brantley walked. Jason Kipnis advanced to 3B. Francisco Lindor advanced to 2B.
M_Brantley,4106,Y Ventura,1185,2016-05-06,Michael Brantley walked. Francisco Lindor advanced to 2B.
M_Brantley,4106,A Sanchez,3284,2016-05-04,Mike Napoli advanced on a wild pitch to 3B. Michael Brantley scored.
M_Brantley,4106,M Tonkin,1031,2016-04-27,Michael Brantley advanced on a stolen base to 3B.
M_Brantley,4106,M Fulmer,1321,2016-05-05,Michael Brantley singled to center (Grounder).
M_Brantley,4106,J Verlander,8700,2016-05-03,Michael Brantley advanced on a wild pitch to 2B.
M_Brantley,4106,S Feldman,6283,2016-05-09,Michael Brantley grounded out to shortstop (Grounder).
M_Brantley,4106,B Flynn,1202,2016-05-06,Michael Brantley grounded into a double play to pitcher (Grounder). Francisco Lindor out at second.
M_Brantley,4106,A Sanchez,3284,2016-05-04,Michael Brantley fouled out to third (Fly).
M_Brantley,4106,D Duffy,3542,2016-05-08,Michael Brantley struck out swinging.
M_Brantley,4106,E Volquez,3990,2016-05-08,Michael Brantley grounded out to second (Grounder).
M_Brantley,4106,J Eickhoff,1266,2016-04-30,Michael Brantley flied out to left (Fly).
M_Brantley,4106,M Fiers,7754,2016-05-09,Michael Brantley grounded out to first (Grounder). Jason Kipnis advanced to 3B.
M_Brantley,4106,R Nolasco,3830,2016-04-26,Michael Brantley flied out to left (Fly).
M_Brantley,4106,M Fiers,7754,2016-05-09,Michael Brantley grounded out to second (Grounder).
M_Brantley,4106,J Eickhoff,1266,2016-04-30,Michael Brantley grounded out to second (Grounder).
M_Brantley,4106,J Berrios,1416,2016-04-27,Michael Brantley grounded out to second (Grounder).
M_Brantley,4106,E Volquez,3990,2016-05-08,Michael Brantley flied out to center (Fliner (Fly)).
M_Brantley,4106,J Verlander,8700,2016-05-03,Michael Brantley flied out to center (Fliner (Liner)).
M_Brantley,4106,K Jepsen,6475,2016-04-26,Michael Brantley grounded out to first (Grounder).
M_Brantley,4106,E Araujo,1285,2016-04-30,Michael Brantley flied out to center (Fly).
