playername,playerid,vsname,vsid,date,Play
M_Foltynewicz,1081,N Hundley,3376,2016-07-16,Nick Hundley grounded into a double play to shortstop (Grounder). Mark Reynolds out at second.
M_Foltynewicz,1081,D Espinosa,9219,2016-09-07,Danny Espinosa struck out swinging.
M_Foltynewicz,1081,J Kang,1718,2016-08-02,Jung Ho Kang grounded into a double play to second (Grounder). Starling Marte out at second.
M_Foltynewicz,1081,R Zimmerman,4220,2016-09-07,Ryan Zimmerman flied out to right (Fliner (Liner)).
M_Foltynewicz,1081,R Zimmerman,4220,2016-09-07,Ryan Zimmerman struck out swinging.
M_Foltynewicz,1081,W Difo,1432,2016-09-07,Wilmer Difo struck out swinging.
M_Foltynewicz,1081,R Raburn,2218,2016-07-21,Ryan Raburn flied out to center (Fliner (Fly)).
M_Foltynewicz,1081,L Cain,9077,2016-05-14,Lorenzo Cain grounded into a double play to third (Grounder). Paulo Orlando out at second.
M_Foltynewicz,1081,A Eaton,1120,2016-07-10,Adam Eaton flied out to left (Fliner (Fly)).
M_Foltynewicz,1081,A Hill,6104,2016-05-25,Aaron Hill flied out to right (Fliner (Liner)).
M_Foltynewicz,1081,A Pagan,2918,2016-08-27,Angel Pagan grounded out to third (Grounder).
M_Foltynewicz,1081,M Prado,3312,2016-09-12,Martin Prado flied out to third (Fly).
M_Foltynewicz,1081,K Nieuwenhuis,6400,2016-05-25,Kirk Nieuwenhuis was caught stealing.
M_Foltynewicz,1081,T Brown,1389,2016-08-27,Trevor Brown struck out swinging.
M_Foltynewicz,1081,P Orlando,8628,2016-05-14,Paulo Orlando flied out to center (Fliner (Fly)).
M_Foltynewicz,1081,A Gordon,5209,2016-05-14,Alex Gordon flied out to center (Fly).
M_Foltynewicz,1081,E Rosario,1215,2016-08-17,Eddie Rosario flied out to right (Fliner (Liner)).
M_Foltynewicz,1081,J Guerra,5702,2016-05-25,Junior Guerra struck out looking.
M_Foltynewicz,1081,M Cabrera,4022,2016-07-10,Melky Cabrera flied out to right (Fly).
M_Foltynewicz,1081,K Suzuki,8259,2016-07-27,Kurt Suzuki flied out to second (Fliner (Fly)).
M_Foltynewicz,1081,B Harper,1157,2016-09-07,Bryce Harper struck out looking.
M_Foltynewicz,1081,M Bourn,6387,2016-08-22,Michael Bourn flied out to left (Fliner (Fly)).
M_Foltynewicz,1081,J Polanco,1315,2016-08-17,Jorge Polanco flied out to center (Fliner (Fly)).
M_Foltynewicz,1081,W Myers,1004,2016-09-01,Wil Myers flied out to left (Fly).
M_Foltynewicz,1081,J Peralta,1738,2016-08-07,Jhonny Peralta grounded into a double play to third (Grounder). Matt Adams out at second.
M_Foltynewicz,1081,T Turner,1625,2016-08-12,Trea Turner flied out to left (Fly).
M_Foltynewicz,1081,T Frazier,785&,2016-07-10,Todd Frazier struck out swinging.
M_Foltynewicz,1081,J Werth,1327,2016-08-12,Jayson Werth struck out swinging.
