playername,playerid,vsname,vsid,date,Play
M_Gonzalez,7024,C Heisey,3978,2016-06-09,Chris Heisey reached on fielder's choice to shortstop (Grounder). Jose Lobaton out at home.
M_Gonzalez,7024,J Altuve,5417,2016-07-01,Jose Altuve grounded into a double play to pitcher (Grounder). George Springer advanced to 3B. Luis Valbuena out at second.
M_Gonzalez,7024,J Iglesias,1023,2016-09-06,Jose Iglesias flied out to right (Fliner (Liner)). Cameron Maybin out at second.
M_Gonzalez,7024,B Dozier,9810,2016-07-30,Brian Dozier grounded into a double play to shortstop (Grounder). Max Kepler out at second.
M_Gonzalez,7024,L Maile,1335,2016-09-28,Luke Maile struck out swinging.
M_Gonzalez,7024,J Martinez,6184,2016-09-06,J.D. Martinez struck out swinging.
M_Gonzalez,7024,C Granderson,4747,2016-06-01,Curtis Granderson grounded into a double play to third (Grounder). Jacob deGrom out at second.
M_Gonzalez,7024,D DeShields,1137,2016-05-09,Delino DeShields struck out swinging.
M_Gonzalez,7024,A Russell,1410,2016-07-25,Addison Russell grounded out to second (Grounder).
M_Gonzalez,7024,M Conforto,1637,2016-06-01,Michael Conforto struck out swinging.
M_Gonzalez,7024,C Cuthbert,1047,2016-09-17,Cheslor Cuthbert grounded out to shortstop (Grounder).
M_Gonzalez,7024,D Travis,1386,2016-06-25,Devon Travis flied out to first (Fly).
M_Gonzalez,7024,C McGehee,6086,2016-09-06,Casey McGehee flied out to right (Fliner (Fly)).
M_Gonzalez,7024,D Santana,1032,2016-07-30,Danny Santana reached on fielder's choice to first (Grounder). Eduardo Escobar advanced to 3B. Jorge Polanco out at second.
M_Gonzalez,7024,S Castro,4579,2016-05-15,Starlin Castro flied out to second (Fly).
M_Gonzalez,7024,K Kiermaier,1103,2016-09-28,Kevin Kiermaier flied out to center (Fliner (Fly)).
M_Gonzalez,7024,R Perez,2900,2016-09-23,Roberto Perez struck out swinging.
M_Gonzalez,7024,H Ramirez,8001,2016-06-20,Hanley Ramirez flied out to center (Fliner (Fly)).
M_Gonzalez,7024,J Heyward,4940,2016-07-25,Jason Heyward reached on fielder's choice to second (Grounder). Ben Zobrist advanced to 3B. Willson Contreras out at second.
M_Gonzalez,7024,D Santana,1032,2016-07-30,Danny Santana reached on fielder's choice to second (Grounder). Jorge Polanco out at second.
M_Gonzalez,7024,B Buxton,1416,2016-07-30,Byron Buxton grounded out to third (Grounder). Eduardo Escobar scored.
M_Gonzalez,7024,C Beltran,589&,2016-05-15,Carlos Beltran grounded out to second (Grounder).
M_Gonzalez,7024,K Suzuki,8259,2016-07-30,Kurt Suzuki struck out looking.
