playername,playerid,vsname,vsid,date,Play
M_Guaipe,1166,J Altuve,5417,2016-04-27,Jose Altuve grounded out to shortstop (Grounder).
M_Guaipe,1166,T White,1556,2016-05-08,Tyler White flied out to second (Fly).
M_Guaipe,1166,J Altuve,5417,2016-05-06,Jose Altuve grounded out to shortstop (Grounder).
M_Guaipe,1166,E Gattis,1100,2016-05-06,Evan Gattis flied out to center (Fliner (Liner)).
M_Guaipe,1166,G Springer,1285,2016-05-06,George Springer struck out swinging.
M_Guaipe,1166,C Gomez,4881,2016-05-06,Carlos Gomez lined out to first (Liner).
M_Guaipe,1166,D Nava,5450,2016-05-14,Daniel Nava struck out swinging.
M_Guaipe,1166,C Cron,1254,2016-05-14,C.J. Cron reached on fielder's choice to third (Grounder). Albert Pujols out at second.
M_Guaipe,1166,Y Alonso,2530,2016-05-03,Yonder Alonso grounded out to second (Grounder).
M_Guaipe,1166,J Lowrie,4418,2016-05-03,Jed Lowrie reached on fielder's choice to shortstop (Grounder). Billy Burns out at second.
M_Guaipe,1166,B Burns,1270,2016-05-03,Billy Burns singled to right (Grounder).
M_Guaipe,1166,C Rasmus,9893,2016-05-06,Colby Rasmus hit a sacrifice fly to center (Fliner (Fly)). George Springer scored.
M_Guaipe,1166,C Correa,1416,2016-05-06,Carlos Correa walked.
M_Guaipe,1166,G Springer,1285,2016-05-06,George Springer singled to right (Grounder). Jason Castro advanced to 2B.
M_Guaipe,1166,J Altuve,5417,2016-05-08,Jose Altuve singled to center (Fliner (Liner)).
M_Guaipe,1166,G Springer,1285,2016-04-27,George Springer singled to left (Grounder).
M_Guaipe,1166,C Correa,1416,2016-04-27,Carlos Correa reached on error to right (Fliner (Fly)). George Springer advanced to 2B on error. Error by Nelson Cruz.
M_Guaipe,1166,C Rasmus,9893,2016-04-27,Colby Rasmus walked. George Springer advanced to 3B. Carlos Correa advanced to 2B.
M_Guaipe,1166,E Gattis,1100,2016-04-27,Evan Gattis doubled to center (Fliner (Fly)). George Springer scored. Carlos Correa scored. Colby Rasmus out at home. Evan Gattis advanced to 2B.
