playername,playerid,vsname,vsid,date,Play
M_Joyce,3353,R Whalen,1416,2016-08-03,Matt Joyce homered (Fly). Gregory Polanco scored. Starling Marte scored.
M_Joyce,3353,C Cotham,1007,2016-05-01,Matt Joyce singled to center (Fliner (Fly)). Sean Rodriguez scored. Jordy Mercer advanced to 3B.
M_Joyce,3353,M Dunn,9948,2016-06-01,Matt Joyce singled to right (Grounder). Francisco Cervelli scored. Josh Harrison scored. John Jaso advanced to 2B.
M_Joyce,3353,D McGowan,8600,2016-06-02,Matt Joyce doubled to right (Fliner (Liner)). Jung Ho Kang scored. Chris Stewart scored.
M_Joyce,3353,M Foltynewicz,1081,2016-08-02,Matt Joyce singled to center (Grounder). John Jaso scored.
M_Joyce,3353,S Gray,1276,2016-07-01,Matt Joyce singled to left (Liner). Starling Marte scored. David Freese advanced to 2B.
M_Joyce,3353,B Logan,5525,2016-04-27,Matt Joyce doubled to right (Fliner (Liner)).
M_Joyce,3353,J Nelson,1054,2016-04-15,Matt Joyce homered (Fliner (Fly)). Josh Harrison scored. Jordy Mercer scored.
M_Joyce,3353,D Straily,9460,2016-08-07,Matt Joyce homered (Fly).
M_Joyce,3353,G Mahle,1687,2016-06-04,Matt Joyce homered (Fly). Josh Harrison scored. Jordy Mercer scored.
M_Joyce,3353,J Hoover,9037,2016-04-29,Matt Joyce homered (Fly). Jordy Mercer scored.
M_Joyce,3353,T Adleman,1096,2016-09-09,Matt Joyce walked. Jordy Mercer advanced to 2B.
M_Joyce,3353,T Jenkins,1137,2016-08-04,Matt Joyce walked. David Freese advanced to 2B.
M_Joyce,3353,W Perez,1159,2016-05-16,Matt Joyce singled to right (Liner). David Freese scored.
M_Joyce,3353,M Leake,1013,2016-07-05,Matt Joyce reached on error to second (Grounder). Eric Fryer advanced to 3B. Error by Matt Carpenter.
M_Joyce,3353,J Familia,5114,2016-06-16,Matt Joyce doubled to right (Fliner (Fly)). Jung Ho Kang advanced to 3B.
M_Joyce,3353,D Mengden,1698,2016-07-03,Matt Joyce walked.
M_Joyce,3353,J Verlander,8700,2016-04-11,Matt Joyce singled to left (Grounder). John Jaso scored.
M_Joyce,3353,A Warren,9029,2016-05-04,Matt Joyce homered (Fly). Andrew McCutchen scored.
M_Joyce,3353,V Velasquez,1118,2016-07-24,Matt Joyce singled to center (Grounder).
M_Joyce,3353,F Rodney,494&,2016-08-21,Matt Joyce walked.
M_Joyce,3353,A Sanchez,3284,2016-04-12,Matt Joyce walked. Jordy Mercer advanced to 2B.
M_Joyce,3353,J Arrieta,4153,2016-09-28,Matt Joyce was hit by a pitch.
M_Joyce,3353,H Santiago,4026,2016-06-05,Matt Joyce walked.
M_Joyce,3353,A Wainwright,2233,2016-10-02,Matt Joyce singled to right (Grounder).
M_Joyce,3353,A Ramos,8350,2016-05-31,Matt Joyce walked.
