playername,playerid,vsname,vsid,date,Play
M_Koch,1342,B Crawford,5343,2016-09-09,Brandon Crawford reached on fielder's choice to first (Grounder). Denard Span out at home. Angel Pagan advanced to 2B.
M_Koch,1342,J Reddick,3892,2016-09-18,Josh Reddick flied out to center (Fly).
M_Koch,1342,M Margot,1471,2016-10-02,Manuel Margot grounded out to second (Grounder).
M_Koch,1342,R Schimpf,9953,2016-10-02,Ryan Schimpf struck out swinging.
M_Koch,1342,H Renfroe,1546,2016-10-02,Hunter Renfroe flied out to shortstop (Fly).
M_Koch,1342,Y Solarte,5352,2016-10-02,Yangervis Solarte flied out to left (Fliner (Fly)).
M_Koch,1342,R Zimmerman,4220,2016-09-27,Ryan Zimmerman grounded out to second (Grounder).
M_Koch,1342,S Drew,4251,2016-09-27,Stephen Drew flied out to center (Fly).
M_Koch,1342,L Sardinas,1315,2016-10-02,Luis Sardinas grounded out to second (Grounder).
M_Koch,1342,Y Solarte,5352,2016-10-02,Yangervis Solarte grounded out to first (Grounder).
M_Koch,1342,R Zimmerman,4220,2016-09-27,Ryan Zimmerman grounded out to shortstop (Grounder).
M_Koch,1342,H Renfroe,1546,2016-10-02,Hunter Renfroe grounded out to shortstop (Grounder).
M_Koch,1342,T Turner,1625,2016-09-27,Trea Turner fouled out to first (Fly).
M_Koch,1342,B Goodwin,1285,2016-09-27,Brian Goodwin grounded out to second (Grounder).
M_Koch,1342,P Clemens,8037,2016-10-02,Paul Clemens struck out swinging.
M_Koch,1342,M Scherzer,3137,2016-09-27,Max Scherzer struck out looking.
M_Koch,1342,R Schimpf,9953,2016-10-02,Ryan Schimpf grounded out to second (Grounder).
M_Koch,1342,A Rendon,1286,2016-09-27,Anthony Rendon struck out looking.
M_Koch,1342,T Turner,1625,2016-09-27,Trea Turner flied out to center (Fliner (Fly)).
M_Koch,1342,A Hedges,1297,2016-10-02,Austin Hedges flied out to right (Fly).
M_Koch,1342,C Blackmon,7859,2016-09-13,Charlie Blackmon lined out to shortstop (Liner).
M_Koch,1342,C Adames,6013,2016-09-13,Cristhian Adames struck out swinging.
M_Koch,1342,S Cardullo,1120,2016-09-13,Stephen Cardullo flied out to center (Fly).
M_Koch,1342,R Raburn,2218,2016-09-13,Ryan Raburn struck out swinging.
M_Koch,1342,P Valaika,1488,2016-09-13,Pat Valaika flied out to second (Fly).
M_Koch,1342,C Davis,9272,2016-09-24,Chris Davis grounded out to third (Grounder).
M_Koch,1342,A Jones,6368,2016-09-24,Adam Jones flied out to center (Fliner (Liner)).
M_Koch,1342,D Stubbs,9328,2016-09-24,Drew Stubbs was hit by a pitch.
M_Koch,1342,P Valaika,1488,2016-09-13,Pat Valaika singled to pitcher (Grounder).
M_Koch,1342,A Dickerson,1264,2016-10-02,Alex Dickerson singled to right (Fliner (Liner)).
M_Koch,1342,L Sardinas,1315,2016-10-02,Luis Sardinas singled to right (Grounder).
M_Koch,1342,W Myers,1004,2016-10-02,Wil Myers singled to left (Liner).
M_Koch,1342,D Span,8347,2016-09-09,Denard Span walked.
M_Koch,1342,A Pagan,2918,2016-09-09,Angel Pagan walked. Denard Span advanced to 2B.
M_Koch,1342,M Trumbo,6876,2016-09-23,Mark Trumbo homered (Fliner (Fly)).
