playername,playerid,vsname,vsid,date,Play
M_Leake,1013,M Kemp,5631,2016-04-24,Matt Kemp grounded out to third (Grounder). Wil Myers out at second.
M_Leake,1013,D Span,8347,2016-09-17,Denard Span lined out to first (Liner). Eduardo Nunez out at second.
M_Leake,1013,H Perez,5751,2016-07-10,Hernan Perez struck out swinging.
M_Leake,1013,F Galvis,6609,2016-08-21,Freddy Galvis grounded into a double play to first (Grounder). Odubel Herrera out at second.
M_Leake,1013,K Nieuwenhuis,6400,2016-07-10,Kirk Nieuwenhuis lined out to shortstop (Liner).
M_Leake,1013,G Polanco,1290,2016-07-05,Gregory Polanco struck out looking.
M_Leake,1013,J Jaso,5887,2016-07-05,John Jaso reached on fielder's choice to first (Grounder). Eric Fryer out at home. Matt Joyce advanced to 3B. John Jaso advanced to 2B.
M_Leake,1013,K Broxton,9253,2016-05-31,Keon Broxton grounded into a double play to shortstop (Grounder). Ramon Flores out at second.
M_Leake,1013,K Bryant,1542,2016-09-12,Kris Bryant struck out swinging.
M_Leake,1013,W Myers,1004,2016-07-18,Wil Myers struck out swinging.
M_Leake,1013,E Kratz,4403,2016-06-12,Erik Kratz grounded into a double play to second (Grounder). Jordy Mercer out at second.
M_Leake,1013,J Harrison,8202,2016-04-06,Josh Harrison lined out to pitcher (Liner).
M_Leake,1013,C Carter,9911,2016-05-31,Chris Carter flied out to right (Fly).
M_Leake,1013,A McCutchen,9847,2016-09-07,Andrew McCutchen struck out swinging.
M_Leake,1013,R Braun,3410,2016-07-10,Ryan Braun struck out looking.
M_Leake,1013,C Hernandez,1055,2016-08-21,Cesar Hernandez grounded out to second (Grounder).
M_Leake,1013,A Russell,1410,2016-04-18,Addison Russell grounded into a double play to pitcher (Grounder). Miguel Montero out at second.
M_Leake,1013,E Suarez,1255,2016-08-04,Eugenio Suarez flied out to right (Fly).
M_Leake,1013,B Phillips,791&,2016-08-09,Brandon Phillips flied out to center (Fliner (Fly)).
M_Leake,1013,Y Puig,1422,2016-05-15,Yasiel Puig flied out to center (Fliner (Fly)).
M_Leake,1013,J Pederson,1189,2016-05-15,Joc Pederson grounded out to first (Grounder).
M_Leake,1013,A Rizzo,3473,2016-09-12,Anthony Rizzo grounded into a double play to third (Grounder). Kris Bryant out at second.
M_Leake,1013,A Hill,6104,2016-05-31,Aaron Hill struck out looking.
M_Leake,1013,K Bryant,1542,2016-04-18,Kris Bryant flied out to right (Fly).
M_Leake,1013,A Pujols,1177,2016-05-10,Albert Pujols flied out to right (Fly).
M_Leake,1013,J Giavotella,6740,2016-05-10,Johnny Giavotella struck out swinging.
M_Leake,1013,A Dickerson,1264,2016-07-18,Alex Dickerson struck out swinging.
M_Leake,1013,C Ruiz,2579,2016-08-21,Carlos Ruiz grounded out to second (Grounder).
M_Leake,1013,B Harper,1157,2016-04-29,Bryce Harper flied out to second (Fly).
M_Leake,1013,C Owings,1003,2016-05-21,Chris Owings struck out looking.
M_Leake,1013,R Braun,3410,2016-07-10,Ryan Braun struck out looking.
M_Leake,1013,S Gennett,1033,2016-04-13,Scooter Gennett flied out to center (Fliner (Liner)).
M_Leake,1013,C Carter,9911,2016-05-31,Chris Carter flied out to right (Fly). Jonathan Lucroy advanced to 3B.
M_Leake,1013,Y Grandal,1136,2016-05-15,Yasmani Grandal fouled out to first (Fly).
M_Leake,1013,J Heyward,4940,2016-09-12,Jason Heyward grounded into a double play to second (Grounder). Addison Russell out at second.
M_Leake,1013,S Drew,4251,2016-05-26,Stephen Drew flied out to shortstop (Fly).
M_Leake,1013,B Zobrist,7435,2016-09-12,Ben Zobrist grounded out to first (Grounder).
M_Leake,1013,E Nunez,6848,2016-09-17,Eduardo Nunez flied out to right (Fliner (Fly)).
M_Leake,1013,B Wallace,8434,2016-04-24,Brett Wallace grounded out to second (Grounder).
M_Leake,1013,C Colon,1114,2016-06-30,Christian Colon flied out to right (Fliner (Fly)).
M_Leake,1013,C Walsh,1096,2016-04-13,Colin Walsh grounded out to first (Grounder). Jonathan Lucroy advanced to 3B.
M_Leake,1013,J Bruce,9892,2016-06-07,Jay Bruce flied out to center (Fly).
M_Leake,1013,S Gennett,1033,2016-07-10,Scooter Gennett grounded out to second (Grounder).
M_Leake,1013,W Ramos,1433,2016-05-26,Wilson Ramos reached on fielder's choice to shortstop (Grounder). Anthony Rendon out at second.
M_Leake,1013,J Soler,1422,2016-04-18,Jorge Soler flied out to center (Fliner (Liner)).
M_Leake,1013,B Finnegan,1620,2016-08-09,Brandon Finnegan flied out to center (Fly).
M_Leake,1013,O Herrera,1147,2016-08-21,Odubel Herrera flied out to center (Fly).
M_Leake,1013,E Suarez,1255,2016-06-07,Eugenio Suarez fouled out to first (Fliner (Fly)).
M_Leake,1013,D Espinosa,9219,2016-05-26,Danny Espinosa struck out swinging.
M_Leake,1013,D Norris,6867,2016-07-18,Derek Norris struck out swinging.
M_Leake,1013,R Braun,3410,2016-04-13,Ryan Braun grounded out to third (Grounder).
M_Leake,1013,J Votto,4314,2016-08-04,Joey Votto struck out looking.
M_Leake,1013,G Soto,3707,2016-05-10,Geovany Soto flied out to center (Fliner (Liner)). C.J. Cron advanced to 3B.
M_Leake,1013,A Presley,5305,2016-05-31,Alex Presley grounded out to second (Grounder).
M_Leake,1013,A Duvall,1095,2016-08-04,Adam Duvall struck out swinging.
M_Leake,1013,D Santana,1034,2016-04-13,Domingo Santana struck out looking.
M_Leake,1013,J Nicasio,7731,2016-04-06,Juan Nicasio grounded out to pitcher (Grounder).
M_Leake,1013,J Votto,4314,2016-08-09,Joey Votto grounded out to second (Grounder). Zack Cozart advanced to 3B.
M_Leake,1013,C Anderson,6895,2016-04-13,Chase Anderson struck out looking.
M_Leake,1013,J Lackey,1507,2016-04-18,John Lackey reached on fielder's choice to shortstop (Grounder). Addison Russell out at second.
M_Leake,1013,R Braun,3410,2016-05-31,Ryan Braun grounded out to pitcher (Grounder).
M_Leake,1013,O Herrera,1147,2016-08-21,Odubel Herrera flied out to center (Fly).
M_Leake,1013,C Colon,1114,2016-06-30,Christian Colon grounded out to second (Grounder).
M_Leake,1013,J Harrison,8202,2016-07-05,Josh Harrison flied out to center (Fliner (Liner)).
M_Leake,1013,M Perez,6902,2016-06-19,Martin Perez struck out looking.
M_Leake,1013,J Votto,4314,2016-09-28,Joey Votto grounded out to second (Grounder). Jose Peraza advanced to 3B.
M_Leake,1013,A Ramirez,5133,2016-04-24,Alexei Ramirez lined out to pitcher (Liner).
M_Leake,1013,C Friedrich,7942,2016-07-18,Christian Friedrich struck out swinging.
M_Leake,1013,E Suarez,1255,2016-08-09,Eugenio Suarez reached on fielder's choice to second (Grounder). Scott Schebler out at second.
M_Leake,1013,Y Rivera,1186,2016-04-13,Yadiel Rivera flied out to right (Fliner (Fly)).
M_Leake,1013,A Beltre,639&,2016-06-19,Adrian Beltre grounded out to shortstop (Grounder).
M_Leake,1013,M Prado,3312,2016-07-29,Martin Prado grounded out to third (Grounder).
M_Leake,1013,S Gennett,1033,2016-05-31,Scooter Gennett flied out to center (Fly).
M_Leake,1013,R Flores,1116,2016-05-31,Ramon Flores grounded out to second (Grounder).
M_Leake,1013,B Crawford,5343,2016-09-17,Brandon Crawford flied out to second (Fliner (Fly)).
M_Leake,1013,A Altherr,1127,2016-08-21,Aaron Altherr struck out looking.
M_Leake,1013,O Herrera,1147,2016-05-04,Odubel Herrera grounded out to first (Grounder).
M_Leake,1013,J Jay,5227,2016-04-24,Jon Jay struck out looking.
M_Leake,1013,A Duvall,1095,2016-09-28,Adam Duvall grounded out to first (Grounder).
M_Leake,1013,B Drury,1161,2016-05-21,Brandon Drury flied out to left (Fliner (Liner)).
M_Leake,1013,B Posey,9166,2016-09-17,Buster Posey flied out to center (Fly).
M_Leake,1013,J Lobaton,4243,2016-04-29,Jose Lobaton grounded out to first (Grounder).
M_Leake,1013,B Finnegan,1620,2016-08-09,Brandon Finnegan grounded out to second (Grounder).
M_Leake,1013,Y Escobar,4191,2016-05-10,Yunel Escobar grounded out to shortstop (Grounder).
M_Leake,1013,M Montero,3364,2016-09-12,Miguel Montero lined out to shortstop (Liner).
M_Leake,1013,J Lamb,8493,2016-06-07,John Lamb struck out looking.
M_Leake,1013,J Lackey,1507,2016-04-18,John Lackey struck out looking.
M_Leake,1013,A Ramirez,5133,2016-07-18,Alexei Ramirez struck out looking.
M_Leake,1013,C Rea,1231,2016-04-24,Colin Rea struck out swinging.
M_Leake,1013,D Freese,9549,2016-06-12,David Freese grounded out to second (Grounder).
M_Leake,1013,R Zimmerman,4220,2016-05-26,Ryan Zimmerman struck out looking.
M_Leake,1013,N Ahmed,1214,2016-05-21,Nick Ahmed grounded out to shortstop (Grounder).
M_Leake,1013,J Ross,1297,2016-05-26,Joe Ross struck out swinging.
M_Leake,1013,J Heyward,4940,2016-04-18,Jason Heyward lined out to second (Liner).
M_Leake,1013,B Belt,1026,2016-09-17,Brandon Belt struck out looking.
M_Leake,1013,C Carter,9911,2016-04-13,Chris Carter grounded out to first (Grounder). Jonathan Lucroy advanced to 2B.
M_Leake,1013,E Suarez,1255,2016-08-09,Eugenio Suarez flied out to right (Fly).
M_Leake,1013,F Galvis,6609,2016-08-21,Freddy Galvis struck out swinging.
M_Leake,1013,R Cabrera,1032,2016-09-28,Ramon Cabrera flied out to center (Fliner (Fly)).
