playername,playerid,vsname,vsid,date,Play
M_Magill,3950,M Carpenter,8090,2016-09-27,Matt Carpenter was caught stealing. Randal Grichuk advanced to 2B.
M_Magill,3950,Y Molina,7007,2016-09-27,Yadier Molina fouled out to first (Fly).
M_Magill,3950,J Mercer,6547,2016-09-17,Jordy Mercer flied out to second (Fly).
M_Magill,3950,A Rizzo,3473,2016-09-20,Anthony Rizzo grounded into a double play to second (Grounder). Dexter Fowler advanced to 3B. Kris Bryant out at second.
M_Magill,3950,B Zobrist,7435,2016-09-20,Ben Zobrist flied out to left (Fly).
M_Magill,3950,M Szczur,1125,2016-09-30,Matt Szczur flied out to second (Fliner (Fly)).
M_Magill,3950,D Fowler,4062,2016-09-20,Dexter Fowler singled to center (Fliner (Fly)).
M_Magill,3950,S Piscotty,1336,2016-09-27,Stephen Piscotty walked.
M_Magill,3950,A Frazier,1522,2016-09-17,Adam Frazier walked.
M_Magill,3950,M Carpenter,8090,2016-09-27,Matt Carpenter walked.
M_Magill,3950,J Peralta,1738,2016-09-27,Jhonny Peralta homered (Fliner (Fly)). Randal Grichuk scored. Stephen Piscotty scored.
